"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"26","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.679747510010986,-0.420007303007036,-0.214047185393553,0.0310656871262904,0.469178733159587,"RESIDENT","Biomass","Intrinsic Connect."
"27","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.26319823634093,-0.0169731557288017,0.138861186608476,0.286950598704971,0.510242248984264,"RESIDENT","Biomass","Intrinsic Connect."
"28","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.148113005448342,-0.110510067861534,-0.0843167651357421,-0.0578939257035437,-0.0176149592356843,"RESIDENT","Biomass","Extrinsic Connect."
"29","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.344997615908804,-0.159157806674881,-0.0513295527249889,0.0556971732217722,0.22228027652316,"RESIDENT","Biomass","Extrinsic Connect."
"30","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.0844666111823029,0.187922545066357,0.256244605732106,0.326436184689342,0.425478269144022,"RESIDENT","Biomass","Human/Env."
"31","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0210897672152569,0.117208089875311,0.181822697935531,0.242656334732386,0.331829759932853,"RESIDENT","Biomass","Human/Env."
"32","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",-0.102304376354394,0.0162625406748697,0.0997016816276979,0.182176649063996,0.302253753853773,"RESIDENT","Biomass","Intrinsic Connect."
"33","No-Take x Netflow","b_logbiomassarea_ClassClosed:Netflow",0.9,0.5,"median",-0.531514866623132,-0.103999083453518,0.194859006316863,0.494360649001692,0.912665255321768,"RESIDENT","Biomass","Intrinsic Connect."
"34","Restricted gears x Netflow","b_logbiomassarea_ClassRestricted:Netflow",0.9,0.5,"median",-0.333620718749274,0.106046467289117,0.397041401091338,0.683931550040047,1.11863931508698,"RESIDENT","Biomass","Intrinsic Connect."
"35","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.372183651239948,-0.197951224362945,-0.0749057975858266,0.0478589952945054,0.218888673929031,"RESIDENT","Biomass","Intrinsic Connect."
"36","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.305855841531069,-0.148316399690741,-0.0344212596347155,0.0707119866108161,0.223284971024568,"RESIDENT","Biomass","Intrinsic Connect."
"37","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.52632176734913,5.74277568452828,5.89217840517749,6.04172369466358,6.25754131009219,"PARENTAL","Biomass","Intercept"
"38","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.340314135256522,0.415639476234019,0.468242872112398,0.518085735536547,0.592332011048509,"PARENTAL","Biomass","Richness"
