"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"30","Netflow","b_Richness_Netflow",0.9,0.5,"median",-0.0623286769426682,-0.0136992457356509,0.0198015312471496,0.0523951895191023,0.0983115355375529,"PARENTAL","Richness","Intrinsic Connect."
"31","Productivity","b_Richness_prod.annual",0.9,0.5,"median",-0.220452612474071,-0.167922493812446,-0.12933268159383,-0.0922114926716981,-0.0348811937343386,"PARENTAL","Richness","Human/Env."
"32","No-Take","b_Richness_ClassClosed",0.9,0.5,"median",-0.110046316216479,0.0246396812101179,0.120067018321552,0.215796552865566,0.348219652977766,"PARENTAL","Richness","Human/Env."
"33","Restricted gears","b_Richness_ClassRestricted",0.9,0.5,"median",-0.0725180984999493,0.0522901102380592,0.136497193006522,0.218884314971693,0.345512472694881,"PARENTAL","Richness","Human/Env."
"34","Intercept","b_Richness_Intercept",0.9,0.5,"median",-0.878223410694144,-0.635194527512274,-0.48556490104197,-0.34067093154463,-0.137185236586022,"CRYPTIC","Richness","Intercept"
"35","Richness","b_Richness_Richness",NA,NA,"median",0,0,0,0,0,"CRYPTIC","Richness","Richness"
"36","Temperature","b_Richness_temp",0.9,0.5,"median",0.00519463367251213,0.0709326983426984,0.118174409614114,0.162887098734447,0.229290549105763,"CRYPTIC","Richness","Human/Env."
"37","Betweeness Centr.","b_Richness_log_btwdegree",0.9,0.5,"median",-0.170249813197539,-0.0996393815144446,-0.0519342913514018,-0.00310548308437465,0.0648497839329807,"CRYPTIC","Richness","Intrinsic Connect."
"38","Corridor Indegree","b_Richness_log_CorridorIn",0.9,0.5,"median",0.0278249709234077,0.114492449601459,0.174350219866269,0.235561539385437,0.319800588383553,"CRYPTIC","Richness","Intrinsic Connect."
"39","Inflow MPA","b_Richness_log_InflowMPA",0.9,0.5,"median",-0.106124046006331,-0.0445702954037044,-9.26598350283793e-05,0.0428173014965507,0.105012930413794,"CRYPTIC","Richness","Extrinsic Connect."
"40","Inflow Neighb.","b_Richness_log_InflowNei",0.9,0.5,"median",-0.0460950203015065,0.00680345272260854,0.0441499060611299,0.0823687683017224,0.137533495946078,"CRYPTIC","Richness","Extrinsic Connect."
"41","Netflow","b_Richness_Netflow",0.9,0.5,"median",-0.0657055398330929,-0.0161875403528415,0.0182257612125719,0.0524978967513048,0.101028386822685,"CRYPTIC","Richness","Intrinsic Connect."
"42","Productivity","b_Richness_prod.annual",0.9,0.5,"median",-0.217691228797411,-0.161117386244932,-0.125048140053404,-0.0869342622712467,-0.0356681620500785,"CRYPTIC","Richness","Human/Env."
"43","No-Take","b_Richness_ClassClosed",0.9,0.5,"median",-0.140782875329955,0.00108398560028031,0.100396615453064,0.197889200488971,0.341523145296892,"CRYPTIC","Richness","Human/Env."
"44","Restricted gears","b_Richness_ClassRestricted",0.9,0.5,"median",-0.121024272581185,0.00405886599394519,0.090456926852514,0.178536027448113,0.298477938202344,"CRYPTIC","Richness","Human/Env."
