ID,region,locality,sites,Age_MPA,Class,lat,lon,biomassarea,biomassarea1,biomassarea2,grav_total,ModelMode,FE_Fish,Larval_behaviour,LocalRet,Indegree,Outdegree,Btw
V13486,central_iwp,raja_ampat,raja_ampat_3,10,Restricted,-1.9995,130.5943,85.45405025,81.94873486,81.94873486,4.84776921,pare ,pare ,passive,3,164,111,30982.28144
V13492,central_iwp,raja_ampat,raja_ampat_8,6,Closed,-2.1554,130.9127,117.1199578,115.099702,115.099702,6.321245119,pare ,pare ,passive,1,69,164,44880.99956
V13496,central_iwp,raja_ampat,raja_ampat_6,6,Closed,-2.222,130.5616,141.1980362,124.9156004,124.9156004,3.97345994,pare ,pare ,passive,0,77,109,34374.85419
V13529,central_iwp,raja_ampat,raja_ampat_13,10,Restricted,-0.5844,130.5671,751.6754087,588.3195333,646.5345555,5.034816616,pare ,pare ,passive,2,85,89,169319.802
V13531,central_iwp,raja_ampat,raja_ampat_16,10,Restricted,-0.6996,130.7139,1609.082934,952.2913082,952.2913082,5.211632757,pare ,pare ,passive,0,38,98,677880.0166
V13536,central_iwp,raja_ampat,raja_ampat_14,10,Restricted,-0.5751,130.2878,691.8643105,588.0802831,588.0802831,3.346761432,pare ,pare ,passive,2,38,40,20821.29478
V14065,western_indian,mozambique,mozambique_1,0,Fished,-23.929,35.5716,247.9443998,238.6262525,238.6262525,95.9123637,pare ,pare ,passive,0,0,0,0
V14066,western_indian,mozambique,mozambique_4,0,Fished,-24.4679,35.2891,770.286083,736.84401,736.84401,71.41592245,pare ,pare ,passive,0,2,2,991.3592121
V14070,western_indian,Bazaruto,Santa Carolina,19,Closed,-21.6275,35.3362,60.05433743,55.0636799,55.0636799,28,pare ,pare ,passive,0,7,8,150.5847163
V14076,western_indian,Bazaruto,Baluba,19,Closed,-22.0433,35.5268,125.5061168,120.4016967,120.4016967,36,pare ,pare ,passive,0,4,7,60.21058497
V14110,western_indian,seychelles,seychelles_5,1,Closed,-10.0797,47.7694,450.2021229,346.0214262,346.0214262,1.394087107,pare ,pare ,passive,0,2,6,10642.77419
V14115,western_indian,seychelles,seychelles_3,1,Closed,-9.7336,46.5329,349.8225218,247.2018351,247.2018351,1.330337611,pare ,pare ,passive,0,5,5,15880.84779
V14159,western_indian,seychelles,seychelles_2,0,Fished,-4.6528,55.3775,615.6778131,356.4425464,356.4425464,193.9620366,pare ,pare ,passive,0,0,46,0
V14354,western_indian,tanzania,tanzania_1,0,Fished,-10.2357,40.1703,109.3998002,82.05010158,82.05010158,323.1467077,pare ,pare ,passive,1,9,56,41.90075137
V1623,central_iwp,solomon,solomon_15,21,Closed,-7.4144,157.4174,236.9317274,223.0013971,223.0013971,1.002338702,pare ,pare ,passive,0,43,70,46468.40258
V1651,central_iwp,solomon,solomon_6,0,Fished,-8.2051,159.2306,39.88586408,39.40542105,39.40542105,5.888259532,pare ,pare ,passive,0,62,114,27227.52446
V1653,central_iwp,solomon,solomon_5,0,Fished,-8.3517,159.441,286.405309,274.5734278,274.5734278,2.497625831,pare ,pare ,passive,5,88,106,110365.1444
V1663,central_iwp,solomon,solomon_1,0,Fished,-9.0667,160.1488,145.7937671,90.60664678,90.60664678,5.436542038,pare ,pare ,passive,21,46,63,4290.86336
V1670,central_iwp,solomon,solomon_37,0,Fished,-9.4466,161.2209,103.4506157,99.99455815,99.99455815,5.760687038,pare ,pare ,passive,0,11,121,43784.1107
V1675,central_iwp,solomon,solomon_30,0,Fished,-9.8262,160.8836,374.2386671,193.4754165,370.4037903,10.4780996,pare ,pare ,passive,0,14,73,12966.84067
V1729,central_iwp,solomon,solomon_42,0,Fished,-9.2885,160.3372,54.55509338,49.06125629,49.06125629,14.62806253,pare ,pare ,passive,0,0,0,0
V1735,central_iwp,solomon,solomon_41,0,Fished,-8.8271,160.636,49.97462807,47.10497694,47.10497694,12.24440375,pare ,pare ,passive,0,26,47,14879.36049
V1747,central_iwp,solomon,solomon_17,0,Fished,-6.6937,156.3959,231.9524245,214.771615,214.771615,20.50000068,pare ,pare ,passive,2,43,106,80170.1276
V1782,central_iwp,solomon,solomon_31,0,Fished,-10.3518,161.3583,150.3946071,146.1456516,146.1456516,8.85182226,pare ,pare ,passive,0,14,57,204786.0579
V1822,central_iwp,solomon,solomon_18,0,Fished,-6.6269,156.5717,102.5609808,100.681213,100.681213,3.813107818,pare ,pare ,passive,0,101,98,25488.58242
V1823,central_iwp,solomon,solomon_7,0,Fished,-8.0062,158.9126,272.9295613,261.5467082,261.5467082,19.26737234,pare ,pare ,passive,0,108,91,19189.54578
V1864,central_iwp,solomon,solomon_11,0,Fished,-7.3743,158.0932,350.8337732,344.8031119,344.8031119,1.39290354,pare ,pare ,passive,0,15,87,21060.64471
