"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowBR)","cond(IndegreeBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"1",4.30490758171084,"+",0.0448768903282588,-5.66865270530029e-05,"+","+",-0.00674920499824965,0.0142659865809661,-0.00165924905526659,-0.0118465296147041,0.0254116396928713,0.983003534103695,0.0109881196403313,NA,NA,NA,NA,NA,NA,NA,24417.8190230686,24539.8525780177,0.732110955948747,0.959918667512727,"Gamma(log)",20,-12188.9095115343,24418.0751987319,NA,NA
"2",4.30627106304222,"+",0.0408247073009565,0.00111733999023735,"+","+",-0.0043909969673061,0.0147121221493799,NA,NA,NA,0.983528484029296,0.0118155367330514,-0.000352489615012166,-0.00835110635166732,NA,NA,NA,NA,NA,24438.1997890274,24554.131666229,0.73077087251105,0.959411483238764,"Gamma(log)",19,-12200.0998945137,24438.4314963445,NA,NA
"3",4.3061178876263,"+",0.0426462530324725,-0.000159084709488838,"+","+",-0.00555386699686065,0.0143672354630006,NA,NA,0.0233493499540417,0.982716251154286,0.013404249427698,NA,-0.0114248878805964,NA,NA,NA,NA,NA,24416.1285477626,24532.0604249642,0.733201706079805,0.959937889197037,"Gamma(log)",19,-12189.0642738813,24416.3602550796,NA,NA
"4",4.30621789976055,"+",0.0409473319847278,0.00113623924464119,"+","+",-0.00470640791221192,0.0147044722298084,NA,NA,NA,0.983343649494232,0.0111850804326872,-0.00120422066489299,NA,-0.00624810589111583,NA,NA,NA,NA,24439.4586807008,24555.3905579024,0.73034399714354,0.959413866559534,"Gamma(log)",19,-12200.7293403504,24439.6903880178,NA,NA
"5",4.30617355517178,"+",0.0426923283007402,-0.000173111917752454,"+","+",-0.00586396748559593,0.0143763493602595,NA,NA,0.0230646874369801,0.982442466752525,0.012858703083492,NA,NA,-0.00954366064832889,NA,NA,NA,NA,24417.9701292164,24533.9020064181,0.732654064040606,0.959945310285523,"Gamma(log)",19,-12189.9850646082,24418.2018365335,NA,NA
"6",4.30726065409532,"+",0.0408582130571985,0.0012021399275849,"+","+",-0.00596581399530616,0.0146456781985185,NA,-0.00955115306075755,NA,0.983299644757012,0.0100470589726138,NA,NA,NA,0.00747834663804142,NA,NA,NA,24437.878489037,24553.8103662387,0.731265411627421,0.959471034011793,"Gamma(log)",19,-12199.9392445185,24438.1101963541,NA,NA
"7",4.30648849604048,"+",0.0427829885441533,0.000145683022937017,"+","+",-0.00728232503899569,0.0143274139033342,NA,NA,0.0238985597826196,0.98193906960868,0.00982097745032496,NA,NA,NA,-0.00525054937669513,NA,NA,NA,24420.994186722,24536.9260639236,0.732565529921455,0.959948408818064,"Gamma(log)",19,-12191.497093361,24421.2258940391,NA,NA
"8",4.30876901300497,"+",0.040570026542165,0.000774791348472572,"+","+",-0.00722466356936823,0.0146400993453565,NA,NA,NA,0.982619806284691,0.010030989475276,NA,NA,NA,NA,0.00655997499073529,-0.00548171678907504,NA,24439.3773022478,24555.3091794494,0.731655184204081,0.959549352397156,"Gamma(log)",19,-12200.6886511239,24439.6090095648,NA,NA
"9",4.30775566313014,"+",0.0414990954182771,0.000741599363399907,"+","+",-0.00652132776260337,0.0146535332597297,NA,-0.00892844088276298,NA,0.983380554019155,0.0100485010742399,NA,NA,NA,NA,0.00774796850904888,NA,NA,24437.7927943657,24553.7246715673,0.731289896143241,0.95952142090057,"Gamma(log)",19,-12199.8963971828,24438.0245016827,NA,NA
"10",4.30483852280981,"+",0.0447318492261551,0.000125732637319445,"+",NA,-0.0071578013392739,0.014309963752718,-0.00220702330312012,-0.0111192082764572,0.023397595033323,0.983116816406711,0.0111248435884051,NA,NA,NA,NA,NA,NA,NA,24413.5831417785,24517.3116634852,0.73186812193227,0.959879224391894,"Gamma(log)",17,-12189.7915708892,24413.7696134421,NA,NA
