"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(Richness)","cond(SelfR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"4319",5.85016633484607,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.528243692070575,NA,NA,NA,-0.0436573215710579,-0.230426539808138,NA,NA,NA,45829.5435780032,45902.7637109727,0.0543675169563075,0.435234063990566,"Gamma(log)",12,-22902.7717890016,45829.6384973826,181.226241877317,2.84176333717416e-41
"655",5.89637881117189,"+",NA,0.00563539758359853,NA,"+",-0.135003483546605,-0.0778966004997622,NA,-0.189370084178962,0.528404308382492,0.0097945947828759,NA,NA,NA,NA,NA,NA,NA,45829.5105550173,45921.0357212291,0.0669290471129584,0.445694253737541,"Gamma(log)",15,-22899.7552775087,45829.6567182329,181.24446272762,2.81599124062742e-41
"2929",5.84451831931719,"+",0.253078837736721,-0.00519829689846108,NA,NA,NA,NA,-0.142917183122271,NA,0.500409402530783,NA,NA,NA,NA,NA,-0.0190585180993069,NA,NA,45829.5856976385,45896.7041528605,0.0577552081630502,0.422143913517462,"Gamma(log)",11,-22903.7928488193,45829.6659896093,181.253734104037,2.80296739380765e-41
"537",5.87166232047132,"+",0.245237888432792,-0.00914023607619173,NA,"+",NA,-0.0694009996650516,NA,NA,0.503706843050573,NA,NA,NA,-0.170498955513603,NA,NA,0.0327902891592543,NA,45829.5742836007,45921.0994498125,0.0621532785596031,0.417621279958742,"Gamma(log)",15,-22899.7871418003,45829.7204468163,181.308191310993,2.72767619484525e-41
"1903",5.87705783456583,"+",NA,0.00674986041525851,NA,NA,-0.128851144226981,NA,-0.0529628830973519,NA,0.529908252633711,0.00478367124485939,-0.166064485069037,NA,NA,NA,NA,NA,NA,45829.6453339933,45902.8654669628,0.0600455507373865,0.455054206200425,"Gamma(log)",12,-22902.8226669967,45829.7402533727,181.327997867404,2.70079657648697e-41
"3046",5.88518910960444,"+",NA,0.006196715805205,NA,NA,-0.134465986245884,NA,NA,-0.18658345122873,0.526867649935727,0.0104467790716688,NA,NA,NA,NA,NA,NA,NA,45829.6793430753,45896.7977982973,0.0623010164034448,0.453655467808037,"Gamma(log)",11,-22903.8396715377,45829.7596350461,181.34737954085,2.67475000820278e-41
"3071",5.84979001631302,"+",NA,0.0200934645434841,NA,"+",NA,NA,NA,NA,0.519529088162544,-0.0453335074869609,NA,NA,NA,-0.250606643747603,NA,NA,NA,45829.7546793411,45909.076490058,0.0550675131000907,0.436887608894951,"Gamma(log)",13,-22901.8773396705,45829.8654523174,181.453196812079,2.5369112189127e-41
"3220",5.88217582886759,"+",NA,NA,NA,"+",-0.128137833334939,NA,-0.0704381234943853,NA,0.533333410613419,NA,-0.1618756089463,NA,NA,NA,NA,NA,NA,45829.8256491909,45909.1474599078,0.0599781596663946,0.454842217033705,"Gamma(log)",13,-22901.9128245954,45829.9364221671,181.524166661853,2.44846760274339e-41
"3036",5.84922705650088,"+",0.254302742522352,NA,NA,"+",NA,NA,-0.17007059636925,NA,0.504153254241108,NA,NA,NA,NA,NA,-0.0110427811711283,NA,NA,45829.9044023102,45909.2262130271,0.057823132491794,0.422246463551391,"Gamma(log)",13,-22901.9522011551,45830.0151752864,181.602919781137,2.35392889172884e-41
"1838",5.86659711938493,"+",0.256472947480738,NA,NA,"+",NA,NA,NA,NA,0.497136738108506,-0.0525357672252997,NA,NA,-0.161325138115519,NA,NA,0.0272133980513085,NA,45829.9247619879,45915.3482504522,0.0597251329645758,0.429614251379554,"Gamma(log)",14,-22900.9623809939,45830.0526158692,181.640360363868,2.31027256156848e-41
