"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(grav_nei)","cond(grav_total)","cond(InflowMPA)","cond(InflowNei)","cond(Netflow)","cond(Outdegree)","cond(SelfR)","cond(temp)","cond(CorridorIndegree)","cond(Inflow)","cond(OutFlow)","cond(IndegreeNei)","cond(Indegree)","cond(IndegreeMPA)","cond(FE)","AIC","BIC","R2.R2m","R2.R2c","df","logLik","AICc","delta","weight"
"8936",4.01335294139048,"+",NA,0.0347477571855999,NA,NA,NA,0.0060372007637546,NA,NA,NA,NA,NA,NA,NA,NA,0.0719287253327989,NA,NA,NA,31387.7501218614,31442.5995278661,0.00348568550270085,0.7699085372627,9,-15684.8750609307,31387.8052351498,2177.20554660383,0
"9149",4.00956983839421,"+",NA,NA,NA,NA,NA,NA,0.0752009894318791,NA,NA,0.00998002458232687,NA,NA,NA,NA,NA,NA,NA,NA,31387.8026254467,31436.5576530065,0.00294177033642763,0.770796968791687,8,-15685.9013127234,31387.8467025817,2177.24701403577,0
"9150",4.00956983839421,"+",NA,NA,NA,NA,NA,NA,0.0752009894318791,NA,NA,0.00998002458232687,NA,NA,NA,NA,NA,NA,NA,NA,31387.8026254467,31436.5576530065,0.00294177033642763,0.770796968791687,8,-15685.9013127234,31387.8467025817,2177.24701403577,0
"7713",4.00023196444525,"+",0.0761439782655462,0.031689644810623,NA,NA,-0.001425472780184,NA,NA,NA,0.0296119716313917,NA,NA,NA,NA,NA,NA,NA,NA,NA,31387.7916843809,31448.7354688306,0.0037682885929398,0.777278267465309,10,-15683.8958421905,31387.8590656979,2177.25937715196,0
"4666",3.97129295808308,"+",NA,0.0339191961086146,"+",NA,0.00220929892613108,NA,NA,NA,NA,-0.00166173313600069,NA,NA,0.0691344594756647,NA,NA,NA,NA,"+",31387.7649431524,31479.180619827,0.00438049535184771,0.776717430693368,15,-15678.8824715762,31387.9121824162,2177.31249387022,0
"8690",4.01307326426068,"+",NA,0.0347124481291889,NA,NA,0.00330366163814323,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0738949877291415,NA,NA,NA,31387.8959862415,31442.7453922463,0.0034384320977257,0.769860587594656,9,-15684.9479931208,31387.95109953,2177.35141098402,0
"7912",3.96924143878062,"+",NA,NA,"+",NA,0.00209092632132757,NA,NA,NA,NA,-0.00237818765446582,NA,NA,0.0673228032120439,NA,NA,NA,NA,NA,31387.8946443755,31454.9328072702,0.00381894583685319,0.777212029947485,11,-15682.9473221877,31387.9755267284,2177.37583818246,0
"9125",4.00879861698118,"+",NA,0.038020119744286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06583425908293,NA,NA,NA,NA,NA,31387.934153104,31436.6891806638,0.00287484941371217,0.771221070092,8,-15685.967076552,31387.978230239,2177.37854169301,0
"9126",4.00879861698118,"+",NA,0.038020119744286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06583425908293,NA,NA,NA,NA,NA,31387.934153104,31436.6891806638,0.00287484941371217,0.771221070092,8,-15685.967076552,31387.978230239,2177.37854169301,0
"6551",4.01703352029183,"+",NA,0.0247787659391225,NA,NA,0.00442064221656981,0.00436470428484753,NA,NA,NA,NA,NA,0.08407848829629,NA,NA,NA,NA,NA,"+",31387.903138226,31467.1300580106,0.00417198927784874,0.769968068072258,13,-15680.951569113,31388.0147262088,2177.41503766287,0
"7881",3.97713260400645,"+",NA,0.030435963084616,"+",NA,0.00384058731836244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061716175125353,NA,NA,31388.0357014798,31455.0738643745,0.00390373969021622,0.774435793383118,11,-15683.0178507399,31388.1165838327,2177.51689528677,0
"8314",3.97765638338036,"+",NA,0.0302354167989921,"+",NA,NA,NA,NA,NA,0.00425576415992715,NA,NA,NA,NA,NA,NA,0.0600357448869081,NA,NA,31388.0485604828,31455.0867233775,0.00396254299827014,0.774349076736641,11,-15683.0242802414,31388.1294428357,2177.52975428975,0
"9206",4.0032101589085,"+",NA,NA,NA,NA,NA,NA,0.0861426036558304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",31388.0662545406,31449.0100389903,0.00338059761525799,0.770121945193826,10,-15684.0331272703,31388.1336358576,2177.53394731161,0
"8353",3.97067876842361,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.0266674483202026,NA,NA,NA,0.0646691263693588,NA,NA,NA,NA,"+",31388.0967039715,31467.3236237561,0.00446806668824188,0.775952448402559,13,-15681.0483519857,31388.2082919543,2177.60860340835,0
