"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(temp)","cond(grav_neiBR.1)","cond(IndegreeBR)","cond(InflowBR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"5304",5.85839335054766,"+",0.000707253602215432,NA,"+",NA,NA,NA,NA,NA,0.561619238273698,NA,NA,-0.163461443994137,NA,NA,-0.182766342192875,NA,0.0748513297385646,NA,45235.9743094624,45315.2961201793,0.12539519823303,0.280685726538018,"Gamma(log)",13,-22604.9871547312,45236.0850824387,161.895994432438,5.17793294215371e-37
"1218",5.75995901076028,"+",0.221867749037528,-0.0107612920320969,NA,NA,NA,0.158533199059054,-0.177495867275788,-0.431262453622827,0.606077218937569,-0.0358139212347664,NA,-0.152181633268432,NA,NA,NA,NA,NA,NA,45235.9896108922,45321.4130993566,0.119550979773087,0.312075446121563,"Gamma(log)",14,-22603.9948054461,45236.1174647735,161.928376767217,5.09477122257303e-37
"1117",5.75995899042488,"+",0.221867761580854,-0.0107613071390534,NA,NA,-0.152181607986322,0.158533241200434,-0.177495855440684,-0.431262448330275,0.606077226294682,-0.0358139338713219,NA,NA,NA,NA,NA,NA,NA,NA,45235.9896111817,45321.4130996461,0.119550980960922,0.312075490745295,"Gamma(log)",14,-22603.9948055909,45236.117465063,161.928377056742,5.09477048504151e-37
"4967",5.88788612990429,"+",NA,-0.0660803958222993,"+","+",-0.152291608717084,NA,NA,NA,0.548736877680017,NA,NA,NA,NA,NA,NA,-0.136670005831485,NA,NA,45235.9824789293,45327.5076451412,0.127405320703544,0.279308257007801,"Gamma(log)",15,-22602.9912394647,45236.1286421449,161.939554138691,5.06637756283045e-37
"5406",5.88788705779175,"+",NA,-0.0660813690720435,"+","+",NA,NA,NA,NA,0.548738657348026,NA,NA,-0.152291283395744,NA,NA,NA,-0.136671680170589,NA,NA,45235.9824789616,45327.5076451734,0.127405848092684,0.279305484232597,"Gamma(log)",15,-22602.9912394808,45236.1286421772,161.939554170931,5.06637748116104e-37
"6405",5.94306615046077,"+",NA,NA,"+",NA,NA,NA,-0.161762523786634,NA,0.474346098124084,NA,0.239522308846116,NA,NA,NA,NA,NA,0.0633141793483885,NA,45236.0435089653,45309.2636419347,0.124947578508311,0.19960761177131,"Gamma(log)",12,-22606.0217544826,45236.1384283447,161.949340338411,5.04164782336994e-37
"2000",5.97142309538196,"+",NA,-0.0863643506073342,"+","+",NA,NA,-0.130528386364853,NA,0.473478656375684,-0.0161675478903545,0.256048932771593,NA,NA,NA,NA,NA,NA,NA,45236.0593331247,45333.686177084,0.126748588965111,0.194453038107938,"Gamma(log)",16,-22602.0296665624,45236.2250352265,162.035947220218,4.82798664378966e-37
"1756",5.97515835716109,"+",-0.020064805896863,-0.0862325152091921,"+","+",NA,NA,-0.128425434027422,NA,0.474232459925386,NA,0.251571826741216,NA,NA,NA,NA,NA,NA,NA,45236.1764558237,45333.803299783,0.126752272944711,0.19360528753851,"Gamma(log)",16,-22602.0882279119,45236.3421579255,162.15306991923,4.55337259163484e-37
"7170",5.87273464003372,"+",NA,NA,"+",NA,-0.160533363746961,NA,NA,NA,0.545071733908028,0.0429657140064843,NA,NA,NA,-0.139548757311817,NA,NA,NA,NA,45236.2976778803,45309.5178108498,0.12473246420881,0.283707437487886,"Gamma(log)",12,-22606.1488389402,45236.3925972597,162.203509253472,4.43997399834448e-37
"7561",5.8727346405591,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.545071736221742,0.0429657149175372,NA,-0.160533364819644,NA,-0.139548758377684,NA,NA,NA,NA,45236.297677885,45309.5178108545,0.124732464798637,0.283707438638678,"Gamma(log)",12,-22606.1488389425,45236.3925972644,162.203509258121,4.43997398802301e-37
