"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(CorridorIndegreeBR)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(InflowLR)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"33",4.00187648547102,"+",0.071001514980307,0.0189099195432425,"+",0.0626467826298266,"+",NA,0.0337125996991271,NA,0.0175225525876671,NA,NA,NA,NA,-0.00560390127859055,NA,NA,31605.5276466358,31709.2561683426,0.00506551091029967,0.778035562854109,"Gamma(log)",17,-15785.7638233179,31605.7141182995,58.9016370403333,5.97778032708543e-15
"2124",4.0035656025969,"+",0.0682578879423538,NA,NA,0.0621152674800223,"+",NA,NA,NA,0.0161280891123493,NA,NA,NA,NA,NA,NA,NA,31605.6404477629,31678.8605807324,0.00439334436451423,0.77695515995862,"Gamma(log)",12,-15790.8202238815,31605.7353671423,58.9228858831702,5.91460605901619e-15
"2640",4.0111174286131,"+",NA,0.0264366611560525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0549037371904798,NA,NA,0.0344766596362542,31605.6908700103,31660.6059697374,0.00352875023374717,0.770833068780725,"Gamma(log)",9,-15793.8454350051,31605.7455812565,58.9330999973463,5.88447682955299e-15
"181",4.00502026419502,"+",0.0734856676120358,0.0186452143234182,"+",0.0619134154565896,"+",NA,0.033549393879418,NA,NA,NA,NA,NA,NA,-0.00245907549111754,NA,NA,31605.5990453534,31703.2258893127,0.00495678789401864,0.777185528215598,"Gamma(log)",16,-15786.7995226767,31605.7647474551,58.9522661960218,5.82835464527956e-15
"2286",3.98321619541753,"+",NA,0.0202777237054751,"+",0.0397118022956845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0475816834808693,31605.7485493743,31672.8670045963,0.00443175915475452,0.774905943821904,"Gamma(log)",11,-15791.8742746871,31605.8288413451,59.0163600859414,5.64453484796369e-15
"1779",3.96552389869466,"+",NA,NA,"+",NA,"+",NA,NA,NA,0.0107217996467851,NA,NA,NA,0.0897660584127884,NA,-0.0132819781103981,NA,31605.721094881,31691.1445833454,0.00503319905299152,0.775775708339706,"Gamma(log)",14,-15788.8605474405,31605.8489487623,59.036467503156,5.58807065226574e-15
"2260",3.98344048139548,"+",NA,0.0203074329723035,"+",0.0390154163667877,NA,NA,NA,NA,NA,NA,0.0480213952533302,NA,NA,NA,NA,NA,31605.8396038434,31672.9580590654,0.00445462325236582,0.774714671970996,"Gamma(log)",11,-15791.9198019217,31605.9198958142,59.1074145550519,5.39331680804495e-15
"2487",4.0081666543749,"+",NA,NA,NA,NA,NA,NA,0.0321474231114019,NA,NA,NA,NA,0.0287798564925124,0.0601155981825562,NA,NA,NA,31605.8656060626,31660.7807057897,0.00348872753657859,0.770039035080413,"Gamma(log)",9,-15793.9328030313,31605.9203173088,59.1078360496613,5.39218030082658e-15
"2816",4.01179087508626,"+",NA,NA,NA,NA,NA,NA,NA,0.0482283273210512,NA,0.0527338920396957,NA,NA,NA,NA,NA,NA,31605.8884027021,31654.7018246818,0.00356319614963479,0.770882123179003,"Gamma(log)",8,-15794.9442013511,31605.9321583995,59.1196771403811,5.36034997219755e-15
"2817",4.01179087508626,"+",NA,NA,NA,NA,NA,NA,NA,0.0482283273210512,NA,0.0527338920396957,NA,NA,NA,NA,NA,NA,31605.8884027021,31654.7018246818,0.00356319614963479,0.770882123179003,"Gamma(log)",8,-15794.9442013511,31605.9321583995,59.1196771403811,5.36034997219755e-15
"1517",3.99431672666082,"+",0.0662087164400343,0.0260419630171329,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0570845778926001,31605.8094132726,31691.232901737,0.00447042915220883,0.778569097834331,"Gamma(log)",14,-15788.9047066363,31605.9372671539,59.1247858947609,5.34667508933875e-15
"2026",3.97464629434739,"+",NA,NA,"+",NA,NA,NA,0.0324606411535132,NA,NA,0.0728576473138807,NA,NA,NA,0.00268543208125378,NA,NA,31605.8633421624,31672.9817973844,0.00463295022181519,0.775487860024198,"Gamma(log)",11,-15791.9316710812,31605.9436341332,59.1311528741026,5.32968106891502e-15
"1402",3.97320177912208,"+",NA,NA,"+",NA,"+",NA,0.0325637256934423,NA,NA,0.0885929098971592,NA,NA,NA,-0.000483124259705011,NA,NA,31605.8503481425,31691.2738366069,0.00542010174054919,0.775106066600926,"Gamma(log)",14,-15788.9251740713,31605.9782020238,59.1657207646713,5.23835466672564e-15
"2323",3.98117771811699,"+",NA,NA,"+",0.0409751409156088,NA,NA,NA,0.0500191553474844,0.00238312945460934,NA,NA,NA,NA,NA,NA,NA,31605.9790096577,31673.0974648797,0.00448134646787193,0.775628876848911,"Gamma(log)",11,-15791.9895048288,31606.0593016285,59.2468203693497,5.03018947197707e-15
"1480",4.00785637120523,"+",0.0720466902714462,0.0187118519618175,"+",0.0578205142231149,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00199627949860852,NA,NA,31606.0112853681,31679.2314183375,0.00434301979244476,0.776356939631564,"Gamma(log)",12,-15791.005642684,31606.1062047474,59.2937234883102,4.91359617526831e-15
"816",4.00582203209466,"+",0.0696131218191723,0.018928033776267,"+",0.0586144244846195,NA,NA,NA,NA,0.017097473922496,NA,NA,NA,NA,-0.00517814880872323,NA,NA,31606.0275082532,31685.3493189701,0.0044541164775877,0.777193532650159,"Gamma(log)",13,-15790.0137541266,31606.1382812295,59.3257999703637,4.8354193208654e-15
"595",4.0036175977794,"+",0.0724553000479594,NA,"+",0.0647393340467823,"+",NA,0.0333967855468554,NA,NA,NA,NA,NA,NA,-0.00363347588903778,NA,NA,31606.0338626207,31697.5590288325,0.00482822380816728,0.776892278127578,"Gamma(log)",15,-15788.0169313103,31606.1800258363,59.3675445771332,4.73553897432717e-15
"227",4.0005081951217,"+",0.0699957079743243,NA,"+",0.0655022891241943,"+",NA,0.0335564274886937,NA,0.0172201743116355,NA,NA,NA,NA,-0.00674047393866355,NA,NA,31606.0324715918,31703.6593155511,0.00493378809684221,0.777727233943857,"Gamma(log)",16,-15787.0162357959,31606.1981736935,59.3856924343963,4.69276339641053e-15
"1279",3.96857245906398,"+",NA,0.0249566037661475,"+",NA,NA,NA,0.0316293924291732,NA,NA,NA,NA,NA,NA,NA,-0.0235109750644726,0.073870134711851,31606.1862960211,31679.4064289905,0.00384495508355827,0.778106231779897,"Gamma(log)",12,-15791.0931480105,31606.2812154004,59.4687341413264,4.50190556395205e-15
"2145",3.99714784039808,"+",0.0703989372797396,NA,NA,NA,"+",NA,NA,NA,-0.00953775490328564,NA,NA,NA,NA,NA,NA,0.0600776949344368,31606.1871086897,31679.4072416591,0.00419804638179719,0.777692965259331,"Gamma(log)",12,-15791.0935543448,31606.282028069,59.4695468099089,4.5000766569444e-15
"2115",3.99714749249549,"+",0.0703988359672613,NA,NA,NA,"+",NA,NA,NA,-0.00462925729418141,NA,0.0583036467098122,NA,NA,NA,NA,NA,31606.187110369,31679.4072433384,0.00419804818472956,0.777692581948841,"Gamma(log)",12,-15791.0935551845,31606.2820297483,59.4695484892036,4.50007287846865e-15
"1887",3.97195055294126,"+",NA,0.0245910083248615,"+",NA,NA,NA,0.031713297124801,NA,NA,NA,0.0627008316421905,NA,NA,NA,NA,NA,31606.2300344082,31673.3484896302,0.0038855662752986,0.777203890166941,"Gamma(log)",11,-15792.1150172041,31606.310326379,59.4978451198476,4.43685271242095e-15
"707",3.97792174071923,"+",NA,0.0204246916973248,"+",0.0429565553233377,"+",NA,0.0317408006465109,NA,NA,NA,NA,NA,NA,NA,NA,0.0476645981559943,31606.2235986475,31697.7487648594,0.00484090464097949,0.775636743008644,"Gamma(log)",15,-15788.1117993238,31606.3697618631,59.5572806040145,4.30693939397177e-15
