"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(SelfR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","cond(InflowLR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"2173",5.80119848108313,"+",NA,NA,"+",NA,-0.0714853333715215,-0.0613101301750225,NA,NA,-0.192257724922603,NA,NA,NA,NA,NA,NA,NA,-0.107725721280684,45835.1546459785,45908.3747789479,0.0532057287492789,0.423884675190168,"Gamma(log)",12,-22905.5773229892,45835.2495653578,0,0.0451371917575605
"1286",5.80649572697609,"+",NA,NA,"+","+",-0.0740048183628845,-0.0606952740265515,NA,NA,-0.219916656215125,NA,NA,NA,NA,NA,NA,NA,-0.106887181826862,45835.3192813108,45926.8444475227,0.0542613947361061,0.42483285022149,"Gamma(log)",15,-22902.6596406554,45835.4654445264,0.215879168594256,0.0405188368470198
"2128",5.79999037073229,"+",NA,NA,"+",NA,-0.0718242744503562,-0.0611656569056792,NA,NA,-0.191379138516217,NA,NA,NA,NA,NA,-0.107261622400229,NA,NA,45835.4346778763,45908.6548108458,0.0532573989412671,0.423928936213574,"Gamma(log)",12,-22905.7173389382,45835.5295972557,0.280031897847948,0.0392397635402142
"1268",5.80488431546256,"+",NA,NA,"+","+",-0.0743945846574835,-0.0605502441764011,NA,NA,-0.219048415420168,NA,NA,NA,NA,NA,-0.106295462850292,NA,NA,45835.6146693972,45927.139835609,0.054316800407827,0.424883222579399,"Gamma(log)",15,-22902.8073346986,45835.7608326128,0.511267254936683,0.0349553988451965
"1176",5.80232069852754,"+",NA,0.02773678133616,"+",NA,-0.0754159252243527,-0.0612347929371827,NA,NA,-0.195405825028377,NA,NA,NA,NA,NA,NA,NA,-0.105914235830102,45836.2111872276,45915.5329979445,0.0530979394805374,0.425067388208342,"Gamma(log)",13,-22905.1055936138,45836.3219602038,1.0723948459854,0.0264038315640171
"550",5.80732434458246,"+",NA,0.0307755857550652,"+","+",-0.0785825232240086,-0.060597144385991,NA,NA,-0.224052668207499,NA,NA,NA,NA,NA,NA,NA,-0.104586938137303,45836.1567797015,45933.7836236608,0.0541672749972575,0.426146472597507,"Gamma(log)",16,-22902.0783898508,45836.3224818032,1.07291644539509,0.0263969463504083
"1131",5.8011443034897,"+",NA,0.02782447505028,"+",NA,-0.0757682806633307,-0.0610937615304841,NA,NA,-0.194555094506875,NA,NA,NA,NA,NA,-0.105440273124067,NA,NA,45836.4853698949,45915.8071806118,0.0531459583806037,0.425111317959849,"Gamma(log)",13,-22905.2426849474,45836.5961428711,1.34657751328632,0.0230212522685996
"532",5.80574925644739,"+",NA,0.0308860812129901,"+","+",-0.0789883165363216,-0.0604564387229491,NA,NA,-0.223220685714666,NA,NA,NA,NA,NA,-0.103985037775722,NA,NA,45836.44396063,45934.0708045893,0.0542189096345509,0.426194933407776,"Gamma(log)",16,-22902.221980315,45836.6096627317,1.3600973738794,0.0228661550218319
"1013",5.78997426555112,"+",0.0282186459010696,NA,"+",NA,-0.0739076225388839,-0.0601284454298387,NA,NA,-0.191289214742347,NA,NA,NA,NA,NA,NA,NA,-0.110482949443435,45836.811126831,45916.1329375479,0.0542287001494891,0.425680158418851,"Gamma(log)",13,-22905.4055634155,45836.9218998073,1.67233444940939,0.0195610302191401
"457",5.79545946665746,"+",0.0279190112318062,NA,"+","+",-0.0763544739891097,-0.0595243082727173,NA,NA,-0.218895311075551,NA,NA,NA,NA,NA,NA,NA,-0.109637835570238,45836.9823165233,45934.6091604826,0.0552948603470059,0.426618233507438,"Gamma(log)",16,-22902.4911582617,45837.1480186251,1.89845326724026,0.0174699091535888
"1249",5.80258410894854,"+",NA,NA,"+",NA,-0.0714677023302363,-0.0614405879302823,NA,NA,-0.193287306423404,-0.00878183428628888,NA,NA,NA,NA,NA,NA,-0.103356816494848,45837.0644461019,45916.3862568188,0.0531281948328672,0.42375556198324,"Gamma(log)",13,-22905.532223051,45837.1752190782,1.92565372033278,0.0172339228027205
"1210",5.8025628164035,"+",NA,NA,"+",NA,-0.071470207106474,-0.061441813654961,NA,NA,-0.193285043465064,-0.0172246030464757,NA,NA,NA,NA,-0.100305737898127,NA,NA,45837.0644471182,45916.3862578351,0.0531266891989962,0.423768767466119,"Gamma(log)",13,-22905.5322235591,45837.1752200944,1.92565473659488,0.0172339140456314
"969",5.78949548983458,"+",0.0263899604501657,NA,"+",NA,-0.0741346917235555,-0.0600544945941978,NA,NA,-0.190464577469046,NA,NA,NA,NA,NA,-0.109699736091277,NA,NA,45837.1337423186,45916.4555530355,0.0542131493838254,0.425613151498537,"Gamma(log)",13,-22905.5668711593,45837.2445152949,1.99494993704138,0.0166470261205284
"2041",5.80089232989496,"+",NA,NA,"+",NA,-0.073558566420356,-0.0611235258711508,NA,NA,-0.191982634611559,NA,NA,NA,-0.0994395347987771,NA,NA,NA,NA,45837.1775172972,45910.3976502666,0.052833494728894,0.420738165507458,"Gamma(log)",12,-22906.5887586486,45837.2724366765,2.02287131868798,0.0164162368728057
"1206",5.80568708558461,"+",NA,NA,"+","+",-0.0760570374887613,-0.0605060740481498,NA,NA,-0.219919854056655,NA,NA,NA,-0.0992014339737634,NA,NA,NA,NA,45837.2001971854,45928.7253633972,0.053940321444112,0.421776944401475,"Gamma(log)",15,-22903.6000985927,45837.3463604009,2.09679504310043,0.0158205390555106
"557",5.80842718612716,"+",NA,NA,"+","+",-0.0739767715526895,-0.0608420236583437,NA,NA,-0.22109019099033,-0.0180724556424753,NA,NA,NA,NA,-0.09904433048257,NA,NA,45837.2088802298,45934.8357241891,0.0541678711347107,0.424698318165196,"Gamma(log)",16,-22902.6044401149,45837.3745823316,2.125016973725,0.0155988636827336
"573",5.80842256413652,"+",NA,NA,"+","+",-0.0739776490893833,-0.0608419127526956,NA,NA,-0.221090399727318,-0.00973329366369918,NA,NA,NA,NA,NA,NA,-0.102056844546069,45837.2088817594,45934.8357257187,0.0541678212596233,0.424697008316796,"Gamma(log)",16,-22902.6044408797,45837.3745838612,2.12501850330591,0.0155988517528761
"439",5.79455700752862,"+",0.026089180331049,NA,"+","+",-0.0766396105051001,-0.0594505819898261,NA,NA,-0.218089256321066,NA,NA,NA,NA,NA,-0.108724789291053,NA,NA,45837.3199368392,45934.9467807985,0.0552823753643878,0.426554185987607,"Gamma(log)",16,-22902.6599684196,45837.4856389409,2.23607358310255,0.0147562949212157
"3563",5.79317788009504,"+",NA,NA,"+",NA,-0.0712199219543556,NA,NA,NA,-0.194151993964303,NA,NA,NA,NA,NA,NA,NA,-0.107324442763138,45837.738574388,45904.85702961,0.0517549161171486,0.432435401783619,"Gamma(log)",11,-22907.869287194,45837.8188663588,2.56930100099999,0.0124915954867796
"2750",5.79855250970408,"+",NA,NA,"+","+",-0.073837743160759,NA,NA,NA,-0.22194897958904,NA,NA,NA,NA,NA,NA,NA,-0.106481862994202,45837.8190582437,45923.2425467081,0.0528655572347407,0.433362156662123,"Gamma(log)",14,-22904.9095291219,45837.946912125,2.69734676716325,0.0117169108966185
"350",5.79054069962517,"+",0.0296781766809911,0.0282918042805694,"+",NA,-0.0780525688651557,-0.0599890915277823,NA,NA,-0.194455427644076,NA,NA,NA,NA,NA,NA,NA,-0.108759229239296,45837.8309173292,45923.2544057936,0.054155003998504,0.426938776639902,"Gamma(log)",14,-22904.9154586646,45837.9587712105,2.70920585262502,0.0116476405464926
"124",5.79565827015201,"+",0.0295297524897451,0.0313261960229023,"+","+",-0.081164764018629,-0.0593555540719773,NA,NA,-0.223052934988584,NA,NA,NA,NA,NA,NA,NA,-0.107434924331261,45837.7794104608,45941.5079321675,0.0552418370518669,0.428008535216234,"Gamma(log)",17,-22901.8897052304,45837.9658821244,2.71631676659308,0.0116063013949
"3518",5.79198543334496,"+",NA,NA,"+",NA,-0.0715319536496762,NA,NA,NA,-0.193268838976338,NA,NA,NA,NA,NA,-0.106942177640957,NA,NA,45837.998930675,45905.117385897,0.0518147493598767,0.432453464571177,"Gamma(log)",11,-22907.9994653375,45838.0792226458,2.82965728797717,0.0109668590732874
"472",5.80655496568627,"+",NA,0.0318043911153747,"+","+",-0.0807548769271671,-0.0604104487833493,NA,NA,-0.224207900453066,NA,NA,NA,-0.0969809980275514,NA,NA,NA,NA,45837.9588666482,45935.5857106074,0.053842731464846,0.42319235816057,"Gamma(log)",16,-22902.9794333241,45838.1245687499,2.87500339205144,0.0107210045748096
"3051",5.7985199554418,"+",NA,NA,"+",NA,NA,-0.06075656990114,NA,NA,-0.201402906465122,NA,NA,NA,NA,NA,NA,NA,-0.11954706231611,45838.1070697717,45905.2255249937,0.051857319463017,0.416994671994775,"Gamma(log)",11,-22908.0535348859,45838.1873617425,2.93779638467822,0.0103896317866319
"2732",5.7969556900614,"+",NA,NA,"+","+",-0.0741995884437144,NA,NA,NA,-0.221074680705532,NA,NA,NA,NA,NA,-0.105973363354902,NA,NA,45838.0948728863,45923.5183613507,0.0529290842164183,0.433383772572425,"Gamma(log)",14,-22905.0474364432,45838.2227267676,2.97316140975454,0.0102075317303253
"156",5.80926215996758,"+",NA,0.0307825517044592,"+","+",-0.0785546738431886,-0.0607440860538795,NA,NA,-0.225229525983139,-0.0179216205865468,NA,NA,NA,NA,-0.0967901789518348,NA,NA,45838.045754236,45941.7742759427,0.0540773761895207,0.426012715040747,"Gamma(log)",17,-22902.022877118,45838.2322258996,2.98266054178384,0.0101591653351411
"172",5.80924689242403,"+",NA,0.0307810813366701,"+","+",-0.078554276744433,-0.0607431224154803,NA,NA,-0.225230341577723,-0.00977315455917481,NA,NA,NA,NA,NA,NA,-0.0997341680648757,45838.0457545831,45941.7742762898,0.0540772866517888,0.426010595963598,"Gamma(log)",17,-22902.0228772915,45838.2322262467,2.98266088886885,0.0101591635720943
"475",5.80368790637955,"+",NA,0.0277475021127605,"+",NA,-0.0754008872597923,-0.061366335113344,NA,NA,-0.19643788215688,-0.0171222072243172,NA,NA,NA,NA,-0.0985210880933509,NA,NA,45838.1201807879,45923.5436692522,0.0530211941498465,0.424952610766226,"Gamma(log)",14,-22905.0600903939,45838.2480346692,2.99846931131469,0.0100791799176467
"513",5.80368845902245,"+",NA,0.0277481353957553,"+",NA,-0.0754015089275574,-0.0613661183297956,NA,NA,-0.196441164002467,-0.00882798581983565,NA,NA,NA,NA,NA,NA,-0.101519026407825,45838.1201808616,45923.543669326,0.0530214690695672,0.424952855829981,"Gamma(log)",14,-22905.0600904308,45838.2480347429,2.99846938504197,0.0100791795460914
"1047",5.80206557041861,"+",NA,0.0287321311158501,"+",NA,-0.0776033935193618,-0.061050185084207,NA,NA,-0.195260484493349,NA,NA,NA,-0.0977055239210214,NA,NA,NA,NA,45838.1655554146,45917.4873661316,0.0527208620555353,0.422009380089103,"Gamma(log)",13,-22906.0827777073,45838.2763283909,3.02676303307089,0.00993759501387213
"305",5.79007606613601,"+",0.0278898265422562,0.0283592431065837,"+",NA,-0.0782967215586243,-0.0599170235391659,NA,NA,-0.193657477731006,NA,NA,NA,NA,NA,-0.107965835631682,NA,NA,45838.1490229059,45923.5725113703,0.0541384041413818,0.426875532614761,"Gamma(log)",14,-22905.074511453,45838.2768767872,3.02731142935227,0.00993487051733944
"106",5.79477708984022,"+",0.0277523533451114,0.0314186809135856,"+","+",-0.0814689194522443,-0.0592814746755067,NA,NA,-0.222278900732099,NA,NA,NA,NA,NA,-0.106511906454657,NA,NA,45838.110158498,45941.8386802047,0.0552275115631275,0.427955710245989,"Gamma(log)",17,-22902.055079249,45838.2966301616,3.04706480378809,0.00983722988540705
"2981",5.79714282888106,"+",NA,NA,"+",NA,NA,-0.0605822970046102,NA,NA,-0.200472333747726,NA,NA,NA,NA,NA,-0.119082035034921,NA,NA,45838.4290994688,45905.5475546908,0.0519123107015896,0.416995614196242,"Gamma(log)",11,-22908.2145497344,45838.5093914396,3.25982608176128,0.00884447983308146
"2190",5.80446817698442,"+",NA,NA,"+","+",NA,-0.0602223769317702,NA,NA,-0.227999970543638,NA,NA,NA,NA,NA,NA,NA,-0.12007418051616,45838.6204657489,45924.0439542132,0.052900008456671,0.417797736350652,"Gamma(log)",14,-22905.3102328744,45838.7483196301,3.4987542723029,0.00784855486693601
"1199",5.80395791223684,"+",NA,NA,"+",NA,-0.0731135326629006,-0.0614532394704086,NA,NA,-0.194252602910638,-0.0205683994005293,NA,NA,-0.0912156479485127,NA,NA,NA,NA,45838.6475487841,45917.969359501,0.0527057662300414,0.420790756892401,"Gamma(log)",13,-22906.323774392,45838.7583217603,3.50875640249433,0.00780940171846508
"1633",5.79940966908116,"+",NA,0.0309941336846066,"+","+",-0.0784654440573484,NA,NA,NA,-0.226104410945305,NA,NA,NA,NA,NA,NA,NA,-0.104175568344197,45838.6415998164,45930.1667660282,0.0527615614978621,0.434624147260181,"Gamma(log)",15,-22904.3207999082,45838.787763032,3.5381976741628,0.00769528436045357
"555",5.80981483732835,"+",NA,NA,"+","+",-0.0755436129206821,-0.0608488204478314,NA,NA,-0.222286099561472,-0.0211947000792354,NA,NA,-0.0907825274807209,NA,NA,NA,NA,45838.6397134175,45936.2665573768,0.0537917410990392,0.421806443920101,"Gamma(log)",16,-22903.3198567088,45838.8054155193,3.55585016143596,0.00762766276715504
"420",5.7909365682268,"+",0.0298654654597317,NA,"+",NA,-0.074020607428026,-0.0602196050607577,NA,NA,-0.192458566316003,-0.0105268513710258,NA,NA,NA,NA,NA,NA,-0.105418112170304,45838.6828782379,45924.1063667022,0.0541921335630328,0.42563585237269,"Gamma(log)",14,-22905.3414391189,45838.8107321191,3.56116676128295,0.00760741307860205
"383",5.79093090931501,"+",0.0298649425727302,NA,"+",NA,-0.0740202105488294,-0.0602181747586866,NA,NA,-0.192458777326601,-0.0191398667370728,NA,NA,NA,NA,-0.102305909355126,NA,NA,45838.6828784699,45924.1063669343,0.0541920560856139,0.425636267307653,"Gamma(log)",14,-22905.341439235,45838.8107323512,3.56116699336417,0.00760741219583325
"2640",5.79433080496721,"+",NA,0.0279309990734264,"+",NA,-0.0751923868496808,NA,NA,NA,-0.197317097749573,NA,NA,NA,NA,NA,NA,NA,-0.10550787356995,45838.7833142884,45912.0034472578,0.0516371577289724,0.43357551004259,"Gamma(log)",12,-22907.3916571442,45838.8782336677,3.6286683098806,0.0073549415178389
"131",5.79700858801856,"+",0.0297105775482389,NA,"+","+",-0.0764616794149272,-0.0596248916170917,NA,NA,-0.22020656387017,-0.0199867344500188,NA,NA,NA,NA,-0.101056681831547,NA,NA,45838.8304584557,45942.5589801624,0.0552499474780201,0.426560001005849,"Gamma(log)",17,-22902.4152292278,45839.0169301193,3.76736476144288,0.00686217314730342
"147",5.79701043927127,"+",0.0297095378799607,NA,"+","+",-0.0764606892730866,-0.059624517955086,NA,NA,-0.220208290560247,-0.0114785285473902,NA,NA,NA,NA,NA,NA,-0.104131940600616,45838.8304591982,45942.5589809049,0.0552499520289744,0.426559887331963,"Gamma(log)",17,-22902.4152295991,45839.0169308618,3.76736550395435,0.00686217059968274
"1615",5.79785424670556,"+",NA,0.0310970056125741,"+","+",-0.0788420496804218,NA,NA,NA,-0.225266775372697,NA,NA,NA,NA,NA,-0.103655842232678,NA,NA,45838.9097804403,45930.4349466522,0.0528205495366374,0.434647900971613,"Gamma(log)",15,-22904.4548902202,45839.0559436559,3.80637829808984,0.00672961145408095
"884",5.7923925367591,"+",0.0214659673882414,NA,"+",NA,-0.075524830190155,-0.0602144489156253,NA,NA,-0.191249420094731,NA,NA,NA,-0.101172278786692,NA,NA,NA,NA,45838.9773384932,45918.2991492101,0.0536005650325824,0.422064341048812,"Gamma(log)",13,-22906.4886692466,45839.0881114695,3.83854611161951,0.00662223881137134
"2133",5.80261145525147,"+",NA,NA,"+","+",NA,-0.0600460342550863,NA,NA,-0.227064500248935,NA,NA,NA,NA,NA,-0.119479383892622,NA,NA,45838.9665081653,45924.3899966296,0.0529590374380424,0.417797230648643,"Gamma(log)",14,-22905.4832540826,45839.0943620465,3.84479668869608,0.00660157471177278
"2595",5.79317051116469,"+",NA,0.0280125370069528,"+",NA,-0.0755162611366078,NA,NA,NA,-0.196461756692436,NA,NA,NA,NA,NA,-0.105115834315697,NA,NA,45839.038304611,45912.2584375805,0.0516934007033265,0.433591262755733,"Gamma(log)",12,-22907.5191523055,45839.1332239904,3.88365863251965,0.00647453792014373
"379",5.79725528778096,"+",0.0213571432896805,NA,"+","+",-0.0779817842519773,-0.059600907049113,NA,NA,-0.219153914896178,NA,NA,NA,-0.100942901609808,NA,NA,NA,NA,45839.0016246921,45936.6284686514,0.0547217736530362,0.423103181714723,"Gamma(log)",16,-22903.5008123461,45839.1673267938,3.91776143599418,0.00636507388285432
"2478",5.77935683580163,"+",0.0349491336210525,NA,"+",NA,-0.0742246764861774,NA,NA,NA,-0.192906779223848,NA,NA,NA,NA,NA,NA,NA,-0.110738705710422,45839.2084103489,45912.4285433184,0.0531137637139401,0.434568887466445,"Gamma(log)",12,-22907.6042051745,45839.3033297283,4.05376437045925,0.00594662821505665
"1540",5.78495492305797,"+",0.0345881694528265,NA,"+","+",-0.0767521533623471,NA,NA,NA,-0.220637282477929,NA,NA,NA,NA,NA,NA,NA,-0.109890607501964,45839.2986700151,45930.8238362269,0.0542345311559583,0.435481207640264,"Gamma(log)",15,-22904.6493350075,45839.4448332307,4.19526787281211,0.00554043280419437
"154",5.81061988393158,"+",NA,0.0316371623520279,"+","+",-0.0802156848122039,-0.0607469834879193,NA,NA,-0.226527793997351,-0.0209774316386248,NA,NA,-0.0886471940505396,NA,NA,NA,NA,45839.4109875429,45943.1395092497,0.0537039329754984,0.423220416462007,"Gamma(log)",17,-22902.7054937715,45839.5974592066,4.34789384870965,0.00513335598425903
"2434",5.77888158234557,"+",0.0331394360458285,NA,"+",NA,-0.0744380837744802,NA,NA,NA,-0.192082298020854,NA,NA,NA,NA,NA,-0.110003655528612,NA,NA,45839.5214436048,45912.7415765743,0.0531018811326318,0.434483711565739,"Gamma(log)",12,-22907.7607218024,45839.6163629842,4.36679762636777,0.00508506465583084
"2020",5.7991382948482,"+",NA,0.0188377567560814,"+",NA,NA,-0.0606888143179422,NA,NA,-0.203768432198521,NA,NA,NA,NA,NA,NA,NA,-0.118834936348602,45839.6558188458,45912.8759518153,0.0517026641063553,0.41749584091036,"Gamma(log)",12,-22907.8279094229,45839.7507382252,4.50117286735622,0.00475463591378998
"2713",5.79438983907933,"+",NA,NA,"+",NA,-0.0712133598692394,NA,NA,NA,-0.195075815045676,-0.00791459589243125,NA,NA,NA,NA,NA,NA,-0.103386542225765,45839.6653964455,45912.885529415,0.0516766675793613,0.432355507605276,"Gamma(log)",12,-22907.8326982228,45839.7603158249,4.51075046705228,0.00473192134521851
"2674",5.79439018572713,"+",NA,NA,"+",NA,-0.0712134423197125,NA,NA,NA,-0.195077207967127,-0.0163618620413789,NA,NA,NA,NA,-0.100333106975458,NA,NA,45839.6653983856,45912.885531355,0.0516767088407572,0.432355661439164,"Gamma(log)",12,-22907.8326991928,45839.760317765,4.51075240711361,0.00473191675511191
"465",5.80508394368027,"+",NA,0.0285983814899188,"+",NA,-0.077137286905081,-0.0613746480053583,NA,NA,-0.197497192053906,-0.0204082589050943,NA,NA,-0.0895440874816573,NA,NA,NA,NA,45839.6447607989,45925.0682492633,0.0526016748562427,0.422062958909357,"Gamma(log)",14,-22905.8223803995,45839.7726146802,4.52304932234256,0.00470291202406102
"1522",5.78406107543279,"+",0.0327760392211292,NA,"+","+",-0.0770224407104214,NA,NA,NA,-0.219825543058636,NA,NA,NA,NA,NA,-0.109025247494771,NA,NA,45839.6267518129,45931.1519180247,0.0542261601191902,0.43539297943759,"Gamma(log)",15,-22904.8133759064,45839.7729150285,4.52334967060597,0.00470220582135934
"2670",5.7977646996889,"+",NA,NA,"+","+",-0.0758485320370446,NA,NA,NA,-0.221946816326409,NA,NA,NA,-0.0988724746351958,NA,NA,NA,NA,45839.6745547931,45925.0980432575,0.0525529244476214,0.430380461648087,"Gamma(log)",14,-22905.8372773966,45839.8024086744,4.55284331656731,0.00463337201192374
"3431",5.79289974750987,"+",NA,NA,"+",NA,-0.0732504654697387,NA,NA,NA,-0.193876864273523,NA,NA,NA,-0.0991096286019673,NA,NA,NA,NA,45839.736090949,45906.854546171,0.0513904493512944,0.4293661396971,"Gamma(log)",11,-22908.8680454745,45839.8163829198,4.56681756192847,0.00460111091063638
"7",5.79722287201013,"+",0.031326670613429,0.0313642618035952,"+","+",-0.0812735623777662,-0.0594560800688824,NA,NA,-0.224386867801888,-0.0199299433404573,NA,NA,NA,NA,-0.0988479659446081,NA,NA,45839.6244988748,45949.454698329,0.0551984181975951,0.427951803576966,"Gamma(log)",18,-22901.8122494374,45839.8329719013,4.58340654347558,0.00456310487688468
"23",5.79722034077773,"+",0.031327691540484,0.0313645969634761,"+","+",-0.0812740628002734,-0.0594561101911171,NA,NA,-0.224386792152615,-0.0116081000814403,NA,NA,NA,NA,NA,NA,-0.10185596008573,45839.6244994769,45949.454698931,0.0551984583296474,0.42795170393258,"Gamma(log)",18,-22901.8122497384,45839.8329725034,4.58340714553196,0.00456310350326166
"87",5.79151278543936,"+",0.0313364782959004,0.028333690817538,"+",NA,-0.0781716401284894,-0.0600813103079688,NA,NA,-0.195647014309375,-0.0106570594424987,NA,NA,NA,NA,NA,NA,-0.103623999657633,45839.699743391,45931.2249096028,0.0541202656942389,0.426894692854453,"Gamma(log)",15,-22904.8498716955,45839.8459066066,4.59634124874719,0.00453368889283361
"49",5.79151510756749,"+",0.0313358833757484,0.0283334588859063,"+",NA,-0.0781711819186332,-0.0600800112705629,NA,NA,-0.19564653568112,-0.0191237788324536,NA,NA,NA,NA,-0.100563944485723,NA,NA,45839.6997445833,45931.2249107951,0.0541202633629471,0.426894865979687,"Gamma(log)",15,-22904.8498722916,45839.8459077989,4.59634244100744,0.00453368619016591
"1640",5.80028987641997,"+",NA,NA,"+","+",-0.0738200964962377,NA,NA,NA,-0.223015763851663,-0.0172068242369567,NA,NA,NA,NA,-0.099068288994577,NA,NA,45839.727613047,45931.2527792589,0.0527729192347946,0.433265665593675,"Gamma(log)",15,-22904.8638065235,45839.8737762626,4.62421090478892,0.00447095085489614
"1656",5.80028953055462,"+",NA,NA,"+","+",-0.073820091534403,NA,NA,NA,-0.223015208582322,-0.00886572292890731,NA,NA,NA,NA,NA,NA,-0.102082977122346,45839.7276148931,45931.2527811049,0.0527729577771072,0.433264756718585,"Gamma(log)",15,-22904.8638074465,45839.8737781087,4.62421275080851,0.00447094672816662
"46",5.79742339535759,"+",0.0231951737614845,0.0322852750405125,"+","+",-0.0829272279729235,-0.0594255977366284,NA,NA,-0.22344856602836,NA,NA,NA,-0.0988211617788537,NA,NA,NA,NA,45839.7244466369,45943.4529683436,0.0546760927886258,0.42461790170245,"Gamma(log)",17,-22902.8622233184,45839.9109183005,4.66135294263222,0.00438868696833835
"225",5.79292785951235,"+",0.023121964582193,0.0292075343478845,"+",NA,-0.0797955000752427,-0.0600690599235942,NA,NA,-0.194530616445121,NA,NA,NA,-0.0995297892504776,NA,NA,NA,NA,45839.933177524,45925.3566659884,0.053531800599073,0.423428604376673,"Gamma(log)",14,-22905.966588762,45840.0610314053,4.811466047453,0.00407134549749894
"1950",5.7977712968567,"+",NA,0.0188860718760914,"+",NA,NA,-0.060515825689959,NA,NA,-0.202850453331872,NA,NA,NA,NA,NA,-0.118365001880178,NA,NA,45839.9755434467,45913.1956764161,0.051754623926756,0.417496685621544,"Gamma(log)",12,-22907.9877717233,45840.0704628261,4.82089746820566,0.00405219140935245
"1870",5.79252257852623,"+",0.0149639670589904,NA,"+",NA,NA,-0.0601218610061357,NA,NA,-0.201041710390366,NA,NA,NA,NA,NA,NA,NA,-0.12131528735465,45840.0105146175,45913.2306475869,0.0523982207991838,0.417899486820591,"Gamma(log)",12,-22908.0052573087,45840.1054339968,4.85586863899516,0.00398195234560048
"2117",5.79987606025565,"+",NA,NA,"+",NA,NA,-0.0608942622840215,NA,NA,-0.202413988720121,-0.00863612004444117,NA,NA,NA,NA,NA,NA,-0.115308855159603,45840.018877828,45913.2390107975,0.0517753198172714,0.416894049768548,"Gamma(log)",12,-22908.009438914,45840.1137972074,4.8642318495622,0.00396533615801459
"2055",5.79987722282099,"+",NA,NA,"+",NA,NA,-0.0608930054572356,NA,NA,-0.20241570445011,-0.0180580910259277,NA,NA,NA,NA,-0.111902427813747,NA,NA,45840.0188782541,45913.2390112235,0.0517754489525015,0.416893824182228,"Gamma(log)",12,-22908.009439127,45840.1137976334,4.86423227558407,0.00396533531335472
"1193",5.80490255026247,"+",NA,0.0210729313762607,"+","+",NA,-0.0601415001283882,NA,NA,-0.231021254764378,NA,NA,NA,NA,NA,NA,NA,-0.119154727963174,45840.0539889282,45931.57915514,0.0527409542184835,0.418345449734568,"Gamma(log)",15,-22905.0269944641,45840.2001521438,4.95058678591158,0.00379776662868655
"669",5.78519722622253,"+",0.0361898532776159,0.0316675821178734,"+","+",-0.0816304934641054,NA,NA,NA,-0.224831932310844,NA,NA,NA,NA,NA,NA,NA,-0.107664001877566,45840.0712540266,45937.6980979859,0.0541697629634122,0.436817461092797,"Gamma(log)",16,-22904.0356270133,45840.2369561283,4.98739077050413,0.00372851925536887
"1431",5.77996189642882,"+",0.0364028030520488,0.0286085213317791,"+",NA,-0.0784322826352012,NA,NA,NA,-0.196107367239142,NA,NA,NA,NA,NA,NA,NA,-0.108999586180626,45840.2076708616,45919.5294815786,0.0530286212716402,0.435782654242719,"Gamma(log)",13,-22907.1038354308,45840.3184438379,5.06887848006591,0.00357965818778385
"1802",5.79198449740944,"+",0.0128472948705951,NA,"+",NA,NA,-0.060032608445126,NA,NA,-0.20016112148796,NA,NA,NA,NA,NA,-0.120529025946406,NA,NA,45840.3577348176,45913.5778677871,0.0523756078260608,0.417770678149134,"Gamma(log)",12,-22908.1788674088,45840.452654197,5.20308883915277,0.00334732707079239
"2921",5.79800412083725,"+",NA,NA,"+",NA,NA,-0.0605086337050976,NA,NA,-0.201336377503724,NA,NA,NA,-0.111349080833778,NA,NA,NA,NA,45840.4056276643,45907.5240828863,0.0514427904174114,0.413303548841097,"Gamma(log)",11,-22909.2028138321,45840.4859196351,5.23635427722911,0.00329211237823967
"372",5.79395683798279,"+",0.0258161989133594,NA,"+",NA,-0.0754150364756771,-0.0603927472177781,NA,NA,-0.193564267899654,-0.0223445477355655,NA,NA,-0.0926004907992609,NA,NA,NA,NA,45840.361343052,45925.7848315164,0.0536156840875256,0.422368094188485,"Gamma(log)",14,-22906.180671526,45840.4891969333,5.23963157545222,0.00328672217874487
"129",5.79994975149036,"+",0.0258179947634742,NA,"+","+",-0.0777983301398861,-0.0597867451859138,NA,NA,-0.221553560989214,-0.0229783147028868,NA,NA,-0.0921897474299851,NA,NA,NA,NA,45840.352846604,45944.0813683107,0.054722152220208,0.423387012356254,"Gamma(log)",17,-22903.176423302,45840.5393182676,5.28975290973176,0.00320537825198398
"1136",5.8030613699159,"+",NA,0.0211372278467451,"+","+",NA,-0.0599660393439693,NA,NA,-0.230104835111744,NA,NA,NA,NA,NA,-0.118552927216216,NA,NA,45840.3965963351,45931.9217625469,0.0527963590746809,0.418344016783971,"Gamma(log)",15,-22905.1982981675,45840.5427595507,5.29319419282547,0.00319986768720314
