"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(SelfR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","cond(InflowLR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"3082",5.70041191552162,"+",0.256313845525798,0.0320625061339618,NA,NA,NA,NA,NA,-0.0265802580195755,NA,NA,NA,NA,NA,NA,NA,-0.124321760071572,NA,45992.1185436633,46053.1353211379,0.0178033993605681,0.416791356955367,"Gamma(log)",10,-22986.0592718317,45992.1854332954,156.935867937602,3.77002132377298e-36
"2604",5.70809174068746,"+",NA,0.0691098227565467,NA,"+",-0.0765603761711328,NA,NA,NA,-0.245056675453307,NA,NA,NA,NA,NA,NA,-0.020187646608081,NA,45992.0979263034,46071.4197370203,0.0147535315541714,0.421767128135716,"Gamma(log)",13,-22983.0489631517,45992.2086992796,156.959133921788,3.72641880113753e-36
"263",5.73451780799012,"+",0.268591939340452,0.0418160853659698,NA,"+",-0.13097846625956,-0.0650112347782742,NA,NA,NA,-0.0661636415844374,-0.0496455872483987,NA,NA,NA,NA,NA,NA,45992.0926451162,46083.617811328,0.0198017973384959,0.413352448850068,"Gamma(log)",15,-22981.0463225581,45992.2388083318,156.989242973927,3.67073949650842e-36
"1584",5.71203391279836,"+",NA,0.0641634237699734,NA,NA,-0.0708935834552961,NA,NA,-0.0169707209276221,-0.230167110546738,-0.062224430662912,0.0316737282904311,NA,NA,NA,NA,NA,NA,45992.161939898,46065.3820728675,0.0139013537689165,0.421095402187402,"Gamma(log)",12,-22984.080969949,45992.2568592774,157.007293919538,3.63775839590342e-36
"3587",5.73346392967729,"+",0.249619722003036,NA,NA,NA,-0.126644364491149,-0.0642080799700742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45992.217229581,46047.1323293081,0.0169085819791947,0.407136908569592,"Gamma(log)",9,-22987.1086147905,45992.2719408272,157.022375469343,3.61043004665264e-36
"1960",5.70818965478658,"+",NA,0.0567042256087315,NA,"+",NA,-0.0642139113503108,NA,NA,-0.245062345491177,NA,NA,NA,NA,NA,NA,-0.0332718294057691,NA,45992.1931731386,46071.5149838555,0.0148061764438896,0.404122463526473,"Gamma(log)",13,-22983.0965865693,45992.3039461149,157.05438075705,3.55311345213575e-36
"765",5.73941712516044,"+",0.260116733175389,0.0418282240760236,NA,"+",-0.130851748772584,-0.0647382492347905,NA,NA,NA,-0.0744160429646542,NA,NA,NA,NA,NA,NA,NA,45992.2067364273,46077.6302248917,0.0193197231200823,0.41194481619023,"Gamma(log)",14,-22982.1033682137,45992.3345903086,157.085024950749,3.49908725795276e-36
"2798",5.70766128450597,"+",0.253940426493381,NA,NA,"+",NA,-0.0625692362093368,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144239533933407,NA,45992.2556478962,46065.4757808656,0.0184839137689992,0.405916635527104,"Gamma(log)",12,-22984.1278239481,45992.3505672755,157.10100191769,3.47124620916836e-36
"2638",5.7094289369351,"+",NA,0.0689043693970163,NA,"+",-0.0774391558243142,NA,NA,-0.0140618580268354,-0.250043164522513,NA,NA,NA,NA,NA,NA,NA,NA,45992.2468271889,46071.5686379058,0.014792320672488,0.421454084277092,"Gamma(log)",13,-22983.1234135944,45992.3576001651,157.108034807286,3.45906120000509e-36
"1353",5.72839917154367,"+",0.269490792628243,0.0410464663768182,NA,"+",-0.120680840270958,NA,NA,-0.0704744836284068,NA,-0.0682247532756051,NA,NA,NA,NA,NA,NA,NA,45992.2393143042,46077.6628027686,0.0191744653773618,0.424735234871874,"Gamma(log)",14,-22982.1196571521,45992.3671681855,157.117602827624,3.44255253634296e-36
"926",5.73304027971833,"+",0.269517590422394,NA,NA,"+",-0.123880684227383,-0.0650320218694849,NA,NA,NA,-0.0676730590903323,-0.0497973861185984,NA,NA,NA,NA,NA,NA,45992.2842851763,46077.7077736407,0.0193739357863297,0.41121546437122,"Gamma(log)",14,-22982.1421425881,45992.4121390576,157.16257369973,3.36600902353209e-36
"2294",5.71766870369269,"+",0.264260027255547,0.0440494118104408,NA,NA,-0.125784362745209,NA,NA,-0.0548808226258753,NA,NA,-0.0333181377133325,NA,NA,NA,NA,NA,NA,45992.3469830133,46059.4654382353,0.0178146528144347,0.423024636816575,"Gamma(log)",11,-22985.1734915066,45992.4272749841,157.177709626238,3.34063134073935e-36
"2397",5.72691154533886,"+",0.270473284952877,NA,NA,"+",-0.113504202874636,NA,NA,-0.0712937127346205,NA,-0.0696878323201785,NA,NA,NA,NA,NA,NA,NA,45992.3401044733,46071.6619151902,0.0188499693887666,0.422782911875472,"Gamma(log)",13,-22983.1700522366,45992.4508774495,157.201312091689,3.301439483799e-36
"3093",5.71823473847879,"+",0.257569236100938,0.045837502865465,NA,NA,-0.121689389536715,NA,NA,NA,NA,NA,NA,NA,NA,-0.065117644879257,NA,NA,NA,45992.4018844283,46053.4186619029,0.017546400328072,0.420512195690575,"Gamma(log)",10,-22986.2009422142,45992.4687740604,157.219208702598,3.27202897819926e-36
