"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowBR)","cond(IndegreeBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"1299",5.97044516835832,"+",NA,NA,"+","+",-0.134743717893489,-0.0661070024021272,NA,NA,-0.259769906555846,0.542787772277666,NA,NA,NA,-0.130448462475289,NA,NA,NA,NA,45624.1995824927,45721.826426452,0.104932457073195,0.439964334894842,"Gamma(log)",16,-22796.0997912463,45624.3652845944,0,0.091219266604028
"1246",5.97179731001187,"+",NA,NA,"+","+",-0.135425591238207,-0.0661366976824186,NA,NA,-0.259881782296037,0.545096923465319,NA,NA,-0.130740469110976,NA,NA,NA,NA,NA,45624.2317656582,45721.8586096174,0.105546952341325,0.437703121352843,"Gamma(log)",16,-22796.1158828291,45624.3974677599,0.0321831654800917,0.089763151248633
"1315",5.97230424281932,"+",NA,NA,"+","+",-0.134600323193081,-0.0662528724990228,NA,NA,-0.261112700832896,0.542127212824613,NA,NA,NA,NA,NA,NA,NA,-0.129225829551234,45624.3126700976,45721.9395140569,0.105105457447214,0.44020953187438,"Gamma(log)",16,-22796.1563350488,45624.4783721994,0.11308760492102,0.0862044955559823
"402",5.95473475109208,"+",0.0400828190194763,NA,"+","+",-0.138148279534901,-0.0644526407571862,NA,NA,-0.258120057472309,0.54335196233907,NA,NA,NA,-0.133644243753778,NA,NA,NA,NA,45625.4610052765,45729.1895269833,0.104878604001035,0.44082513350939,"Gamma(log)",17,-22795.7305026383,45625.6474769402,1.28219234572316,0.048046532025782
"417",5.95595256774514,"+",0.0417184849557484,NA,"+","+",-0.138069033379436,-0.0645392945531364,NA,NA,-0.259394436408664,0.542706450164349,NA,NA,NA,NA,NA,NA,NA,-0.132776342426894,45625.5132671067,45729.2417888134,0.105051970233038,0.441098294164666,"Gamma(log)",17,-22795.7566335534,45625.6997387703,1.33445417590701,0.0468072939044187
"350",5.9576356246876,"+",0.0362790386998514,NA,"+","+",-0.138626665374968,-0.0646321253367752,NA,NA,-0.25842732189114,0.54563236022934,NA,NA,-0.13322224008492,NA,NA,NA,NA,NA,45625.6237879733,45729.35230968,0.105499590482553,0.438443968839396,"Gamma(log)",17,-22795.8118939866,45625.8102596369,1.44497504245373,0.0442908721774493
"484",5.9704432226303,"+",NA,0.00174989653285618,"+","+",-0.13495599252991,-0.0660992950454683,NA,NA,-0.259984062045281,0.542608921990937,NA,NA,NA,-0.130308701694937,NA,NA,NA,NA,45626.1956615812,45729.9241832879,0.104906515716107,0.440037727707144,"Gamma(log)",17,-22796.0978307906,45626.3821332448,2.0168486504117,0.0332761793502825
"522",5.97063923372067,"+",NA,NA,"+","+",-0.134705901808191,-0.0661234870242558,NA,NA,-0.259907020547773,0.54272103759689,0.00977878579280336,NA,NA,NA,NA,NA,NA,-0.133950409330679,45626.1978503376,45729.9263720443,0.104951087918175,0.439994581624153,"Gamma(log)",17,-22796.0989251688,45626.3843220012,2.01903740674607,0.0332397825456811
"509",5.97063733112961,"+",NA,NA,"+","+",-0.134706434043742,-0.0661233661433058,NA,NA,-0.259904747277865,0.54272093533823,-0.00116633236248517,NA,NA,-0.129994975905745,NA,NA,NA,NA,45626.1978512226,45729.9263729294,0.104951314169922,0.439993682639999,"Gamma(log)",17,-22796.0989256113,45626.3843228863,2.01903829183721,0.0332397678355658
"430",5.97178246434695,"+",NA,0.00223985971026209,"+","+",-0.135692112089663,-0.0661264553723711,NA,NA,-0.260153345163757,0.544864071929183,NA,NA,-0.130570485879456,NA,NA,NA,NA,NA,45626.2253381408,45729.9538598475,0.105510629499868,0.437800775514051,"Gamma(log)",17,-22796.1126690704,45626.4118098044,2.04652521001117,0.0327860633223518
"507",5.97213951665668,"+",NA,NA,"+","+",-0.135347820142627,-0.0661661394320221,NA,NA,-0.26012821415474,0.544960398602348,-0.00216651396084458,NA,-0.129913033295852,NA,NA,NA,NA,NA,45626.2257523561,45729.9542740628,0.105577803730174,0.437774169305263,"Gamma(log)",17,-22796.1128761781,45626.4122240197,2.04693942530866,0.0327792737809727
"502",5.97229732682021,"+",NA,0.00178070988615198,"+","+",-0.134815040068218,-0.0662446623476348,NA,NA,-0.261330150031261,0.54194584426337,NA,NA,NA,NA,NA,NA,NA,-0.129084906162027,45626.3086071201,45730.0371288269,0.105078387491572,0.440286586252489,"Gamma(log)",17,-22796.1543035601,45626.4950787838,2.12979418932082,0.0314490581993502
"968",5.94962710829602,"+",0.0372738569688847,NA,"+",NA,-0.139155892464232,-0.0648338090519963,NA,NA,-0.249375392562361,0.544941776826933,NA,NA,-0.136884339525591,NA,NA,NA,NA,NA,45627.487283188,45712.9107716524,0.106655389663225,0.440587338074923,"Gamma(log)",14,-22799.743641594,45627.6151370693,3.2498524748662,0.0179634635802136
"120",5.95509272248747,"+",0.0406530858275053,NA,"+","+",-0.138075248959169,-0.0644803995488294,NA,NA,-0.258507339756532,0.543154483844713,0.00757948971717194,NA,NA,NA,NA,NA,NA,-0.136336435540688,45627.4450586132,45737.2752580673,0.10493472477581,0.440918921140067,"Gamma(log)",18,-22795.7225293066,45627.6535316397,3.28824704525323,0.0176219028558333
"109",5.95510153728887,"+",0.04065441992602,NA,"+","+",-0.138072242784815,-0.0644821141672172,NA,NA,-0.25851042522504,0.543157063402052,-0.00356131584851686,NA,NA,-0.132310230236994,NA,NA,NA,NA,45627.4450587798,45737.275258234,0.104934885656507,0.440922195631066,"Gamma(log)",18,-22795.7225293899,45627.6535318063,3.28824721187993,0.0176219013876936
"87",5.95469701587998,"+",0.0401872419797497,0.00240255090619345,"+","+",-0.138448466266925,-0.0644387367146994,NA,NA,-0.258409267163921,0.54310684148483,NA,NA,NA,-0.133460586177238,NA,NA,NA,NA,45627.4536216872,45737.2838211414,0.104841681373915,0.440925477570219,"Gamma(log)",18,-22795.7268108436,45627.6620947137,3.2968101192746,0.0175466153147656
"102",5.95591114831319,"+",0.0418232609689714,0.00244009629129304,"+","+",-0.138374043547628,-0.064525726213358,NA,NA,-0.259688439036595,0.54245925983175,NA,NA,NA,NA,NA,NA,NA,-0.132589342835448,45627.5056523896,45737.3358518437,0.105014795087263,0.441199715527353,"Gamma(log)",18,-22795.7528261948,45627.7141254161,3.34884082165081,0.0170960205588005
"107",5.95805355594177,"+",0.0370565711296905,NA,"+","+",-0.138526374013927,-0.064664353367567,NA,NA,-0.258910654230387,0.545356641911749,-0.00450661438315455,NA,-0.131558181407354,NA,NA,NA,NA,NA,45627.598137807,45737.4283372611,0.105563863531078,0.438597339443812,"Gamma(log)",18,-22795.7990689035,45627.8066108335,3.4413262390517,0.0163234546948279
"37",5.95757803784725,"+",0.0364155229646954,0.00287722833248876,"+","+",-0.13898319700215,-0.0646150055778449,NA,NA,-0.25877331666857,0.545336510540896,NA,NA,-0.133011288194047,NA,NA,NA,NA,NA,45627.6131997119,45737.4433991661,0.105453416212667,0.438565660380537,"Gamma(log)",18,-22795.806599856,45627.8216727384,3.4563881439899,0.0162009852679292
"3093",5.96159854691913,"+",NA,NA,"+","+",-0.134473788245501,NA,NA,NA,-0.261738887037049,0.541888725220588,NA,NA,NA,-0.130179177253495,NA,NA,NA,NA,45627.7390020418,45719.2641682537,0.100423934969422,0.447559698189718,"Gamma(log)",15,-22798.8695010209,45627.8851652574,3.51988066300692,0.0156947427546937
"3041",5.96294650977731,"+",NA,NA,"+","+",-0.135152363410521,NA,NA,NA,-0.261854667946892,0.5441915698214,NA,NA,-0.130447519532665,NA,NA,NA,NA,NA,45627.7776906259,45719.3028568377,0.10100331264043,0.44539085972544,"Gamma(log)",15,-22798.888845313,45627.9238538415,3.55856924706313,0.0153940567231178
"3110",5.96344107769473,"+",NA,NA,"+","+",-0.134358410209778,NA,NA,NA,-0.263085164312077,0.541225838117596,NA,NA,NA,NA,NA,NA,NA,-0.128877914703423,45627.8737183446,45719.3988845564,0.100582297132443,0.447820185150026,"Gamma(log)",15,-22798.9368591723,45628.0198815602,3.65459696576727,0.0146723922317324
