"","X","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","Indegree","ModelMode","btwdegree","Inflow","Outdegree","InflowLR","SelfR","Larval_behaviour","FE","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR"
"65",65,"V190","central_iwp","aceh","aceh_2",28.93665872,155.157,450.3657373,0,"Fished",86.56011682,65,"pare",3071.84760632402,5470,52,5728,258,"passive","pare",0,0,0,0,0,0,0,0
"66",66,"V1901","central_iwp","solomon","solomon_8",29.36426549,88.884,1.644818785,0,"Fished",64.80812435,64,"pare",146588.563256719,1762,118,1806,44,"passive","pare",0,0,0,0,0,0,0,0
"67",67,"V1917","central_iwp","solomon","solomon_21",29.36725016,171.429,4.114091201,21,"Closed",529.2527502,170,"pare",5435.83799096336,7496,71,7582,86,"passive","pare",0,0,0,0,0,0,0,0
"68",68,"V1919","central_iwp","solomon","solomon_3",29.32487338,80.888,3.753540451,0,"Fished",59.0050427,161,"pare",4106.47383161228,6056,79,6100,44,"passive","pare",0,0,0,0,0,0,0,0
"69",69,"V1929","central_iwp","solomon","solomon_25",29.34697635,71.6,35.56657712,0,"Fished",145.7012041,72,"pare",3332.8167140963,2166,54,2198,32,"passive","pare",0,0,0,0,0,0,0,0
"70",70,"V193","central_iwp","aceh","aceh_5",28.9640574,106.6,379.9162581,0,"Fished",126.9153394,25,"pare",209649.864819914,676,76,706,30,"passive","pare",0,0,0,0,0,0,0,0
"71",71,"V1938","central_iwp","solomon","solomon_39",29.24609738,110.508,72.61468967,0,"Fished",116.2858683,65,"pare",18012.9086441888,2034,41,2100,66,"passive","pare",0,0,0,0,0,0,0,0
"72",72,"V194","central_iwp","aceh","aceh_1",28.91175731,138.258,131.2382199,36,"Closed",453.732283,27,"pare",494395.392785042,750,81,784,34,"passive","pare",0,0,0,0,0,0,0,0
"73",73,"V2718","offshore_tep","galapagos","galapagos_6",24.29601533,35.495,0.268098073,21,"Restricted",183.7046932,0,"pare",0,0,1,0,0,"passive","pare",0,0,0,0,0,0,0,0
"74",74,"V2720","offshore_tep","galapagos","galapagos_7",23.75558272,49.897,0.251718396,21,"Restricted",552.266912,0,"pare",0,0,0,0,0,"passive","pare",0,0,0,0,0,0,0,0
"75",75,"V2725","offshore_tep","galapagos","galapagos_8",23.73613035,36.55,0.196488391,21,"Restricted",203.1917289,0,"pare",0,0,0,0,0,"passive","pare",0,0,0,0,0,0,0,0
"76",76,"V2729","offshore_tep","galapagos","galapagos_9",23.90043212,47.673,0.548783763,21,"Restricted",303.9409176,3,"pare",50.1706349206349,78,15,78,0,"passive","pare",0,0,0,0,0,0,0,0
"77",77,"V2732","offshore_tep","galapagos","galapagos_10",25.48904106,34.561,0.014319231,21,"Restricted",258.5368862,6,"pare",23.4524503274503,158,7,158,0,"passive","pare",0,0,0,0,0,0,0,0
"78",78,"V2733","offshore_tep","galapagos","galapagos_11",25.83872891,43.089,0.011239473,21,"Restricted",381.9061842,16,"pare",138.576852183633,414,10,440,26,"passive","pare",0,0,0,0,0,0,0,0
"79",79,"V2734","offshore_tep","galapagos","galapagos_5",23.77992005,31.315,0.040760519,21,"Restricted",159.5632964,9,"pare",24.5,242,1,242,0,"passive","pare",0,0,0,0,0,0,0,0
"80",80,"V2735","eastern_atlantic","stome","stome_3",27.20654923,31.763,50.98759892,0,"Fished",55.67507126,10,"pare",55.3107309357309,264,10,264,0,"passive","pare",0,0,0,0,0,0,0,0
"81",81,"V2738","hawaiian","hawaii","hawaii_6",25.02577162,60.884,18.57116427,0,"Fished",68.25257835,18,"pare",487.610986235986,454,3,480,26,"passive","pare",0,0,0,0,0,0,0,0
"82",82,"V2877","hawaiian","hawaii","hawaii_12",24.9570668,67,8140.402653,0,"Fished",84.16284667,2,"pare",12.7532679738562,54,22,54,0,"passive","pare",0,0,0,0,0,0,0,0
"83",83,"V2887","hawaiian","hawaii","hawaii_7",24.69258706,72.195,1355.044583,0,"Fished",68.83592228,0,"pare",0,0,11,0,0,"passive","pare",0,0,0,0,0,0,0,0
"84",84,"V2895","hawaiian","hawaii","hawaii_11",24.7334496,65.655,557.5603609,36,"Restricted",88.68727268,6,"pare",0,158,0,158,0,"passive","pare",0,0,0,0,0,0,0,0
"85",85,"V2909","central_iwp","christmas_island","christmas_island_2",27.73467077,165.661,10.22965783,39,"Restricted",298.9445391,22,"pare",11570.327774766,598,23,598,0,"passive","pare",0,0,0,0,0,0,0,0
"86",86,"V2985","sw_pacific","lord_howe_island","lord_howe_island_2",21.30228868,65.364,0.010341511,20,"Closed",493.6841296,4,"pare",48.3389094884472,104,3,104,0,"passive","pare",0,0,0,0,0,0,0,0
"87",87,"V2986","sw_pacific","norfolk_island","norfolk_island_2",21.39241737,24.727,2.400597482,7,"Restricted",64.85770094,7,"pare",253.644948810037,184,3,184,0,"passive","pare",0,0,0,0,0,0,0,0
"88",88,"V2987","sw_pacific","elizabeth_and_middleton_reefs","elizabeth_and_middleton_reefs_1",22.09420541,118.391,0.000199943,7,"Closed",324.4118249,6,"pare",10.242101622757,156,2,156,0,"passive","pare",0,0,0,0,0,0,0,0
"89",89,"V2988","sw_pacific","elizabeth_and_middleton_reefs","elizabeth_and_middleton_reefs_2",22.00430401,124.246,0.000333726,7,"Closed",334.29606,0,"pare",0,0,16,0,0,"passive","pare",0,0,0,0,0,0,0,0
"90",90,"V2989","sw_pacific","lord_howe_island","lord_howe_island_1",21.3805198,99.387,0.087158128,20,"Closed",191.0996738,1,"pare",20.6483516483516,26,4,26,0,"passive","pare",0,0,0,0,0,0,0,0
"91",91,"V2995","polynesian","marquesas_islands","marquesas_islands_2",27.78124254,51.667,0.356121627,0,"Fished",641.3419127,2,"pare",571.563770561192,54,4,54,0,"passive","pare",0,0,0,0,0,0,0,0
"92",92,"V3226","central_pacific","ailuk_atoll","ailuk_atoll_3",27.9030443,154.713,0.916308183,9,"Closed",451.9924885,0,"pare",0,0,0,0,0,"passive","pare",0,0,0,0,0,0,0,0
"93",93,"V3392","sw_pacific","queensland_(other)","queensland_(other)_9",27.74529785,38.5,0.651674955,7,"Closed",562.2602086,222,"pare",5193.43533262951,6786,51,6786,0,"passive","pare",0,0,0,0,0,0,0,0
"94",94,"V3439","sw_pacific","queensland_(other)","queensland_(other)_15",27.35516915,76.333,1.284305843,0,"Fished",643.8923576,312,"pare",6867.14179226323,8934,164,8934,0,"passive","pare",0,0,0,0,0,0,0,0
"95",95,"V3448","sw_pacific","central_gbr","central_gbr_26",26.51169711,151.963,13.60789281,15,"Closed",434.2453149,61,"pare",922.67082793576,1690,62,1690,0,"passive","pare",0,0,0,0,0,0,0,0
"96",96,"V3648","sw_pacific","northern_gbr","northern_gbr_8",26.87207771,122.004,0.168680305,15,"Closed",660.6724257,38,"pare",9307.72938541338,1002,94,1002,0,"passive","pare",0,0,0,0,0,0,0,0
"97",97,"V3681","sw_pacific","northern_gbr","northern_gbr_13",26.83581813,160.333,0.280553342,15,"Restricted",659.6762411,40,"pare",11980.0522334844,1092,81,1092,0,"passive","pare",0,0,0,0,0,0,0,0
"98",98,"V3707","sw_pacific","northern_gbr","northern_gbr_12",26.81103994,80.5,0.202880157,15,"Restricted",262.7460206,79,"pare",22702.4167461754,2170,89,2170,0,"passive","pare",0,0,0,0,0,0,0,0
"99",99,"V3771","sw_pacific","northern_gbr","northern_gbr_2",26.94042107,88.219,0.553697966,15,"Restricted",407.6343242,136,"pare",34465.7917561935,3788,94,3788,0,"passive","pare",0,0,0,0,0,0,0,0
"100",100,"V3773","sw_pacific","northern_gbr","northern_gbr_6",26.711259,186.31,0.511824979,15,"Restricted",783.3204859,383,"pare",262525.505800767,10782,85,10782,0,"passive","pare",0,0,0,0,0,0,0,0
"101",101,"V3773","sw_pacific","northern_gbr","northern_gbr_7",26.74504322,184,0.521713361,15,"Restricted",462.3644274,383,"pare",262525.505800767,10782,85,10782,0,"passive","pare",0,0,0,0,0,0,0,0
"102",102,"V3831","sw_pacific","northern_gbr","northern_gbr_1",26.66396436,185.384,0.66171948,19,"Restricted",384.2680544,48,"pare",13397.7824548208,1340,126,1340,0,"passive","pare",0,0,0,0,0,0,0,0
"103",103,"V3922","sw_pacific","central_gbr","central_gbr_27",26.54714343,122,4.321748627,15,"Restricted",213.4556524,212,"pare",17685.6569790639,5972,50,5972,0,"passive","pare",0,0,0,0,0,0,0,0
"104",104,"V3928","sw_pacific","central_gbr","central_gbr_7",26.61292931,138.982,2.628967975,15,"Closed",146.3016712,174,"pare",281095.792531833,4880,44,4880,0,"passive","pare",0,0,0,0,0,0,0,0
"105",105,"V3971","sw_pacific","queensland_(other)","queensland_(other)_19",27.31858919,132.667,0.847466041,0,"Fished",815.8474078,16,"pare",275.827318806413,420,52,420,0,"passive","pare",0,0,0,0,0,0,0,0
"106",106,"V3976","sw_pacific","northern_coral_sea","northern_coral_sea_4",27.15282523,167.119,0.994734012,7,"Restricted",811.7306375,17,"pare",3939.9959725163,446,72,446,0,"passive","pare",0,0,0,0,0,0,0,0
"107",107,"V3979","sw_pacific","northern_coral_sea","northern_coral_sea_10",27.14684497,186.911,1.037367592,7,"Restricted",946.8460724,71,"pare",16864.6308297296,1900,95,1900,0,"passive","pare",0,0,0,0,0,0,0,0
"108",108,"V3979","sw_pacific","northern_coral_sea","northern_coral_sea_7",27.17619328,156.267,1.163168594,7,"Restricted",624.3607264,71,"pare",16864.6308297296,1900,95,1900,0,"passive","pare",0,0,0,0,0,0,0,0
"109",109,"V3980","sw_pacific","northern_coral_sea","northern_coral_sea_3",27.14855087,171.014,0.930257788,7,"Restricted",600.6081732,138,"pare",5883.30552356847,3880,41,3880,0,"passive","pare",0,0,0,0,0,0,0,0
"110",110,"V3981","sw_pacific","northern_coral_sea","northern_coral_sea_6",27.1883592,203.211,1.159310673,7,"Restricted",939.4397659,187,"pare",65512.5090589039,5270,57,5296,26,"passive","pare",0,0,0,0,0,0,0,0
"111",111,"V4043","sw_pacific","queensland_(other)","queensland_(other)_17",27.1767765,206.167,1.226788768,0,"Fished",560.0045611,173,"pare",9191.5672521181,5578,50,5578,0,"passive","pare",0,0,0,0,0,0,0,0
"112",112,"V4044","sw_pacific","queensland_(other)","queensland_(other)_18",27.18604539,183.576,1.04806209,0,"Fished",613.000814,85,"pare",7753.85397247333,2376,62,2376,0,"passive","pare",0,0,0,0,0,0,0,0
"113",113,"V4049","sw_pacific","queensland_(other)","queensland_(other)_16",27.18128636,194.35,1.247758104,0,"Fished",1003.516175,35,"pare",3827.19803105763,950,53,950,0,"passive","pare",0,0,0,0,0,0,0,0
"114",114,"V4181","sw_pacific","central_gbr","central_gbr_20",26.23464071,142.048,2.843159731,15,"Restricted",153.1607444,409,"pare",27417.4318944415,11742,167,11768,26,"passive","pare",0,0,0,0,0,0,0,0
"115",115,"V4342","sw_pacific","whitsundays","whitsundays_2",25.67532799,102.743,2.346484256,15,"Closed",423.0430407,178,"pare",3104.78545554123,5074,228,5074,0,"passive","pare",0,0,0,0,0,0,0,0
"116",116,"V4343","sw_pacific","central_gbr","central_gbr_21",25.6795832,152.018,2.434943659,15,"Closed",894.643504,127,"pare",3123.048806529,3438,206,3438,0,"passive","pare",0,0,0,0,0,0,0,0
"117",117,"V4488","sw_pacific","central_gbr","central_gbr_9",26.28109472,57.867,6.667953172,15,"Closed",148.176814,36,"pare",1533.58573531145,950,89,950,0,"passive","pare",0,0,0,0,0,0,0,0
"118",118,"V4552","sw_pacific","queensland_(other)","queensland_(other)_1",25.04411775,120.226,0.762055417,15,"Restricted",225.7904506,150,"pare",2976.28921460021,4128,57,4128,0,"passive","pare",0,0,0,0,0,0,0,0
"119",119,"V4579","sw_pacific","capricorn_group","capricorn_group_8",24.55463253,109.786,3.261797926,15,"Closed",540.8430757,51,"pare",604.370808167284,1364,71,1364,0,"passive","pare",0,0,0,0,0,0,0,0
"120",120,"V4582","sw_pacific","capricorn_group","capricorn_group_6",24.43738718,123.321,4.218634727,15,"Restricted",312.677658,140,"pare",612.173942862692,3954,62,3954,0,"passive","pare",0,0,0,0,0,0,0,0
"121",121,"V4594","sw_pacific","capricorn_group","capricorn_group_4",24.28291566,130.171,6.779172882,15,"Restricted",268.5863302,113,"pare",2233.14847977796,3046,68,3046,0,"passive","pare",0,0,0,0,0,0,0,0
"122",122,"V4620","sw_pacific","capricorn_group","capricorn_group_2",24.5154978,150.019,7.461503311,15,"Closed",241.3003285,217,"pare",4500.14709245709,6152,134,6152,0,"passive","pare",0,0,0,0,0,0,0,0
"123",123,"V4912","sw_pacific","central_gbr","central_gbr_2",26.5672119,146.589,7.410903311,15,"Closed",337.0801062,460,"pare",15627.7764163663,13310,191,13310,0,"passive","pare",0,0,0,0,0,0,0,0
"124",124,"V4918","sw_pacific","central_gbr","central_gbr_3",26.51465166,169.128,6.858620512,15,"Restricted",440.9014478,349,"pare",9517.01811494867,9712,140,9712,0,"passive","pare",0,0,0,0,0,0,0,0
"125",125,"V4921","sw_pacific","central_gbr","central_gbr_5",26.58228857,182.246,5.027961459,15,"Restricted",803.1217673,220,"pare",2992.6951223797,6474,163,6500,26,"passive","pare",0,0,0,0,0,0,0,0
"126",126,"V4922","sw_pacific","central_gbr","central_gbr_24",26.46488439,145,5.169381462,15,"Closed",1250.382857,420,"pare",15053.6475401202,12150,145,12176,26,"passive","pare",0,0,0,0,0,0,0,0
"127",127,"V4957","sw_pacific","central_gbr","central_gbr_11",26.40171901,88,5.584992654,15,"Restricted",734.7927889,307,"pare",8163.80056256358,8524,148,8550,26,"passive","pare",0,0,0,0,0,0,0,0
"128",128,"V4994","sw_pacific","central_gbr","central_gbr_18",26.38260346,147.565,1.947964267,15,"Closed",85.84672413,229,"pare",4212.96807836013,6330,239,6330,0,"passive","pare",0,0,0,0,0,0,0,0
"129",129,"V5037","sw_pacific","central_gbr","central_gbr_19",26.45829897,153.167,1.770948976,15,"Closed",91.16645409,654,"pare",12041.7026875685,21298,129,21298,0,"passive","pare",0,0,0,0,0,0,0,0
