"","B_model_null","B_model_1","B_model_2","B_model_3","B_model_4","B_model_ENV"
"GLOBAL_ACTIVE1",0.105899316811185,0.549297200906945,0.524346778496716,0.538845558333003,0.491166832019458,0.329602153373826
"GLOBAL_ACTIVE1",2.47004866306248e-28,0.407336690510782,0.386591333990352,0.3955095201361,0.37624351095249,0.149030864097391
"GLOBAL_ACTIVE2",0.105276290433895,0.548906138947428,0.523989962044989,0.538664369482962,0.491075739638315,0.329481175586375
"GLOBAL_ACTIVE2",2.47004866306248e-28,0.407416869726183,0.387982886718573,0.396483817915542,0.375406329677761,0.148999376193944
"GLOBAL_PASSIVE",0.106585591876982,0.548676894886503,0.52408204236026,0.539476234223165,0.491212615938157,0.32870408683027
"GLOBAL_PASSIVE",2.47004866306248e-28,0.406886510174307,0.384968595961106,0.392961138994703,0.374990563288635,0.147331891155878
