"","From","To","Prob"
"16","V16","V190",3
"187","V187","V190",30
"188","V188","V190",27
"189","V189","V190",12
"190","V190","V190",36
"191","V191","V190",30
"192","V192","V190",6
"193","V193","V190",3
"194","V194","V190",3
"204","V204","V190",9
"205","V205","V190",9
"206","V206","V190",9
"207","V207","V190",27
"208","V208","V190",18
"209","V209","V190",30
"214","V214","V190",9
"215","V215","V190",12
"222","V222","V190",150
"223","V223","V190",69
"224","V224","V190",156
"225","V225","V190",123
"226","V226","V190",147
"227","V227","V190",165
"228","V228","V190",183
"229","V229","V190",129
"230","V230","V190",60
"231","V231","V190",6
"233","V233","V190",99
"235","V235","V190",117
"236","V236","V190",81
"14810","V6","V193",3
"14811","V7","V193",6
"14812","V8","V193",3
"14816","V12","V193",3
"14820","V16","V193",12
"14821","V17","V193",24
"14824","V20","V193",12
"14978","V174","V193",12
"14991","V187","V193",15
"14992","V188","V193",9
"14996","V192","V193",3
"14997","V193","V193",12
"14998","V194","V193",9
"29609","V1","V194",6
"29610","V2","V194",3
"29611","V3","V194",6
"29618","V10","V194",3
"29624","V16","V194",6
"29625","V17","V194",24
"29628","V20","V194",3
"29757","V149","V194",9
"29782","V174","V194",3
"29795","V187","V194",48
"29796","V188","V194",18
"29800","V192","V194",9
"29801","V193","V194",45
"29802","V194","V194",24
"29814","V206","V194",3
"29838","V230","V194",3
"45516","V1104","V1130",3
"60367","V1151","V1170",9
"60379","V1163","V1170",15
"60381","V1165","V1170",6
"60383","V1167","V1170",3
"60384","V1168","V1170",12
"60385","V1169","V1170",3
"60386","V1170","V1170",72
"60388","V1172","V1170",3
"60389","V1173","V1170",6
"60390","V1174","V1170",6
"60391","V1175","V1170",18
"60392","V1176","V1170",3
"60393","V1177","V1170",3
"60449","V1233","V1170",3
"60452","V1236","V1170",12
"60453","V1237","V1170",6
"60454","V1238","V1170",3
"60457","V1241","V1170",12
"75172","V1152","V1173",3
"75184","V1164","V1173",12
"75186","V1166","V1173",36
"75187","V1167","V1173",6
"75188","V1168","V1173",6
"75189","V1169","V1173",3
"75192","V1172","V1173",12
"75195","V1175","V1173",6
"75196","V1176","V1173",3
"75197","V1177","V1173",6
"75198","V1178","V1173",84
"75222","V1202","V1173",3
"75225","V1205","V1173",6
"75253","V1233","V1173",6
"75254","V1234","V1173",3
"75255","V1235","V1173",42
"75259","V1239","V1173",3
"89988","V1164","V1174",3
"89991","V1167","V1174",3
"89995","V1171","V1174",9
"89997","V1173","V1174",6
"89999","V1175","V1174",12
"90000","V1176","V1174",3
"90001","V1177","V1174",3
"90002","V1178","V1174",21
"90029","V1205","V1174",3
"90058","V1234","V1174",3
"90059","V1235","V1174",12
"90062","V1238","V1174",12
"90063","V1239","V1174",6
"90066","V1242","V1174",24
"104794","V1166","V1175",3
"104795","V1167","V1175",6
"104796","V1168","V1175",3
"104797","V1169","V1175",6
"104799","V1171","V1175",3
"104800","V1172","V1175",3
"104801","V1173","V1175",60
"104803","V1175","V1175",27
"104804","V1176","V1175",39
"104806","V1178","V1175",18
"104823","V1195","V1175",27
"104827","V1199","V1175",3
"104828","V1200","V1175",24
"104829","V1201","V1175",12
"104830","V1202","V1175",60
"104832","V1204","V1175",3
"104833","V1205","V1175",21
"104867","V1239","V1175",3
"104870","V1242","V1175",3
"119595","V1163","V1176",3
"119597","V1165","V1176",3
"119598","V1166","V1176",18
"119599","V1167","V1176",3
"119600","V1168","V1176",3
"119601","V1169","V1176",9
"119604","V1172","V1176",21
"119607","V1175","V1176",9
"119608","V1176","V1176",6
"119609","V1177","V1176",15
"119610","V1178","V1176",54
"119632","V1200","V1176",3
"119633","V1201","V1176",3
"119634","V1202","V1176",27
"119637","V1205","V1176",15
"119665","V1233","V1176",21
"119666","V1234","V1176",9
"119667","V1235","V1176",36
