"","From","To","Prob"
"172167","V9323","V1271",15
"178933","V1285","V1272",20
"178935","V1287","V1272",15
"178938","V1290","V1272",15
"178939","V1291","V1272",15
"178940","V1292","V1272",15
"178943","V1295","V1272",15
"178946","V1298","V1272",15
"178963","V1315","V1272",15
"178967","V1319","V1272",15
"178968","V1320","V1272",15
"178979","V1331","V1272",15
"178992","V1344","V1272",15
"179008","V1360","V1272",20
"179009","V1361","V1272",20
"179013","V1365","V1272",15
"179015","V1367","V1272",15
"179017","V1369","V1272",15
"179032","V1384","V1272",15
"179045","V1397","V1272",15
"179046","V1398","V1272",15
"179051","V1403","V1272",20
"179057","V1409","V1272",15
"179060","V1412","V1272",15
"179064","V1416","V1272",15
"179066","V1418","V1272",15
"179067","V1419","V1272",30
"179069","V1421","V1272",20
"179071","V1423","V1272",20
"179072","V1424","V1272",20
"179075","V1427","V1272",15
"179076","V1428","V1272",20
"179077","V1429","V1272",15
"179082","V1434","V1272",15
"179084","V1436","V1272",20
"179087","V1439","V1272",15
"179088","V1440","V1272",40
"179090","V1442","V1272",15
"179092","V1444","V1272",15
"179094","V1446","V1272",25
"179098","V1450","V1272",15
"179099","V1451","V1272",15
"179100","V1452","V1272",15
"179102","V1454","V1272",15
"179106","V1458","V1272",40
"179108","V1460","V1272",15
"179120","V1472","V1272",15
"179125","V1477","V1272",25
"179126","V1478","V1272",15
"179139","V1491","V1272",15
"179140","V1492","V1272",20
"179141","V1493","V1272",15
"179147","V1499","V1272",15
"179149","V1501","V1272",15
"179155","V1507","V1272",15
"179158","V1510","V1272",15
"179186","V1538","V1272",15
"179194","V1546","V1272",15
"179203","V1555","V1272",15
"179209","V1561","V1272",25
"179212","V1564","V1272",20
"179215","V1567","V1272",35
"179217","V1569","V1272",20
"179218","V1570","V1272",15
"179219","V1571","V1272",15
"179220","V1572","V1272",20
"179234","V1586","V1272",15
"179236","V1588","V1272",15
"179239","V1591","V1272",20
"179240","V1592","V1272",15
"179241","V1593","V1272",15
"179245","V1597","V1272",25
"179247","V1599","V1272",15
