"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"26","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.303133594006339,-0.0596518953293907,0.104557431978351,0.268248675364333,0.492047929330974,"RESIDENT","Biomass","Human/Env."
"27","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",-0.258370700091298,-0.0510025925705411,0.0902402296655012,0.226919243120496,0.430465078779643,"RESIDENT","Biomass","Human/Env."
"28","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-1.36427826632997,-0.962992435194634,-0.707882066219697,-0.433350121692826,0.00350078707795251,"RESIDENT","Biomass","Intrinsic Connect."
"29","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.664938516036825,-0.316722571022985,-0.0522756908522249,0.223203174070248,0.682571986937124,"RESIDENT","Biomass","Intrinsic Connect."
"30","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.508708995470013,-0.218070924274758,-0.0237198351962234,0.164240786415783,0.439593690314185,"RESIDENT","Biomass","Intrinsic Connect."
"31","Betweeness Centr.","b_logbiomassarea_log_btwdegree",0.9,0.5,"median",-0.748678317450061,-0.281257204113996,-0.0302470391973593,0.18018542689778,0.532257954644676,"RESIDENT","Biomass","Intrinsic Connect."
"32","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.161182875576476,-0.118875054046007,-0.0898102673596157,-0.0607479926972191,-0.0189978608239327,"RESIDENT","Biomass","Extrinsic Connect."
"33","Inflow MPA","b_logbiomassarea_log_InflowMPABR",0.9,0.5,"median",-0.595598309586604,-0.171028729965403,0.11202752145604,0.420765722308977,0.961798773020688,"RESIDENT","Biomass","Extrinsic Connect."
"34","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.360455968795582,-0.167449670197645,-0.0536830718387703,0.0542714101517989,0.222424363003077,"RESIDENT","Biomass","Extrinsic Connect."
"35","Corridor Indegree","b_logbiomassarea_log_CorridorIndegreeBR",0.9,0.5,"median",-0.374886072573011,-0.183270874346985,-0.067011625955726,0.0520982023872529,0.232785163628529,"RESIDENT","Biomass","Extrinsic Connect."
"36","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.0535576543967443,0.156263871702401,0.228369892554724,0.298623790391472,0.401925466302571,"RESIDENT","Biomass","Human/Env."
"37","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0109210928464682,0.103338527031972,0.166961515976319,0.231754169374893,0.327437516684826,"RESIDENT","Biomass","Human/Env."
"38","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",-0.0995905838359021,0.024512143849143,0.112068121742344,0.194307113632969,0.315176749912662,"RESIDENT","Biomass","Intrinsic Connect."
"39","No-Take x Netflow","b_logbiomassarea_ClassClosed:Netflow",0.9,0.5,"median",-0.578552590077949,-0.101124687559368,0.218067672420505,0.539306955826205,0.977370120611835,"RESIDENT","Biomass","Intrinsic Connect."
"40","Restricted gears x Netflow","b_logbiomassarea_ClassRestricted:Netflow",0.9,0.5,"median",-0.394401652773432,0.0704263782847222,0.376466267771883,0.683255513162052,1.12317595709147,"RESIDENT","Biomass","Intrinsic Connect."
"41","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.402460962816357,-0.220494661468691,-0.0948211667009642,0.0349611696553678,0.221739178460542,"RESIDENT","Biomass","Intrinsic Connect."
"42","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.308341489830725,-0.149659384555941,-0.0379690417419435,0.0735258091574836,0.237410880149571,"RESIDENT","Biomass","Intrinsic Connect."
"43","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.25938163138123,5.54085206860776,5.73199273004348,5.91467073500509,6.19262707889161,"PARENTAL","Biomass","Intercept"
"44","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.337491748137189,0.41312294803661,0.462662864209193,0.515079183382179,0.592952562268105,"PARENTAL","Biomass","Richness"
"45","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.0593603086677401,0.158684559981126,0.227255625318244,0.294270335926773,0.387239432600084,"PARENTAL","Biomass","Human/Env."
"46","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.32749131146738,-0.236721188669913,-0.176904021092208,-0.110326524853957,-0.00248174060566566,"PARENTAL","Biomass","Human/Env."
"47","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.469786665865147,-0.237590672458295,-0.0770392168713219,0.0780544305216835,0.306987203605135,"PARENTAL","Biomass","Human/Env."
"48","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",-0.21522810437295,0.00471714868829569,0.150521010677056,0.29714127038568,0.508348536590509,"PARENTAL","Biomass","Human/Env."
"49","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-1.35499275049887,-0.895923698643148,-0.588896716626825,-0.276773018053892,0.170142498792097,"PARENTAL","Biomass","Intrinsic Connect."
"50","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.359856139379488,-0.179461559501348,-0.0623367676728706,0.0568596663111277,0.24562087107496,"PARENTAL","Biomass","Intrinsic Connect."
"51","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.424349350302467,-0.20270889709541,-0.0628009040390472,0.0796877087040037,0.298151343533525,"PARENTAL","Biomass","Intrinsic Connect."
"52","Betweeness Centr.","b_logbiomassarea_log_btwdegree",0.9,0.5,"median",-2.03938929618701,-0.95892774406807,-0.384622502279004,0.00219886659881852,0.57352266010009,"PARENTAL","Biomass","Intrinsic Connect."
"53","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.134982656484773,-0.0928693439818708,-0.0645034047537337,-0.036080777247092,0.00679783395389064,"PARENTAL","Biomass","Extrinsic Connect."
