locality,sites,region,area,biomassarea1,biomassarea2,biomassarea,lon,lat,grav_total,Age_of_protection,Class,richness,temp
central_coral_sea,central_coral_sea_20,sw_pacific,4000,189.8539924,189.8539924,219.2209549,149.9609,-16.2939,0.184343605,7,Closed,129,26.9018395
central_coral_sea,central_coral_sea_21,sw_pacific,7000,474.8821846,474.8821846,597.6573167,147.8493,-16.4949,0.599937535,7,Closed,169,26.76329348
central_coral_sea,central_coral_sea_22,sw_pacific,12000,938.5630612,1071.25906,1458.30433,147.0995,-15.4857,0.558261139,7,Closed,239,26.95444082
central_coral_sea,central_coral_sea_23,sw_pacific,2000,161.4558966,161.4558966,174.0602302,152.3431,-18.9861,0.081743892,7,Closed,74,26.1798981
central_coral_sea,central_coral_sea_3,sw_pacific,4000,352.6465003,406.4975003,509.4689175,152.3876,-19.1104,0.083861723,7,Closed,146,26.14337838
central_coral_sea,central_coral_sea_4,sw_pacific,5000,241.726872,306.034072,559.127459,149.195,-16.9329,0.326855143,7,Closed,184,26.71731865
central_coral_sea,central_coral_sea_5,sw_pacific,8000,262.9439183,262.9439183,309.0218023,149.9993,-16.9304,0.228821343,7,Closed,185,26.6901062
central_coral_sea,central_coral_sea_6,sw_pacific,2000,214.0556667,214.0556667,381.3540134,149.9051,-16.9665,0.242196096,7,Closed,113,26.69073325
central_coral_sea,central_coral_sea_7,sw_pacific,13500,386.382277,435.4103773,526.4463592,155.8579,-17.4032,0,7,Closed,184,26.73878637
central_coral_sea,central_coral_sea_8,sw_pacific,5000,386.8520941,386.8520941,658.0751778,152.0767,-17.1215,0.000344196,7,Closed,165,26.67324968
central_coral_sea,central_coral_sea_9,sw_pacific,4000,95.21191194,95.21191194,115.9348285,151.984,-17.1153,0.002573642,7,Closed,113,26.65258977
central_gbr,central_gbr_1,sw_pacific,4000,158.5178339,158.5178339,160.8062968,145.9921,-16.945,12.60558979,15,Restricted,129,26.46935317
central_gbr,central_gbr_10,sw_pacific,4000,237.9279047,237.9279047,268.7227415,146.1925,-18.0397,8.772265516,15,Closed,90,26.29538276
central_gbr,central_gbr_11,sw_pacific,2000,734.7927889,857.4129712,888.5685044,146.4497,-17.7721,5.584992654,15,Restricted,106,26.40171901
central_gbr,central_gbr_12,sw_pacific,1500,80.32589215,80.32589215,91.84558881,148.2615,-19.9783,42.00170134,15,Restricted,46,25.69291837
central_gbr,central_gbr_13,sw_pacific,8500,452.9310057,452.9310057,541.5278457,148.9025,-20.0661,19.4375289,15,Restricted,151,25.54306077
central_gbr,central_gbr_18,sw_pacific,2000,85.84672413,85.84672413,836.7006672,147.447,-18.4048,1.947964267,15,Closed,124,26.38260346
central_gbr,central_gbr_19,sw_pacific,3000,91.16645409,91.16645409,173.5811921,147.38,-18.2662,1.770948976,15,Closed,147,26.45829897
central_gbr,central_gbr_2,sw_pacific,4000,337.0801062,337.0801062,361.0823777,145.9812,-16.566,7.410903311,15,Closed,160,26.5672119
central_gbr,central_gbr_20,sw_pacific,2000,153.1607444,153.1607444,154.3649673,147.403,-18.6505,2.843159731,15,Restricted,121,26.23464071
central_gbr,central_gbr_21,sw_pacific,4000,894.643504,894.643504,989.3920578,149.0719,-19.7987,2.434943659,15,Closed,158,25.6795832
central_gbr,central_gbr_24,sw_pacific,3000,1250.382857,1250.382857,1418.726831,146.5018,-17.5199,5.169381462,15,Closed,142,26.46488439
central_gbr,central_gbr_25,sw_pacific,2000,140.743057,140.743057,140.743057,145.5318,-16.5197,32.60832418,15,Restricted,41,26.46988989
central_gbr,central_gbr_26,sw_pacific,2000,434.2453149,539.349418,562.7273777,145.5731,-16.3883,13.60789281,15,Closed,98,26.51169711
central_gbr,central_gbr_27,sw_pacific,2000,213.4556524,213.4556524,215.0552843,145.785,-16.2122,4.321748627,15,Restricted,118,26.54714343
central_gbr,central_gbr_3,sw_pacific,2500,440.9014478,440.9014478,492.7696994,146.1918,-16.8886,6.858620512,15,Restricted,149,26.51465166
central_gbr,central_gbr_5,sw_pacific,13500,803.1217673,803.1217673,943.5466871,146.2678,-16.7592,5.027961459,15,Restricted,269,26.58228857
central_gbr,central_gbr_6,sw_pacific,4000,233.4619936,233.4619936,235.4895703,146.0881,-17.219,6.205424803,15,Restricted,99,26.44288548
central_gbr,central_gbr_7,sw_pacific,1500,146.3016712,146.3016712,150.5250485,145.8175,-15.9682,2.628967975,15,Closed,114,26.61292931
central_gbr,central_gbr_9,sw_pacific,3000,148.176814,148.176814,867.8087509,146.2799,-18.1358,6.667953172,15,Closed,63,26.28109472
christmas_island,christmas_island_1,central_iwp,6000,562.5997084,562.5997084,649.815989,105.6774,-10.4334,301.6950936,39,Restricted,202,27.7325076
christmas_island,christmas_island_2,central_iwp,2500,298.9445391,298.9445391,359.7594441,105.5969,-10.4617,10.22965783,39,Restricted,140,27.73467077
clipperton,clipperton_1,offshore_tep,8000,285.4827992,285.4827992,381.5852009,-109.2167,10.3171,0,3,Closed,41,27.87131376
cocos,cocos_1,offshore_tep,52300,683.1800463,769.2691768,1527.403106,-87.0606,5.5382,3.38E-05,37,Closed,93,27.63421351
coiba,coiba_1,continental_tep,13000,512.6080094,518.4793322,586.416089,-82.0353,7.9685,51.62274446,0,Fished,68,28.45392325
coiba,coiba_10,continental_tep,10500,327.2023254,416.0060669,778.7241126,-81.8095,7.2439,17.63828907,14,Restricted,66,28.12772938
coiba,coiba_11,continental_tep,5000,320.1850795,337.5641478,540.8745022,-81.6953,7.3126,22.71726327,14,Restricted,44,28.12772938
coiba,coiba_12,continental_tep,2000,133.806565,133.806565,149.6635204,-81.5909,7.3471,26.96722611,14,Restricted,46,28.11145066
coiba,coiba_13,continental_tep,3000,55.27128578,55.27128578,66.79299745,-82.2471,7.4705,20.71879792,14,Restricted,34,28.35676826
coiba,coiba_14,continental_tep,2000,32.89618335,32.89618335,193.0493982,-81.8921,7.5028,23.24708309,14,Restricted,33,28.28362753
coiba,coiba_16,continental_tep,2000,24.49671981,24.49671981,24.51277138,-81.6774,7.4099,25.84193424,14,Restricted,32,28.16855907
coiba,coiba_2,continental_tep,10500,463.0738335,481.1081928,794.4157221,-81.7952,7.8637,44.39592055,14,Restricted,72,28.3764616
coiba,coiba_3,continental_tep,5000,294.6761583,317.3498978,400.6795086,-81.6245,7.6943,31.97957784,14,Restricted,54,28.30562371
coiba,coiba_4,continental_tep,13000,266.7406176,280.4121041,467.118409,-81.7557,7.8126,44.19582303,14,Restricted,74,28.34453114
coiba,coiba_5,continental_tep,2000,106.4122476,106.4122476,176.8294654,-82.4402,7.8702,37.61185284,0,Fished,45,28.46847693
coiba,coiba_6,continental_tep,3500,66.66640071,66.66640071,78.08527053,-82.2867,8.1065,72.80714911,0,Fished,45,28.47620145
coiba,coiba_7,continental_tep,16500,291.4738651,303.9921749,454.922028,-81.7282,7.6324,32.34930406,14,Restricted,87,28.29849609
coiba,coiba_8,continental_tep,3000,326.7690637,326.7690637,595.3965309,-81.8503,7.565,26.37138404,14,Restricted,55,28.31004866
coiba,coiba_9,continental_tep,3000,86.53713969,86.53713969,266.8987936,-81.8381,7.419,20.4193998,14,Restricted,36,28.23292927
cook_islands,cook_islands_1,polynesian,2000,594.7565472,594.7565472,601.06432,-159.7969,-18.8734,617.3800144,2,Restricted,100,26.85307714
cook_islands,cook_islands_2,polynesian,1500,176.3104123,176.3104123,176.9748178,-159.7807,-21.1984,889.7110954,2,Restricted,65,25.76334826
cook_islands,cook_islands_3,polynesian,3500,511.7065534,511.7065534,638.2158113,-163.1862,-18.0302,0.000854855,2,Restricted,94,27.12169711
cook_islands_sp,cook_islands_sp_1,polynesian,12000,358.8420184,358.8420184,484.1209638,-163.1124,-13.249,0.000161209,2,Restricted,124,28.39715436
costa_rica,costa_rica_3,continental_tep,7500,379.680687,388.6364114,2451.43853,-83.8792,8.7113,46.78737489,43,Restricted,79,28.49118776
costa_rica,costa_rica_4,continental_tep,7500,36.23562013,36.23562013,41.18453308,-85.4875,9.8599,256.2000447,0,Fished,50,28.3803745
costa_rica,costa_rica_5,continental_tep,3500,12.20795196,12.20795196,14.12191508,-85.3989,9.8457,252.6846434,0,Fished,37,28.3803745
costa_rica,costa_rica_6,continental_tep,4500,47.32052887,47.32052887,51.02933705,-85.2875,9.7744,263.1759317,0,Fished,42,28.39161494
costa_rica,costa_rica_7,continental_tep,2000,165.9124898,165.9124898,193.8849398,-83.7266,8.6576,53.14785196,0,Fished,47,28.50413135
cuba,cuba_1,caribbean,240,99.63773697,99.63773697,429.4145375,-78.8615,20.7621,29.65107863,9,Restricted,43,28.01797581
curacao,curacao_1,caribbean,1280,134.7818248,134.7818248,142.8385039,-68.975,12.125,2086.800403,0,Fished,68,27.36272391
curacao,curacao_2,caribbean,880,166.5572277,166.5572277,169.7965271,-69.095,12.23,116.4168043,0,Fished,68,27.40738713
curacao,curacao_3,caribbean,1760,179.4782453,179.4782453,192.7986101,-68.845,12.06,107.5464134,0,Fished,77,27.37822228
curacao,curacao_4,caribbean,760,225.6181667,225.6181667,235.7604455,-69.16,12.38,117.5835715,0,Fished,62,27.4762042
cverde,cverde_1,eastern_atlantic,7720,275.8589295,275.8589295,361.8642708,-24.7669,16.7764,10.60280489,0,Fished,45,24.13931764
dampier_archipelago,dampier_archipelago_1,central_iwp,10000,590.2846145,598.8482653,771.2507981,116.5533,-20.5712,2.409338313,7,Closed,115,26.41977763
dampier_archipelago,dampier_archipelago_2,central_iwp,5000,639.0667501,639.0667501,735.7026883,116.6369,-20.5495,2.95012248,7,Closed,86,26.44683951
dampier_archipelago,dampier_archipelago_3,central_iwp,7000,480.7116551,480.7116551,593.3719095,116.4883,-20.6155,1.297595203,7,Closed,111,26.3958428
darwin_(nt),darwin_(nt)_1,central_iwp,10000,212.2973486,212.2973486,229.8991501,130.8031,-12.4494,404.1559623,0,Fished,33,28.74341118
eilat,eilat_1,nw_indian,2500,249.890263,249.890263,254.4777974,34.9448,29.4707,595.8888452,0,Fished,98,24.03708054
elizabeth_and_middleton_reefs,elizabeth_and_middleton_reefs_1,sw_pacific,17000,324.4118249,351.423686,832.237416,159.0867,-29.444,0.000199943,7,Closed,173,22.09420541
elizabeth_and_middleton_reefs,elizabeth_and_middleton_reefs_2,sw_pacific,16000,334.29606,357.6605944,632.1537174,159.0675,-29.9327,0.000333726,7,Closed,180,22.00430401
fiji,fiji_1,central_pacific,4160,44.79233009,44.79233009,48.87220219,178.6834,-18.0048,0.254019425,15,Restricted,238,27.00615768
fiji,fiji_2,central_pacific,5280,77.00472166,77.00472166,84.65986295,179.7658,-16.4158,0.013912138,14,Restricted,256,27.59865218
fiji,fiji_3,central_pacific,5200,61.96094022,61.96094022,66.69631367,-178.8101,-18.18,0.001065712,0,Fished,218,26.96022119
flores,flores_1,central_iwp,1500,172.8366949,172.8366949,220.955281,122.3333,-8.3333,35.68614418,0,Fished,231,28.88005412
flores,flores_2,central_iwp,2000,136.9161175,136.9161175,164.1492374,122.332,-8.4548,59.01622679,0,Fished,157,28.82584273
flores,flores_3,central_iwp,1500,281.1174361,281.1174361,364.2234996,122.4804,-8.4673,103.9960459,0,Fished,146,28.73653003
florida_keys,florida_keys_1,caribbean,4500,1107.517461,1107.517461,1128.447249,-81.1068,24.6263,112.4084654,29,Closed,82,26.72525131
florida_keys,florida_keys_2,caribbean,6000,711.8605473,711.8605473,723.1632542,-81.0061,24.6906,152.4117696,29,Closed,73,26.66645888
florida_keys,florida_keys_3,caribbean,2500,690.6206456,690.6206456,706.9936577,-81.4089,24.5444,90.59050737,29,Closed,65,26.75360838
florida_keys,florida_keys_4,caribbean,4000,684.6758914,684.6758914,768.9980716,-82.8937,24.618,30.33921774,29,Closed,62,26.34265548
french_polynesia,french_polynesia_1,polynesian,560,94.59353939,94.59353939,97.46942948,-143.45,-17.4833,0.166375248,0,Fished,70,27.40684221
french_polynesia,french_polynesia_11,polynesian,8000,498.9137263,542.8996305,786.201535,-134.8742,-23.1293,0.701231716,0,Fished,149,25.35386033
french_polynesia,french_polynesia_12,polynesian,2000,741.8444765,741.8444765,918.0383131,-135.0374,-23.1525,5.432876153,0,Fished,68,25.34938059
french_polynesia,french_polynesia_13,polynesian,1500,966.8739248,1301.713139,3079.957309,-141.0023,-18.0765,1.005017426,0,Fished,111,27.20935316
french_polynesia,french_polynesia_14,polynesian,2000,871.809567,950.8877663,991.3342686,-143.563,-16.6195,6.006074206,0,Fished,113,27.57633015
french_polynesia,french_polynesia_15,polynesian,1500,847.0103063,847.0103063,1228.43744,-143.9618,-16.4462,0.435574981,0,Fished,130,27.62852076
french_polynesia,french_polynesia_16,polynesian,4000,1076.483521,1122.293474,1678.922678,-144.6763,-16.8504,0.73085518,0,Fished,145,27.57873981
french_polynesia,french_polynesia_19,polynesian,1500,1133.882809,1133.882809,2560.922963,-145.4598,-16.5128,0.225795399,0,Fished,125,27.64300048
french_polynesia,french_polynesia_2,polynesian,1720,93.220904,93.220904,100.1671378,-142.5681,-17.6183,0.37221638,0,Fished,69,27.35614122
french_polynesia,french_polynesia_20,polynesian,3000,1372.443745,1372.443745,2098.345983,-145.7016,-16.0763,0.508200566,0,Fished,160,27.73077706
french_polynesia,french_polynesia_21,polynesian,1500,1013.362056,1013.362056,1672.043606,-145.8939,-15.937,0.522462543,0,Fished,109,27.77064014
french_polynesia,french_polynesia_3,polynesian,1040,32.1001186,32.1001186,37.62883035,-144.1,-16.735,8.061327092,0,Fished,55,27.57825787
french_polynesia,french_polynesia_4,polynesian,2440,85.79922232,85.79922232,95.86441658,-145.1189,-15.9678,0.263461038,0,Fished,106,27.742357
french_polynesia,french_polynesia_5,polynesian,1960,81.50211739,81.50211739,83.48329852,-142.2189,-18.1353,2.482728866,0,Fished,85,27.21405742
french_polynesia,french_polynesia_6,polynesian,1400,43.04500342,43.04500342,44.88352433,-142.8835,-16.7226,3.470567723,0,Fished,80,27.51141777
french_polynesia,french_polynesia_7,polynesian,320,61.49251332,61.49251332,63.96313339,-144.6465,-15.7236,0.043211967,0,Fished,14,27.76048952
french_polynesia,french_polynesia_8,polynesian,1480,29.37979827,29.37979827,48.96387528,-142.5667,-17.3178,0.109777044,0,Fished,55,27.39614944
french_polynesia,french_polynesia_9,polynesian,280,79.14533738,79.14533738,92.00209841,-144.2836,-16.8175,0.437413005,0,Fished,35,27.58748295
galapagos,galapagos_1,offshore_tep,6000,144.8748748,144.8748748,218.0848085,-91.3322,-0.7047,0.05426732,21,Restricted,36,23.0602514
galapagos,galapagos_10,offshore_tep,6000,258.5368862,258.5368862,484.5391323,-91.8156,1.3832,0.014319231,21,Restricted,42,25.48904106
galapagos,galapagos_11,offshore_tep,4000,381.9061842,381.9061842,565.7277048,-91.998,1.6773,0.011239473,21,Restricted,45,25.83872891
galapagos,galapagos_12,offshore_tep,3500,419.7307964,419.7307964,912.4020977,-90.4493,0.2976,0.069450507,21,Restricted,45,24.66945454
galapagos,galapagos_13,offshore_tep,6000,222.595924,222.595924,536.2610265,-89.9589,0.3165,0.064092305,21,Restricted,46,24.67105366
galapagos,galapagos_2,offshore_tep,6000,248.4393881,248.4393881,314.2824715,-91.3585,-0.3356,0.047256402,21,Restricted,40,23.44377275
galapagos,galapagos_3,offshore_tep,8000,194.069049,194.069049,253.659984,-91.4088,-0.2662,0.038743507,21,Restricted,40,23.38122619
galapagos,galapagos_4,offshore_tep,4000,178.560715,178.560715,277.2922243,-91.6586,-0.3132,0.033086257,21,Restricted,24,23.01444636
galapagos,galapagos_5,offshore_tep,5500,159.5632964,159.5632964,364.3896144,-91.5431,-0.0473,0.040760519,21,Restricted,31,23.77992005
galapagos,galapagos_6,offshore_tep,6000,183.7046932,183.7046932,304.9209437,-90.5679,-0.2603,0.268098073,21,Restricted,41,24.29601533
galapagos,galapagos_7,offshore_tep,5500,552.266912,552.266912,1343.405534,-90.4003,-1.2359,0.251718396,21,Restricted,55,23.75558272
galapagos,galapagos_8,offshore_tep,3000,203.1917289,203.1917289,609.826519,-90.4803,-1.25,0.196488391,21,Restricted,34,23.73613035
galapagos,galapagos_9,offshore_tep,6500,303.9409176,303.9409176,672.3331489,-89.645,-1.3541,0.548783763,21,Restricted,56,23.90043212
grand_cayman,grand_cayman_1,caribbean,1500,353.036567,353.036567,412.3462055,-81.387,19.3066,3981.11194,33,Restricted,47,28.03176552
guarapari,guarapari_1,sw_atlantic,5040,55.15793668,55.15793668,85.93286492,-40.3932,-20.656,464.3606489,0,Fished,71,24.41187514
guarapari,guarapari_2,sw_atlantic,1560,38.61259219,38.61259219,46.41760879,-40.2784,-20.3632,2830.210011,0,Fished,39,24.90356461
hawaii,hawaii_1,hawaiian,7125,38.22468975,38.22468975,39.10828739,-154.8186,19.4912,53.33287508,0,Fished,75,24.62903012
hawaii,hawaii_10,hawaiian,7375,73.8861945,73.8861945,73.96175392,-157.8009,21.4473,1847.296164,0,Fished,78,24.74097424
hawaii,hawaii_11,hawaiian,6375,88.68727268,88.68727268,91.28665594,-158.0658,21.648,557.5603609,36,Restricted,114,24.7334496
hawaii,hawaii_12,hawaiian,3000,84.16284667,84.16284667,84.17488887,-157.8484,21.2775,8140.402653,0,Fished,66,24.9570668
hawaii,hawaii_2,hawaiian,4625,63.96169766,63.96169766,64.77445975,-155.9244,19.4706,243.6859748,0,Fished,80,25.29585377
hawaii,hawaii_3,hawaiian,6500,66.9393919,66.9393919,68.09079506,-155.8985,20.1553,72.34674008,0,Fished,108,24.95711884
hawaii,hawaii_4,hawaiian,7875,108.3899771,108.3899771,109.8686302,-156.0159,19.6447,90.76570688,0,Fished,114,25.27086473
hawaii,hawaii_5,hawaiian,6875,81.86107006,81.86107006,83.35426369,-155.8303,19.981,147.6343686,0,Fished,103,25.06004325
hawaii,hawaii_6,hawaiian,6500,68.25257835,68.25257835,72.11970034,-156.9341,20.7346,18.57116427,0,Fished,109,25.02577162
hawaii,hawaii_7,hawaiian,7250,68.83592228,68.83592228,71.98328708,-156.6668,20.9998,1355.044583,0,Fished,117,24.69258706
hawaii,hawaii_8,hawaiian,5000,89.24181668,89.24181668,121.3782784,-156.4549,20.7051,376.7141472,0,Fished,102,24.81313197
hawaii,hawaii_9,hawaiian,6875,87.91158696,87.91158696,90.25218426,-157.6945,21.2702,2950.850299,52,Restricted,107,24.89899724
hong_kong_island,hong_kong_island_1,central_iwp,7000,42.09881893,42.09881893,42.59177164,114.3355,22.3257,4552.199476,0,Fished,53,24.79490361
ilha_gde,ilha_gde_1,sw_atlantic,640,50.46836096,50.46836096,80.18710981,-44.1453,-23.1859,541.9600601,0,Fished,37,23.83638502
ilha_gde,ilha_gde_2,sw_atlantic,1120,56.84761604,56.84761604,61.56474047,-44.2598,-23.0787,1055.499016,0,Fished,29,24.07168348
ilha_gde,ilha_gde_3,sw_atlantic,640,26.07058179,26.07058179,29.06459714,-44.398,-23.0522,763.3099146,0,Fished,33,24.20047317
ilha_gde,ilha_gde_4,sw_atlantic,680,34.01381563,34.01381563,37.42236972,-44.1595,-23.09,978.1457195,0,Fished,26,23.86011449
ilha_gde,ilha_gde_5,sw_atlantic,960,50.01561058,50.01561058,57.07700826,-44.3381,-23.1658,500.2068783,0,Fished,40,24.06433955
kai_ketjil,kai_ketjil_1,central_iwp,2000,386.6761714,386.6761714,389.4352152,132.6854,-5.5776,71.17422883,0,Fished,104,28.28612477
kai_ketjil,kai_ketjil_2,central_iwp,2000,307.5627966,307.5627966,311.4766938,132.6065,-5.6531,63.42521664,0,Fished,124,28.27810999
kimberley,kimberley_1,central_iwp,5500,186.1097024,186.1097024,194.6049304,123.0555,-16.4228,0.786700061,0,Fished,54,28.29841119
las_perlas,las_perlas_1,continental_tep,3000,2160.611023,2160.611023,2992.6268,-79.0538,8.6598,58.48961726,12,Restricted,57,27.4607606
las_perlas,las_perlas_2,continental_tep,2000,1498.726474,1498.726474,1519.916016,-79.0118,8.5434,44.60599452,12,Restricted,47,27.43941617
las_perlas,las_perlas_3,continental_tep,4000,349.1803303,349.1803303,428.3247678,-79.0989,8.4159,80.64003922,12,Restricted,61,27.39980773
las_perlas,las_perlas_4,continental_tep,8000,532.6027853,532.6027853,640.5638474,-79.0958,8.2873,23.88908215,12,Restricted,69,27.36656565
las_perlas,las_perlas_7,continental_tep,5000,303.9825236,303.9825236,356.9396911,-78.827,8.4147,34.05311594,12,Restricted,64,27.45892874
las_perlas,las_perlas_8,continental_tep,1500,206.1162388,206.1162388,215.7250973,-78.9194,8.4836,36.02465123,12,Restricted,37,27.44904103
lord_howe_island,lord_howe_island_1,sw_pacific,253500,191.0996738,214.9651106,382.4309993,159.06,-31.5321,0.087158128,20,Closed,278,21.3805198
lord_howe_island,lord_howe_island_2,sw_pacific,12000,493.6841296,927.294102,2149.189184,159.2528,-31.7634,0.010341511,20,Closed,96,21.30228868
machalilla,machalilla_1,continental_tep,2500,246.4110058,246.4110058,264.4561439,-80.855,-1.6216,283.3720385,25,Restricted,36,24.45385487
machalilla,machalilla_2,continental_tep,4000,136.19115,136.19115,215.9826074,-81.0616,-1.2716,134.0911271,25,Restricted,47,24.70434773
machalilla,machalilla_4,continental_tep,3000,88.83655541,88.83655541,131.2523373,-80.8001,-1.4921,260.6405492,25,Restricted,38,24.57171905
malpelo,malpelo_1,offshore_tep,21660,1469.477995,1499.333294,2017.573141,-81.6065,4.002,1.466270214,13,Restricted,71,26.68360291
marquesas_islands,marquesas_islands_1,polynesian,1500,630.7219478,630.7219478,2053.224212,-139.0912,-9.8981,1.751703761,0,Fished,67,27.71754591
