ID,ID2,Lon,Lat,TERRITORY1,sItes
V146,146,97.88,10.22,Myanmar,
V147,147,98.28,11.02,Myanmar,
V148,148,98.36,11.02,Myanmar,
V149,149,99.16,6.54,,
V150,150,98.36,7.58,Thailand,
V151,151,98.76,7.82,Thailand,
V152,152,98.76,7.74,,
V153,153,99.08,7.18,Thailand,
V154,154,99.48,7.02,Thailand,
V155,155,99.08,7.26,Thailand,
V156,156,99.16,7.42,Thailand,
V157,157,99.24,7.34,Thailand,
V158,158,97.64,8.62,Thailand,
V159,159,97.64,8.7,Thailand,
V160,160,97.8,9.1,Thailand,
V161,161,98.6,7.9,Thailand,
V162,162,97.64,8.46,Thailand,
V163,163,98.52,7.74,Thailand,
V164,164,98.44,7.74,Thailand,
V165,165,98.28,7.74,Thailand,
V166,166,98.6,7.74,Thailand,
V167,167,99.32,6.46,Thailand,
V168,168,99.48,6.54,Thailand,
V169,169,99.72,6.22,,
V170,170,97.8,9.02,Thailand,
V171,171,97.64,8.54,Thailand,
V172,172,99.4,6.46,Thailand,
V173,173,99.16,6.46,Thailand,
V174,174,98.92,7.42,Thailand,
V175,175,98.28,7.42,Thailand,
V176,176,99.32,7.26,Thailand,
V177,177,98.84,7.58,Thailand,
V178,178,98.76,7.66,Thailand,
V179,179,98.28,7.5,Thailand,
V180,180,99.48,6.78,Thailand,
V181,181,99.56,6.86,Thailand,
V182,182,99.56,6.78,Thailand,
V183,183,99.4,7.1,Thailand,
V184,184,99.32,7.18,Thailand,
V185,185,99.48,6.94,Thailand,
V186,186,99.72,6.14,Malaysia,
V187,187,95,5.66,Indonesia,
V188,188,95,5.74,Indonesia,
V189,190,95.08,5.58,Indonesia,
V190,191,95.16,5.58,Indonesia,
V191,192,95,5.58,Indonesia,
V192,193,95.08,6.06,Indonesia,
V193,194,95.32,5.74,Indonesia,
V194,195,95.24,5.82,Indonesia,
V195,196,98.84,-0.74,Indonesia,
V196,197,98.76,-0.74,Indonesia,
V197,198,98.6,-0.82,Indonesia,
V198,198,98.6,-0.82,Indonesia,
V199,199,98.84,-0.82,Indonesia,
V200,199,98.84,-0.82,Indonesia,
V201,200,98.76,-0.82,Indonesia,
V202,200,98.76,-0.82,Indonesia,
V203,201,98.68,-0.82,Indonesia,
V204,201,98.68,-0.82,Indonesia,
V205,202,101,-4.02,Indonesia,
V206,203,100.6,-3.54,Indonesia,
V207,204,100.68,-3.54,Indonesia,
V208,205,95.08,5.42,Indonesia,
V209,206,95,5.42,Indonesia,
V210,207,95,5.5,Indonesia,
V211,208,95.16,5.5,Indonesia,
V212,209,95.08,5.5,Indonesia,
V213,210,95.16,5.42,Indonesia,
V214,211,95.4,4.78,Indonesia,
V215,212,95.24,4.78,Indonesia,
V216,213,95.24,4.7,Indonesia,
V217,214,95.16,4.86,Indonesia,
V218,215,95.4,4.86,Indonesia,
V219,216,95.24,4.94,Indonesia,
V220,217,95.24,4.86,Indonesia,
V221,218,95.4,4.62,Indonesia,
V222,219,95.48,4.62,Indonesia,
V223,220,95.32,4.62,Indonesia,
V224,221,95.32,4.54,Indonesia,
V225,222,95.32,4.7,Indonesia,
V226,223,95.16,5.18,Indonesia,
V227,224,95.24,5.18,Indonesia,
V228,225,95.08,5.26,Indonesia,
V229,226,95.08,5.18,Indonesia,
V230,227,95.16,5.34,Indonesia,
V231,228,95.16,5.26,Indonesia,
V232,229,95.24,5.26,,
V233,230,95.32,5.02,Indonesia,
V234,231,95.16,5.1,Indonesia,
V235,232,95.08,5.02,Indonesia,
V236,233,95.16,4.94,Indonesia,
V237,234,95.24,5.1,Indonesia,
V238,235,95.08,5.34,Indonesia,
V239,236,95.08,5.1,Indonesia,
V240,237,95.16,5.02,Indonesia,
V241,238,96.6,3.58,Indonesia,
V242,239,96.76,3.58,Indonesia,
V243,240,96.6,3.5,Indonesia,
V244,241,96.76,3.5,Indonesia,
V245,242,96.44,3.58,Indonesia,
V246,243,96.92,3.58,Indonesia,
V247,244,96.68,3.58,Indonesia,
V248,245,96.36,3.58,Indonesia,
V249,246,96.84,3.42,Indonesia,
V250,247,96.84,3.5,Indonesia,
V251,248,96.92,3.42,Indonesia,
V252,249,96.76,3.42,Indonesia,
V253,250,96.52,3.5,Indonesia,
V254,251,97,3.5,Indonesia,
V255,252,96.68,3.5,Indonesia,
V256,253,96.92,3.5,Indonesia,
V257,254,95.56,4.3,Indonesia,
V258,255,95.48,4.38,Indonesia,
V259,256,96.12,4.14,Indonesia,
V260,257,95.32,4.46,Indonesia,
V261,258,95.4,4.38,Indonesia,
V262,259,95.48,4.3,Indonesia,
V263,260,95.4,4.46,Indonesia,
V264,261,96.84,3.66,Indonesia,
V265,262,96.76,3.66,Indonesia,
V266,263,96.52,3.66,Indonesia,
V267,264,95.8,3.9,Indonesia,
V268,265,97.4,2.94,Indonesia,
V269,266,97.32,2.86,Indonesia,
V270,267,97.48,2.86,Indonesia,
V271,268,95.88,2.94,Indonesia,
V272,269,97.32,2.94,Indonesia,
V273,270,95.56,2.94,Indonesia,
V274,271,97.48,2.78,Indonesia,
V275,272,95.64,2.78,Indonesia,
V276,273,97.56,2.78,Indonesia,
V277,274,97.4,2.86,Indonesia,
V278,275,97.4,2.78,Indonesia,
V279,276,97.16,3.26,Indonesia,
V280,277,97.08,3.26,Indonesia,
V281,278,97.08,3.1,Indonesia,
V282,279,97.08,3.18,Indonesia,
V283,280,97,3.42,Indonesia,
V284,281,97.08,3.34,Indonesia,
V285,282,97,3.34,Indonesia,
V286,283,97.16,2.94,Indonesia,
V287,284,97.24,2.94,Indonesia,
V288,285,95.72,2.94,Indonesia,
V289,286,95.4,3.02,Indonesia,
V290,287,97.24,3.02,Indonesia,
V291,288,95.4,2.94,Indonesia,
V292,289,95.88,2.54,Indonesia,
V293,290,96.04,2.54,Indonesia,
V294,291,97.56,2.62,Indonesia,
V295,292,96.04,2.46,Indonesia,
V296,293,96.12,2.46,Indonesia,
V297,294,95.8,2.54,Indonesia,
V298,295,96.44,2.54,Indonesia,
V299,296,95.72,2.7,Indonesia,
V300,297,97.32,2.78,Indonesia,
V301,298,96.12,2.78,Indonesia,
V302,299,96.44,2.62,Indonesia,
V303,300,95.8,2.62,Indonesia,
V304,301,96.36,2.7,Indonesia,
V305,302,97.48,2.3,Indonesia,
V306,303,97.56,2.3,Indonesia,
V307,304,96.44,2.3,Indonesia,
V308,305,97.24,2.38,Indonesia,
V309,306,96.12,2.38,Indonesia,
V310,307,96.12,2.3,Indonesia,
V311,308,97.4,2.22,Indonesia,
V312,309,96.52,2.3,Indonesia,
V313,310,97,2.3,Indonesia,
V314,311,97.64,2.38,Indonesia,
V315,312,97.56,2.46,Indonesia,
V316,313,96.52,2.46,Indonesia,
V317,314,96.2,2.3,Indonesia,
V318,315,97.16,2.38,Indonesia,
V319,316,96.36,2.3,Indonesia,
V320,317,96.2,2.38,Indonesia,
V321,318,97.4,2.38,Indonesia,
V322,319,97.48,2.38,Indonesia,
V323,320,97.48,2.22,Indonesia,
V324,321,97.96,2.22,Indonesia,
V325,322,97.88,2.22,Indonesia,
V326,323,96.68,2.22,Indonesia,
V327,324,98.04,2.06,Indonesia,
V328,325,98.2,2.06,Indonesia,
V329,326,96.6,2.06,Indonesia,
V330,327,97.96,2.06,Indonesia,
V331,328,97.32,2.06,,
V332,329,97.4,2.06,Indonesia,
V333,330,98.12,2.06,Indonesia,
V334,331,98.28,1.98,Indonesia,
V335,332,97.32,1.98,Indonesia,
V336,333,98.36,1.98,Indonesia,
V337,334,97.16,1.98,Indonesia,
V338,335,97.08,1.98,Indonesia,
V339,336,98.12,1.98,Indonesia,
V340,337,98.04,2.14,Indonesia,
V341,338,97.16,2.14,Indonesia,
V342,339,97.4,2.14,Indonesia,
V343,340,96.6,2.22,Indonesia,
V344,341,97.08,2.14,Indonesia,
V345,342,97.08,2.06,Indonesia,
V346,343,98.12,2.14,Indonesia,
V347,344,97.24,2.14,Indonesia,
V348,345,97.88,2.14,Indonesia,
V349,346,97.96,2.14,Indonesia,
V350,347,97.4,1.66,Indonesia,
V351,348,98.04,1.74,Indonesia,
V352,349,98.44,1.74,Indonesia,
V353,350,98.52,1.58,,
V354,351,97.48,1.74,Indonesia,
V355,352,97.4,1.74,Indonesia,
V356,353,98.04,1.66,Indonesia,
V357,354,97.96,1.9,Indonesia,
V358,355,98.04,1.9,Indonesia,
V359,356,98.52,1.82,Indonesia,
V360,357,97.48,1.98,Indonesia,
V361,358,97.96,1.98,Indonesia,
V362,359,97.4,1.9,Indonesia,
V363,360,98.12,1.9,Indonesia,
V364,361,98.12,1.74,Indonesia,
V365,362,97.96,1.74,Indonesia,
V366,363,98.2,1.74,Indonesia,
V367,364,98.68,1.74,,
V368,365,97.96,1.82,Indonesia,
V369,366,98.12,1.82,Indonesia,
V370,367,98.6,1.82,Indonesia,
V371,368,98.2,1.82,Indonesia,
V372,369,98.28,1.34,Indonesia,
V373,370,98.36,1.34,Indonesia,
V374,371,97.08,1.34,Indonesia,
V375,372,98.36,1.42,Indonesia,
V376,373,97.56,1.42,Indonesia,
V377,374,97.08,1.26,Indonesia,
V378,375,97.08,1.18,Indonesia,
V379,376,98.28,1.18,Indonesia,
V380,377,97.24,1.18,Indonesia,
V381,378,98.28,1.26,Indonesia,
V382,379,98.44,1.34,Indonesia,
V383,380,97.24,1.26,Indonesia,
V384,381,98.44,1.26,Indonesia,
V385,382,98.28,1.5,Indonesia,
V386,383,98.2,1.58,Indonesia,
V387,384,98.28,1.58,Indonesia,
V388,385,98.68,1.58,Indonesia,
V389,386,98.28,1.42,Indonesia,
V390,387,98.12,1.5,Indonesia,
V391,388,97.32,1.58,Indonesia,
V392,389,98.44,1.5,Indonesia,
V393,390,98.36,1.5,Indonesia,
V394,391,97.4,0.78,Indonesia,
V395,392,97.32,0.78,Indonesia,
V396,393,98.04,0.78,Indonesia,
V397,394,97.24,0.86,Indonesia,
V398,395,98.04,0.86,Indonesia,
V399,396,98.28,0.86,Indonesia,
V400,397,98.28,0.78,Indonesia,
V401,398,97.72,0.54,Indonesia,
V402,399,97.88,0.54,Indonesia,
V403,400,97.96,0.62,Indonesia,
V404,401,97.96,0.7,Indonesia,
V405,402,97.96,1.1,Indonesia,
V406,403,98.28,1.1,Indonesia,
V407,404,98.28,1.02,Indonesia,
V408,405,98.36,1.02,Indonesia,
V409,406,98.36,1.18,Indonesia,
V410,407,98.44,1.18,Indonesia,
V411,408,98.04,0.94,Indonesia,
V412,409,98.28,0.94,Indonesia,
V413,410,97.24,0.94,Indonesia,
V414,411,97.08,2.22,Indonesia,
V415,412,98.44,1.66,Indonesia,
V416,413,97.24,2.06,Indonesia,
V417,414,98.2,0.06,Indonesia,
V418,415,97.88,0.06,Indonesia,
V419,416,98.2,-0.18,Indonesia,
V420,417,97.88,-0.18,Indonesia,
V421,418,98.28,-0.18,Indonesia,
V422,419,97.8,-0.1,Indonesia,
V423,420,98.2,-0.1,Indonesia,
V424,421,97.88,0.3,Indonesia,
V425,422,97.88,0.38,Indonesia,
V426,423,98.28,-0.5,Indonesia,
V427,424,99.96,-0.66,Indonesia,
V428,425,99.88,-0.66,Indonesia,
V429,426,100.28,-0.82,Indonesia,
V430,426,100.28,-0.82,Indonesia,
V431,427,100.04,-0.74,Indonesia,
V432,428,102.12,-3.86,Indonesia,
V433,429,102.2,-3.94,Indonesia,
V434,430,102.12,-3.78,Indonesia,
V435,431,99,0.54,Indonesia,
V436,432,98.76,0.78,Indonesia,
V437,433,98.84,0.3,Indonesia,
V438,434,98.84,0.38,Indonesia,
V439,435,99,0.14,Indonesia,
V440,436,99,-0.18,Indonesia,
V441,437,99.4,-0.1,Indonesia,
V442,438,99,0.3,Indonesia,
V443,439,98.52,0.3,Indonesia,
V444,440,100.52,-1.46,Indonesia,
V445,441,100.6,-1.78,Indonesia,
V446,442,100.28,-0.98,Indonesia,
V447,443,99.96,-0.9,Indonesia,
V448,444,100.36,-1.3,Indonesia,
V449,445,100.52,-3.06,Indonesia,
V450,446,100.6,-3.46,Indonesia,
V451,447,100.6,-3.22,Indonesia,
V452,448,99.48,-2.1,Indonesia,
V453,449,100.76,-1.86,Indonesia,
V454,450,99.48,-2.18,Indonesia,
V455,451,99.08,-1.86,Indonesia,
V456,452,98.92,-0.26,Indonesia,
V457,453,98.68,-0.26,Indonesia,
V458,454,99.32,-0.42,Indonesia,
V459,455,99,-0.26,Indonesia,
V460,456,99.16,-0.18,Indonesia,
V461,457,99.48,-0.18,Indonesia,
V462,458,99.24,-0.26,Indonesia,
V463,459,99.32,-0.26,Indonesia,
V464,460,98.76,-1.54,Indonesia,
V465,461,98.76,-0.42,Indonesia,
V466,462,98.6,-0.42,Indonesia,
V467,463,99.88,-0.5,Indonesia,
V468,464,99.48,-0.5,Indonesia,
V469,465,101.48,-3.14,Indonesia,
V470,466,99.8,-0.58,Indonesia,
V471,467,99.8,-0.5,Indonesia,
V472,468,100.04,-0.66,Indonesia,
V473,469,100.04,-0.58,Indonesia,
V474,470,99.88,-0.42,Indonesia,
V475,471,100.28,-0.9,Indonesia,
V476,472,100.2,-0.9,Indonesia,
V477,473,99.96,-0.74,Indonesia,
V478,474,100.12,-0.66,Indonesia,
V479,475,100.12,-0.82,Indonesia,
V480,475,100.12,-0.82,Indonesia,
V481,476,100.04,-0.82,Indonesia,
V482,476,100.04,-0.82,Indonesia,
V483,477,100.52,-1.62,Indonesia,
V484,478,100.6,-1.62,Indonesia,
V485,479,100.52,-1.54,Indonesia,
V486,480,100.44,-1.38,Indonesia,
V487,481,100.44,-1.46,Indonesia,
V488,482,99.56,-1.94,Indonesia,
V489,483,100.6,-1.94,Indonesia,
V490,484,100.68,-2.02,Indonesia,
V491,485,100.52,-1.78,Indonesia,
V492,486,100.6,-1.7,Indonesia,
V493,487,100.6,-1.86,Indonesia,
V494,488,100.28,-1.06,Indonesia,
V495,489,100.28,-1.3,Indonesia,
V496,490,100.36,-1.38,Indonesia,
V497,491,100.28,-1.22,Indonesia,
V498,492,99.88,-2.5,Indonesia,
V499,493,100.04,-2.5,Indonesia,
V500,494,99.96,-2.5,Indonesia,
V501,495,99.96,-2.82,Indonesia,
V502,496,100.28,-2.74,Indonesia,
V503,497,99.56,-2.26,Indonesia,
V504,498,99.72,-2.42,Indonesia,
V505,499,99.88,-2.34,Indonesia,
V506,500,99.64,-2.34,Indonesia,
V507,501,100.2,-3.14,Indonesia,
V508,502,100.52,-3.14,Indonesia,
V509,503,100.52,-3.38,Indonesia,
V510,504,100.44,-3.38,Indonesia,
V511,505,100.04,-2.9,Indonesia,
V512,506,100.12,-3.06,Indonesia,
V513,507,99.24,0.14,Indonesia,
V514,508,98.92,0.14,Indonesia,
V515,509,98.52,0.14,Indonesia,
V516,510,98.52,0.06,Indonesia,
V517,511,98.92,0.86,Indonesia,
V518,512,98.92,0.7,Indonesia,
V519,513,99,0.7,Indonesia,
V520,514,98.92,0.22,Indonesia,
V521,515,98.84,0.22,Indonesia,
V522,516,98.68,0.3,Indonesia,
V523,517,98.6,0.38,Indonesia,
V524,518,98.52,0.22,Indonesia,
V525,519,98.6,-0.26,Indonesia,
V526,520,98.68,-0.18,Indonesia,
V527,521,98.76,-0.18,Indonesia,
V528,522,99.32,-0.34,Indonesia,
V529,523,99.08,-0.34,Indonesia,
V530,524,99.24,-0.34,Indonesia,
V531,525,99.16,-0.34,Indonesia,
V532,526,98.92,-0.02,Indonesia,
V533,527,99.48,-0.02,Indonesia,
V534,528,98.76,-0.02,Indonesia,
V535,529,99.48,0.06,Indonesia,
V536,530,98.84,-0.02,Indonesia,
V537,531,98.6,-0.1,Indonesia,
V538,532,98.6,-0.18,Indonesia,
V539,533,98.76,-0.1,Indonesia,
V540,534,99.32,-0.02,Indonesia,
V541,535,99,-0.02,Indonesia,
V542,536,98.76,-0.66,Indonesia,
V543,537,98.68,-0.5,Indonesia,
V544,538,99,-1.06,Indonesia,
V545,539,98.92,-0.9,Indonesia,
V546,540,99,-0.98,Indonesia,
V547,541,99.64,-0.5,Indonesia,
V548,542,99.56,-0.5,Indonesia,
V549,543,99.4,-0.42,Indonesia,
V550,544,99.64,-0.42,Indonesia,
V551,545,99.48,-0.42,Indonesia,
V552,546,98.6,-0.58,Indonesia,
V553,547,98.68,-0.66,Indonesia,
V554,548,98.6,-0.5,Indonesia,
V555,549,98.68,-0.58,Indonesia,
V556,550,98.36,-0.58,Indonesia,
V557,551,99.72,-0.58,Indonesia,
V558,552,99,-1.78,Indonesia,
