ID,Id2,Lon,Lat,SOVEREIGN1,DESIG_ENG,IUCN_CAT,NO_TAKE,Class,General
V115,115,98.2,12.7,Myanmar,,,,Fished,Fished
V116,116,98.2,12.78,Myanmar,,,,Fished,Fished
V117,117,97.8,14.14,Myanmar,,,,Fished,Fished
V118,118,97.96,11.42,Myanmar,,,,Fished,Fished
V119,119,98.12,11.5,Myanmar,,,,Fished,Fished
V120,120,98.28,11.18,Myanmar,,,,Fished,Fished
V121,121,97.88,12.22,Myanmar,,,,Fished,Fished
V122,122,97.88,12.38,Myanmar,,,,Fished,Fished
V123,123,97.8,12.22,Myanmar,,,,Fished,Fished
V124,124,97.88,12.3,Myanmar,,,,Fished,Fished
V125,125,97.72,11.9,Myanmar,,,,Fished,Fished
V126,126,98.04,11.5,Myanmar,,,,Fished,Fished
V127,127,97.8,12.06,Myanmar,,,,Fished,Fished
V128,128,97.64,11.9,Myanmar,,,,Fished,Fished
V129,129,97.72,11.98,Myanmar,,,,Fished,Fished
V130,130,97.96,10.22,Myanmar,,,,Fished,Fished
V131,131,98.12,10.14,Myanmar,,,,Fished,Fished
V132,132,98.04,10.22,Myanmar,,,,Fished,Fished
V133,133,97.96,9.58,Myanmar,,,,Fished,Fished
V134,134,97.96,9.66,Myanmar,,,,Fished,Fished
V135,135,97.88,10.86,Myanmar,,,,Fished,Fished
V136,136,97.88,10.38,Myanmar,,,,Fished,Fished
V137,137,98.04,10.14,Myanmar,,,,Fished,Fished
V138,138,98.12,10.46,Myanmar,,,,Fished,Fished
V139,139,97.72,10.46,Myanmar,,,,Fished,Fished
V140,140,97.64,10.46,Myanmar,,,,Fished,Fished
V141,141,98.04,10.78,Myanmar,Marine National Park and ASEAN Heritage Park,II,Not Reported,Restricted,MPA
V142,142,97.88,10.54,Myanmar,,,,Fished,Fished
V143,143,97.72,10.62,Myanmar,,,,Fished,Fished
V144,144,97.96,9.74,Myanmar,,,,Fished,Fished
V145,145,97.88,10.14,Myanmar,,,,Fished,Fished
V146,146,97.88,10.22,Myanmar,,,,Fished,Fished
V147,147,98.28,11.02,Myanmar,Marine National Park and ASEAN Heritage Park,II,Not Reported,Restricted,MPA
V148,148,98.36,11.02,Myanmar,Marine National Park and ASEAN Heritage Park,II,Not Reported,Restricted,MPA
V149,149,99.16,6.54,,Marine National Park,II,Not Reported,Restricted,MPA
V150,150,98.36,7.58,Thailand,,,,Fished,Fished
V151,151,98.76,7.82,Thailand,Marine National Park,II,Not Reported,Restricted,MPA
V152,152,98.76,7.74,,Marine National Park,II,Not Reported,Restricted,MPA
V153,153,99.08,7.18,Thailand,,,,Fished,Fished
V154,154,99.48,7.02,Thailand,Marine National Park,II,Not Reported,Restricted,MPA
V155,155,99.08,7.26,Thailand,,,,Fished,Fished
V156,156,99.16,7.42,Thailand,,,,Fished,Fished
V157,157,99.24,7.34,Thailand,,,,Fished,Fished
V158,158,97.64,8.62,Thailand,National Park and ASEAN Heritage Park,II,Not Reported,Restricted,MPA
V159,159,97.64,8.7,Thailand,,,,Fished,Fished
V160,160,97.8,9.1,Thailand,,,,Fished,Fished
