ID,ID2,Lon,Lat,TERRITORY1,Grav_tot,ECOREGION,PROVINCE
V73,73,92.44,12.3,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V74,74,92.6,10.86,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V75,75,92.76,11.18,Andaman and Nicobar,10,Andaman and Nicobar Islands,Andaman
V76,76,94.28,13.5,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V77,77,92.36,10.54,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V78,78,97.88,9.5,Thailand,25,Andaman Sea Coral Coast,Andaman
V79,79,97.88,9.34,Thailand,29,Andaman Sea Coral Coast,Andaman
V80,80,97.88,9.42,Thailand,26,Andaman Sea Coral Coast,Andaman
V81,81,97.96,10.3,Myanmar,37,Andaman Sea Coral Coast,Andaman
V82,82,97.64,11.82,Myanmar,30,Andaman Sea Coral Coast,Andaman
V83,83,97.48,11.82,Myanmar,26,Andaman Sea Coral Coast,Andaman
V84,84,97.72,12.14,,0,Andaman Sea Coral Coast,Andaman
V85,85,97.8,12.3,Myanmar,0,Andaman Sea Coral Coast,Andaman
V86,86,97.96,10.06,Myanmar,25,Andaman Sea Coral Coast,Andaman
V87,87,98.2,12.94,Myanmar,62,Andaman Sea Coral Coast,Andaman
V88,88,98.2,13.1,Myanmar,0,Andaman Sea Coral Coast,Andaman
V89,89,97.88,12.78,,45,Andaman Sea Coral Coast,Andaman
V90,90,98.28,12.86,Myanmar,0,Andaman Sea Coral Coast,Andaman
V91,91,98.2,13.18,Myanmar,0,Andaman Sea Coral Coast,Andaman
V92,92,98.28,13.26,Myanmar,83,Andaman Sea Coral Coast,Andaman
V93,93,97.88,12.54,Myanmar,43,Andaman Sea Coral Coast,Andaman
V94,94,97.8,12.54,Myanmar,40,Andaman Sea Coral Coast,Andaman
V95,95,97.8,12.46,Myanmar,41,Andaman Sea Coral Coast,Andaman
V96,96,98.36,12.78,Myanmar,73,Andaman Sea Coral Coast,Andaman
V97,97,97.88,12.62,Myanmar,43,Andaman Sea Coral Coast,Andaman
V98,98,97.8,12.62,Myanmar,40,Andaman Sea Coral Coast,Andaman
V99,99,97.56,11.82,Myanmar,28,Andaman Sea Coral Coast,Andaman
V100,100,97.96,11.82,Myanmar,41,Andaman Sea Coral Coast,Andaman
V101,101,97.48,11.74,Myanmar,27,Andaman Sea Coral Coast,Andaman
V102,102,97.72,12.06,Myanmar,34,Andaman Sea Coral Coast,Andaman
V103,103,97.64,12.06,Myanmar,31,Andaman Sea Coral Coast,Andaman
V104,104,98.04,11.66,,0,Andaman Sea Coral Coast,Andaman
V105,105,97.8,9.42,Thailand,25,Andaman Sea Coral Coast,Andaman
V106,106,97.8,14.22,Myanmar,0,Andaman Sea Coral Coast,Andaman
V107,107,97.8,14.46,Myanmar,106,Andaman Sea Coral Coast,Andaman
V108,108,98.12,10.54,Myanmar,39,Andaman Sea Coral Coast,Andaman
V109,109,98.04,10.62,Myanmar,39,Andaman Sea Coral Coast,Andaman
V110,110,97.8,12.38,Myanmar,39,Andaman Sea Coral Coast,Andaman
V111,111,98.2,10.3,Myanmar,0,Andaman Sea Coral Coast,Andaman
V112,112,98.04,10.06,Myanmar,0,Andaman Sea Coral Coast,Andaman
V113,113,98.2,12.86,Myanmar,62,Andaman Sea Coral Coast,Andaman
V114,114,97.88,12.86,Myanmar,0,Andaman Sea Coral Coast,Andaman
V115,115,98.2,12.7,Myanmar,0,Andaman Sea Coral Coast,Andaman
V116,116,98.2,12.78,Myanmar,59,Andaman Sea Coral Coast,Andaman
V117,117,97.8,14.14,Myanmar,83,Andaman Sea Coral Coast,Andaman
V118,118,97.96,11.42,Myanmar,45,Andaman Sea Coral Coast,Andaman
V119,119,98.12,11.5,Myanmar,47,Andaman Sea Coral Coast,Andaman
V120,120,98.28,11.18,Myanmar,53,Andaman Sea Coral Coast,Andaman
V121,121,97.88,12.22,Myanmar,40,Andaman Sea Coral Coast,Andaman
V122,122,97.88,12.38,Myanmar,42,Andaman Sea Coral Coast,Andaman
V123,123,97.8,12.22,Myanmar,0,Andaman Sea Coral Coast,Andaman
V124,124,97.88,12.3,Myanmar,42,Andaman Sea Coral Coast,Andaman
V125,125,97.72,11.9,Myanmar,32,Andaman Sea Coral Coast,Andaman
V126,126,98.04,11.5,Myanmar,47,Andaman Sea Coral Coast,Andaman
V127,127,97.8,12.06,Myanmar,0,Andaman Sea Coral Coast,Andaman
V128,128,97.64,11.9,Myanmar,30,Andaman Sea Coral Coast,Andaman
V129,129,97.72,11.98,Myanmar,33,Andaman Sea Coral Coast,Andaman
V130,130,97.96,10.22,Myanmar,34,Andaman Sea Coral Coast,Andaman
V131,131,98.12,10.14,Myanmar,34,Andaman Sea Coral Coast,Andaman
V132,132,98.04,10.22,Myanmar,0,Andaman Sea Coral Coast,Andaman
V133,133,97.96,9.58,Myanmar,27,Andaman Sea Coral Coast,Andaman
V134,134,97.96,9.66,Myanmar,26,Andaman Sea Coral Coast,Andaman
V135,135,97.88,10.86,Myanmar,36,Andaman Sea Coral Coast,Andaman
V136,136,97.88,10.38,Myanmar,40,Andaman Sea Coral Coast,Andaman
V137,137,98.04,10.14,Myanmar,34,Andaman Sea Coral Coast,Andaman
V138,138,98.12,10.46,Myanmar,0,Andaman Sea Coral Coast,Andaman
V139,139,97.72,10.46,Myanmar,27,Andaman Sea Coral Coast,Andaman
V140,140,97.64,10.46,Myanmar,24,Andaman Sea Coral Coast,Andaman
V141,141,98.04,10.78,Myanmar,37,Andaman Sea Coral Coast,Andaman
V142,142,97.88,10.54,Myanmar,33,Andaman Sea Coral Coast,Andaman
V143,143,97.72,10.62,Myanmar,0,Andaman Sea Coral Coast,Andaman
V144,144,97.96,9.74,Myanmar,25,Andaman Sea Coral Coast,Andaman
V145,145,97.88,10.14,Myanmar,24,Andaman Sea Coral Coast,Andaman
V146,146,97.88,10.22,Myanmar,28,Andaman Sea Coral Coast,Andaman
V147,147,98.28,11.02,Myanmar,0,Andaman Sea Coral Coast,Andaman
V148,148,98.36,11.02,Myanmar,57,Andaman Sea Coral Coast,Andaman
V149,149,99.16,6.54,,0,Andaman Sea Coral Coast,Andaman
V150,150,98.36,7.58,Thailand,66,Andaman Sea Coral Coast,Andaman
V151,151,98.76,7.82,Thailand,95,Andaman Sea Coral Coast,Andaman
V152,152,98.76,7.74,,0,Andaman Sea Coral Coast,Andaman
V153,153,99.08,7.18,Thailand,86,Andaman Sea Coral Coast,Andaman
V154,154,99.48,7.02,Thailand,0,Andaman Sea Coral Coast,Andaman
V155,155,99.08,7.26,Thailand,102,Andaman Sea Coral Coast,Andaman
