"","model_null","model_1","model_2","model_3","model_4","model_ENV"
"model.W.GLOBAL_ACTIVE1.S",1.38242516471451e-07,0.0184457596071917,0.068526132147712,0.0897117535877648,0.654996966260294,0.168319250154521
"model.W.GLOBAL_ACTIVE2.S",2.37338148491248e-07,0.149852714773514,0.00497109286600019,0.373209659989914,0.0361940719373814,0.435772223095041
"model.W.GLOBAL_PASSIVE.S",1.36842955661419e-08,0.934018277095317,0.00581466082800673,0.0156407789512399,0.0038110864538604,0.0407151829872802
"model.W.GLOBAL_ACTIVE1.B",2.99307831255304e-22,0.465008043737239,0.012270461794867,0.522694083356537,2.74111112457441e-05,1.11254408878539e-13
"model.W.GLOBAL_ACTIVE2.B",9.28027505466929e-22,0.00984051797110463,0.128065547114063,0.862050029947172,4.39049670857959e-05,5.7416806080191e-13
"model.W.GLOBAL_PASSIVE.B",9.7353457511757e-19,0.91803094207888,0.0221626295205816,0.0596881138267271,0.000118314572843572,9.67521294842011e-13
