"","B_model_null","B_model_1","B_model_2","B_model_3","B_model_4","B_model_ENV"
"GLOBAL_ACTIVE1",0.106976491155126,0.549650449825059,0.52403411836669,0.539125255885623,0.490452082381975,0.327977899018472
"GLOBAL_ACTIVE1",2.47004866306248e-28,0.407220917295636,0.3865085476552,0.393687739840174,0.372330751702557,0.148542913502908
"GLOBAL_ACTIVE2",0.103950568427571,0.531861369326582,0.533718678401255,0.544989719961901,0.491651340745924,0.330544463434378
"GLOBAL_ACTIVE2",2.19716922008697e-28,0.361706818502702,0.365452356286549,0.363160426137379,0.353272445033095,0.15596558840466
"GLOBAL_PASSIVE",0.0965107064715606,0.520334694712756,0.506121035809264,0.51089936403259,0.471020176809605,0.330544463434378
"GLOBAL_PASSIVE",2.18541335472779e-28,0.356950555042009,0.358001917232836,0.342788911197488,0.348317348844666,0.15596558840466
