"","S_model_null","S_model_1","S_model_2","S_model_3","S_model_4","S_model_ENV"
"GLOBAL_ACTIVE1",0.494987949520419,0.619800670881161,0.612523208375494,0.620590259595436,0.617429018309765,0.588819221242508
"GLOBAL_ACTIVE1",2.60142267413376e-30,0.191425830297381,0.127639219440892,0.134070861543949,0.133360323668498,0.064975777386084
"GLOBAL_ACTIVE2",0.489307628161385,0.618393222082603,0.594671164120463,0.614057794014034,0.600550881685946,0.585975662212667
"GLOBAL_ACTIVE2",2.60149876137196e-30,0.201631855569351,0.115443244893963,0.161563489971767,0.11934775188289,0.0678004276517106
"GLOBAL_PASSIVE",0.479042128813231,0.62842119819187,0.600214517534547,0.612282059507382,0.596516111601159,0.584591395234996
"GLOBAL_PASSIVE",2.42539788650013e-30,0.2596273952604,0.13828740290636,0.126760297298611,0.117321514876071,0.070059857962257
