"","ID","Lon","Lat","General","PROVINCE","Kulbicki","crypto5BROF","crypto5BRIF","pare5BRin","pare5BRout"
"72","V72",92.36,12.22,"Fished","Andaman","Central Indo_Pacific",1011,540,7,23
"73","V73",92.44,12.3,"Fished","Andaman","Central Indo_Pacific",1001,184,6,25
"74","V74",92.6,10.86,"Fished","Andaman","Central Indo_Pacific",1594,1417,50,30
"75","V75",92.76,11.18,"Fished","Andaman","Central Indo_Pacific",695,756,47,30
"76","V76",94.28,13.5,"Fished","Andaman","Central Indo_Pacific",364,1957,39,16
"77","V77",92.36,10.54,"Fished","Andaman","Central Indo_Pacific",2222,2581,40,14
"78","V78",97.88,9.5,"MPA","Andaman","Central Indo_Pacific",919,191,6,20
"79","V79",97.88,9.34,"Fished","Andaman","Central Indo_Pacific",856,698,12,16
"80","V80",97.88,9.42,"MPA","Andaman","Central Indo_Pacific",942,274,11,20
"81","V81",97.96,10.3,"Fished","Andaman","Central Indo_Pacific",1315,1261,10,17
"82","V82",97.64,11.82,"Fished","Andaman","Central Indo_Pacific",855,1310,43,34
"83","V83",97.48,11.82,"Fished","Andaman","Central Indo_Pacific",704,1398,58,30
"84","V84",97.72,12.14,"Fished","Andaman","Central Indo_Pacific",792,302,20,29
"85","V85",97.8,12.3,"Fished","Andaman","Central Indo_Pacific",631,289,24,22
"86","V86",97.96,10.06,"Fished","Andaman","Central Indo_Pacific",1059,1830,12,10
"87","V87",98.2,12.94,"Fished","Andaman","Central Indo_Pacific",1205,748,30,14
"88","V88",98.2,13.1,"Fished","Andaman","Central Indo_Pacific",1174,1285,33,9
"89","V89",97.88,12.78,"Fished","Andaman","Central Indo_Pacific",170,1943,36,13
"90","V90",98.28,12.86,"Fished","Andaman","Central Indo_Pacific",1927,717,15,14
"91","V91",98.2,13.18,"Fished","Andaman","Central Indo_Pacific",695,766,24,9
"92","V92",98.28,13.26,"Fished","Andaman","Central Indo_Pacific",1018,595,22,7
"93","V93",97.88,12.54,"Fished","Andaman","Central Indo_Pacific",512,1005,20,30
"94","V94",97.8,12.54,"Fished","Andaman","Central Indo_Pacific",204,438,28,21
"95","V95",97.8,12.46,"Fished","Andaman","Central Indo_Pacific",267,486,30,16
"96","V96",98.36,12.78,"Fished","Andaman","Central Indo_Pacific",2074,1117,22,8
"97","V97",97.88,12.62,"Fished","Andaman","Central Indo_Pacific",385,1644,26,27
"98","V98",97.8,12.62,"Fished","Andaman","Central Indo_Pacific",281,741,33,18
"99","V99",97.56,11.82,"Fished","Andaman","Central Indo_Pacific",825,765,38,35
"100","V100",97.96,11.82,"Fished","Andaman","Central Indo_Pacific",1167,1790,27,21
"101","V101",97.48,11.74,"Fished","Andaman","Central Indo_Pacific",898,2464,68,28
"102","V102",97.72,12.06,"Fished","Andaman","Central Indo_Pacific",652,176,19,28
"103","V103",97.64,12.06,"Fished","Andaman","Central Indo_Pacific",672,350,30,32
"104","V104",98.04,11.66,"Fished","Andaman","Central Indo_Pacific",1823,3239,29,18
"105","V105",97.8,9.42,"Fished","Andaman","Central Indo_Pacific",891,386,13,19
"106","V106",97.8,14.22,"Fished","Andaman","Central Indo_Pacific",385,759,25,4
"107","V107",97.8,14.46,"Fished","Andaman","Central Indo_Pacific",419,497,19,6
"108","V108",98.12,10.54,"Fished","Andaman","Central Indo_Pacific",1747,969,4,19
"109","V109",98.04,10.62,"Fished","Andaman","Central Indo_Pacific",1127,450,5,10
"110","V110",97.8,12.38,"Fished","Andaman","Central Indo_Pacific",404,454,29,23
"111","V111",98.2,10.3,"Fished","Andaman","Central Indo_Pacific",2400,2224,10,18
"112","V112",98.04,10.06,"Fished","Andaman","Central Indo_Pacific",925,1159,4,19
"113","V113",98.2,12.86,"Fished","Andaman","Central Indo_Pacific",1440,842,31,14
