"","S_model_null","S_model_1","S_model_2","S_model_3","S_model_4","S_model_ENV"
"model.W.transient.S",2.37973230877149e-07,0.70727734040229,0.0819725993565709,0.0650942362206594,0.0974905367106191,0.0481650493366297
"model.W.CRYPTIC.S",1.19450000723139e-07,0.00126160761262148,0.00167422520777567,0.0165437449937145,0.004415465349669,0.976104837386219
"model.W.RESID.S",2.01747768486508e-07,0.00928775161235262,0.001199464274441,0.0662751725211821,0.0100588321008333,0.913178577743422
"model.W.PARENTAL.S",1.72226131315079e-07,0.0132384478523155,0.0907829794134899,0.385825042233576,0.00433191849080632,0.505821439783681
"model.W.transient.B",1.09464474717154e-16,0.52440471012794,0.0833520312636661,0.338462057422243,0.0537811926993465,8.48680484094356e-09
"model.W.CRYPTIC.B",4.71067043820283e-21,0.868491115624184,0.0282412443970463,0.103173443397473,9.41965662785319e-05,1.50184610366999e-11
"model.W.RESID.B",7.52696905693691e-20,0.165496688563075,0.711001981776152,0.122609482016929,0.000891847575488172,6.83553401743414e-11
"model.W.PARENTAL.B",3.26768339006457e-21,0.0285201692281757,0.718403430907086,0.252253132095701,0.00082326776830396,7.33524213847758e-13
