"","B_model_null","B_model_1","B_model_2","B_model_3","B_model_4","B_model_ENV"
"TRANSIENT",0.0988852855632301,0.49521429682465,0.483594911388432,0.494161609505451,0.473026105097704,0.325288358617375
"TRANSIENT",2.11598557924958e-28,0.364542490909951,0.363561704723345,0.352001113346214,0.348311088526312,0.143445431326132
"CRYPTIC",0.10650507047444,0.540123195645753,0.516143693359307,0.523298449353865,0.48352967165531,0.325288358617375
"CRYPTIC",2.4081166831288e-28,0.417076965014044,0.400586850047951,0.402133499970247,0.383683030540571,0.143445431326132
"RESID",0.108189577305108,0.523625190347597,0.518187841112712,0.52100624803104,0.483288818058155,0.325288358617375
"RESID",2.40513116444834e-28,0.385090962809338,0.37807693177777,0.368597577074483,0.359425300683491,0.143445431326132
"PARENTAL",0.10476154715212,0.536774472652574,0.53534763315253,0.537451113514202,0.496856025928177,0.325288358617375
"PARENTAL",2.41195252478255e-28,0.410871660664858,0.39746331811126,0.406442395272195,0.392762063479354,0.143445431326132
