pare5in,pare5out,pare5LR,crypto5in,crypto5out,crypto5LR,transi15in,transi15out,transi15LR,resid15in,resid15out,resid15LR
50.66666667,41.33333333,8,32.8358209,27.86069652,39.30348259,38.23529412,61.76470588,0,35.15151515,57.57575758,7.272727273
14.42125237,9.677419355,75.90132827,16.8989547,13.7630662,69.33797909,40.99378882,34.7826087,24.22360248,34.31635389,33.51206434,32.17158177
8.095238095,30,61.9047619,22.77580071,40.9252669,36.29893238,16.98113208,83.01886792,0,31.42857143,65.71428571,2.857142857
50,50,0,48.4375,51.5625,0,43.75,56.25,0,52.51798561,46.76258993,0.71942446
38.55421687,46.98795181,14.45783133,21.01694915,20,58.98305085,41.02564103,58.97435897,0,22.84263959,48.22335025,28.93401015
21.2,14.8,64,13.62275449,12.5748503,73.80239521,11.06382979,17.44680851,71.4893617,36.24595469,38.51132686,25.24271845
58.94736842,36.84210526,4.210526316,37.08920188,30.04694836,32.86384977,64.63414634,20.73170732,14.63414634,45.45454545,45.45454545,9.090909091
32.60869565,32.60869565,34.7826087,27.64705882,40.58823529,31.76470588,10.81081081,89.18918919,0,29.10798122,53.05164319,17.84037559
34.58646617,63.90977444,1.503759398,34.16666667,53.33333333,12.5,29.21348315,70.78651685,0,35.05535055,63.099631,1.84501845
59.15492958,38.02816901,2.816901408,49.04458599,45.22292994,5.732484076,55.10204082,44.89795918,0,48.43049327,46.18834081,5.381165919
52.38095238,47.61904762,0,53.17919075,41.61849711,5.202312139,48.05194805,28.57142857,23.37662338,53.87596899,42.63565891,3.488372093
25.27472527,38.46153846,36.26373626,23.80952381,39.36507937,36.82539683,43.05555556,56.94444444,0,35.29411765,61.76470588,2.941176471
42.55319149,42.55319149,14.89361702,32.14285714,38.39285714,29.46428571,43.58974359,56.41025641,0,40.59405941,55.44554455,3.96039604
41.28440367,58.71559633,0,36.97478992,53.36134454,9.663865546,40,60,0,41.50197628,57.31225296,1.185770751
18.75,19.88636364,61.36363636,20.51282051,27.77777778,51.70940171,37.20930233,38.37209302,24.41860465,40.54054054,53.15315315,6.306306306
31.76470588,37.64705882,30.58823529,25.78125,25.390625,48.828125,43.90243902,41.46341463,14.63414634,43.29896907,52.57731959,4.12371134
11.13043478,2.956521739,85.91304348,12.76252019,6.62358643,80.61389338,18.01242236,6.52173913,75.46583851,26.13908873,20.6235012,53.23741007
49.48453608,44.32989691,6.18556701,45.78947368,41.57894737,12.63157895,57.14285714,30,12.85714286,47.84313725,42.74509804,9.411764706
8.843537415,14.05895692,77.09750567,13.18101933,19.15641476,67.66256591,21.3592233,46.60194175,32.03883495,28.19767442,39.8255814,31.97674419
4.967602592,7.343412527,87.68898488,6,11.33333333,82.66666667,4.87804878,95.12195122,0,31.57894737,64.47368421,3.947368421
