"","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","ModelMode","Larval_behaviour","FE","SelfR","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR","OutFlow","Outdegree","btwdegree"
"33","V1274","easter","rapa_nui","rapa_nui_3",22.64377003,23.106,2484.81206,1,"Restricted",56.36786252,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"34","V13472","central_iwp","raja_ampat","raja_ampat_9",28.85529236,94.032,3.609582136,10,"Restricted",180.3951412,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3542,127,231079.154088848
"35","V13486","central_iwp","raja_ampat","raja_ampat_3",28.83803334,81.982,4.84776921,10,"Restricted",81.94873486,"pare","passive","pare",30,0,0,0,0,0,0,0,0,3168,111,16236.8578771915
"36","V13486","central_iwp","raja_ampat","raja_ampat_3",28.83803334,81.982,4.84776921,10,"Restricted",81.94873486,"pare","passive","pare",30,0,0,0,0,0,0,0,0,3168,111,16236.8578771915
"37","V13492","central_iwp","raja_ampat","raja_ampat_8",28.84075238,102.865,6.321245119,6,"Closed",115.099702,"pare","passive","pare",26,0,0,0,0,0,0,0,0,5110,164,23153.095417417
"38","V13496","central_iwp","raja_ampat","raja_ampat_6",28.76996377,138.501,3.97345994,6,"Closed",124.9156004,"pare","passive","pare",0,0,0,0,0,0,0,0,0,3276,109,21823.6930791308
"39","V13529","central_iwp","raja_ampat","raja_ampat_13",29.09358643,247.488,5.034816616,10,"Restricted",588.3195333,"pare","passive","pare",28,0,0,0,0,0,0,0,0,2854,89,80367.7918186224
"40","V13531","central_iwp","raja_ampat","raja_ampat_16",29.13433666,148.5,5.211632757,10,"Restricted",952.2913082,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2678,98,411737.221489977
"41","V13536","central_iwp","raja_ampat","raja_ampat_14",29.00041557,187.262,3.346761432,10,"Restricted",588.0802831,"pare","passive","pare",28,0,0,0,0,0,0,0,0,1186,40,14814.9634999765
"42","V14065","western_indian","mozambique","mozambique_1",25.97892329,111.199,95.9123637,0,"Fished",238.6262525,"pare","passive","pare",0,0,0,0,0,0,0,0,0,0,0,0
"43","V14066","western_indian","mozambique","mozambique_4",25.58197641,53,71.41592245,0,"Fished",736.84401,"pare","passive","pare",0,0,0,0,0,0,0,0,0,54,2,350.914052371832
"44","V14070","western_indian","Bazaruto","Santa Carolina",26.29,98,28,19,"Closed",55.0636799,"pare","passive","pare",0,0,0,0,0,0,0,0,0,256,8,260.169280961501
