"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"28","Gravity Neighb.","b_Richness_log_grav_neiBR",0.9,0.5,"median",-0.0614131573714027,-0.0118503397709032,0.0195602891433175,0.0493182199332592,0.0896086373125845,"RESIDENT","Richness","Extrinsic Connect."
"29","Inflow Neighb.","b_Richness_log_InflowNeiBR",0.9,0.5,"median",-0.0887109029859317,0.00909607171710709,0.0679957901522387,0.127175688076499,0.209711724724505,"RESIDENT","Richness","Extrinsic Connect."
"30","Tot.Gravity x No-Take","b_Richness_log_grav_total:ClassClosed",0.9,0.5,"median",-0.167282623835431,-0.0762576234865639,-0.0108890806833045,0.0539500430180754,0.144523387257867,"RESIDENT","Richness","Human/Env."
"31","Tot.Gravity x Restricted gears","b_Richness_log_grav_total:ClassRestricted",0.9,0.5,"median",-0.154313231912358,-0.0748990758226128,-0.0167178256322288,0.0401515833985231,0.123939622472447,"RESIDENT","Richness","Human/Env."
"32","Tot.Gravity x Netflow","b_Richness_log_grav_total:Netflow",0.9,0.5,"median",-0.0677231662326266,0.0387772521049366,0.112359844425689,0.187091374139315,0.291142821057012,"RESIDENT","Richness","Intrinsic Connect."
"33","No-Take x Netflow","b_Richness_ClassClosed:Netflow",0.9,0.5,"median",-0.0953772359832346,0.296390383330321,0.575905476774886,0.851471090151935,1.22851647898283,"RESIDENT","Richness","Intrinsic Connect."
"34","Restricted gears x Netflow","b_Richness_ClassRestricted:Netflow",0.9,0.5,"median",-0.317154619165652,0.0686100682869599,0.335873999870859,0.605898464812978,0.967034442938579,"RESIDENT","Richness","Intrinsic Connect."
"35","Tot.Gravity x No-Take x Netflow","b_Richness_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.475701580452034,-0.320710182471445,-0.206541766089211,-0.0968239575085557,0.0622734142471035,"RESIDENT","Richness","Intrinsic Connect."
"36","Tot.Gravity x Restricted gears x Netflow","b_Richness_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.298659770407917,-0.156922022309393,-0.0587234937480394,0.0423216351097555,0.187368179402979,"RESIDENT","Richness","Intrinsic Connect."
"37","Intercept","b_Richness_Intercept",0.9,0.5,"median",-1.30921773724267,-0.955342217335782,-0.722735509040566,-0.51091618812483,-0.205295265222996,"PARENTAL","Richness","Intercept"
"38","Richness","b_Richness_Richness",NA,NA,"median",0,0,0,0,0,"PARENTAL","Richness","Richness"
"39","Temperature","b_Richness_temp",0.9,0.5,"median",-0.022667175808385,0.0592879518711892,0.116479054054522,0.173220862298667,0.256458092727361,"PARENTAL","Richness","Human/Env."
"40","Tot.Gravity","b_Richness_log_grav_total",0.9,0.5,"median",-0.0604884470393742,0.011486776910299,0.0568904886318503,0.101305091520268,0.166906341970529,"PARENTAL","Richness","Human/Env."
"41","No-Take","b_Richness_ClassClosed",0.9,0.5,"median",0.11460324357767,0.30483723615735,0.434763257704214,0.562264868076576,0.748222124635391,"PARENTAL","Richness","Human/Env."
"42","Restricted gears","b_Richness_ClassRestricted",0.9,0.5,"median",-0.0926808967127038,0.092348425448965,0.223437303925536,0.347983302654159,0.535302330607415,"PARENTAL","Richness","Human/Env."
"43","Netflow","b_Richness_Netflow",0.9,0.5,"median",-0.853176219748192,-0.452142593913024,-0.184973135038747,0.0847900147873669,0.485015497374873,"PARENTAL","Richness","Intrinsic Connect."
"44","Inflow","b_Richness_log_InflowBR",0.9,0.5,"median",-0.141448037195233,-0.010133772440083,0.0793497111713971,0.173983518869565,0.320492388580794,"PARENTAL","Richness","Intrinsic Connect."
"45","Self Recruit.","b_Richness_log_SelfR",0.9,0.5,"median",-0.585075008803966,-0.420775506687971,-0.306364246786301,-0.196297617225305,-0.0270784221785036,"PARENTAL","Richness","Intrinsic Connect."
"46","Gravity Neighb.","b_Richness_log_grav_neiBR",0.9,0.5,"median",-0.0520649795108173,-0.0055996502442892,0.0246455558243019,0.053257553036453,0.090189002115916,"PARENTAL","Richness","Extrinsic Connect."
"47","Inflow Neighb.","b_Richness_log_InflowNeiBR",0.9,0.5,"median",-0.0529221766497303,0.057724846102258,0.133370900134386,0.211177538971383,0.341238762824609,"PARENTAL","Richness","Extrinsic Connect."
"48","Tot.Gravity x No-Take","b_Richness_log_grav_total:ClassClosed",0.9,0.5,"median",-0.313146157410121,-0.221366409604736,-0.159118953394166,-0.0959154000653969,-0.000617500839447034,"PARENTAL","Richness","Human/Env."
"49","Tot.Gravity x Restricted gears","b_Richness_log_grav_total:ClassRestricted",0.9,0.5,"median",-0.205689817562063,-0.111055641896417,-0.0447180927892494,0.0208945309687168,0.116166086789531,"PARENTAL","Richness","Human/Env."
"50","Tot.Gravity x Netflow","b_Richness_log_grav_total:Netflow",0.9,0.5,"median",-0.0687198655891317,0.0585657895252534,0.145030259240098,0.235388619014113,0.36631515726078,"PARENTAL","Richness","Intrinsic Connect."
"51","No-Take x Netflow","b_Richness_ClassClosed:Netflow",0.9,0.5,"median",-1.06381619087606,-0.585966037564952,-0.265861334984044,0.0498769484166589,0.508652074102359,"PARENTAL","Richness","Intrinsic Connect."
"52","Restricted gears x Netflow","b_Richness_ClassRestricted:Netflow",0.9,0.5,"median",-0.853232948309879,-0.390799608869256,-0.0780151227371519,0.237966963420194,0.695952006678996,"PARENTAL","Richness","Intrinsic Connect."
"53","Tot.Gravity x No-Take x Netflow","b_Richness_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.387657239759354,-0.19009433911892,-0.055683677956725,0.0819483810599351,0.276094754026188,"PARENTAL","Richness","Intrinsic Connect."
"54","Tot.Gravity x Restricted gears x Netflow","b_Richness_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.293768015237457,-0.109303838801363,0.0161843205377172,0.142802347893577,0.328462561901371,"PARENTAL","Richness","Intrinsic Connect."
"55","Intercept","b_Richness_Intercept",0.9,0.5,"median",-1.2272815922433,-0.852026738675815,-0.616786110143646,-0.38885292780873,-0.0846103664472238,"CRYPTIC","Richness","Intercept"
"56","Richness","b_Richness_Richness",NA,NA,"median",0,0,0,0,0,"CRYPTIC","Richness","Richness"
"57","Temperature","b_Richness_temp",0.9,0.5,"median",0.0743070850214316,0.154187360459853,0.211359230904854,0.267454056993036,0.344967001320355,"CRYPTIC","Richness","Human/Env."
"58","Tot.Gravity","b_Richness_log_grav_total",0.9,0.5,"median",-0.0698434818433782,0.00627815637098752,0.0535612920194341,0.100281055074228,0.169529331047668,"CRYPTIC","Richness","Human/Env."
"59","No-Take","b_Richness_ClassClosed",0.9,0.5,"median",0.0179631855799033,0.229847833778699,0.370911901128348,0.507720287311069,0.712431487283676,"CRYPTIC","Richness","Human/Env."
"60","Restricted gears","b_Richness_ClassRestricted",0.9,0.5,"median",-0.157055160456452,0.0479693614295995,0.189170419933855,0.327330439400818,0.539461311245821,"CRYPTIC","Richness","Human/Env."
"61","Netflow","b_Richness_Netflow",0.9,0.5,"median",-0.640626991138774,-0.187960756697081,0.115176290933002,0.409362009998781,0.873649315847978,"CRYPTIC","Richness","Intrinsic Connect."
"62","Inflow","b_Richness_log_InflowBR",0.9,0.5,"median",-0.119867713957399,0.0236382783719304,0.122502679690271,0.219931164717994,0.367208040723091,"CRYPTIC","Richness","Intrinsic Connect."
"63","Self Recruit.","b_Richness_log_SelfR",0.9,0.5,"median",-0.552809478898434,-0.374554007341714,-0.259754843505639,-0.140521502491825,0.0493358301156608,"CRYPTIC","Richness","Intrinsic Connect."
"64","Gravity Neighb.","b_Richness_log_grav_neiBR",0.9,0.5,"median",-0.0699070660743972,-0.0218265995181373,0.00882952849300843,0.0381012443253127,0.0790148968144946,"CRYPTIC","Richness","Extrinsic Connect."
"65","Inflow Neighb.","b_Richness_log_InflowNeiBR",0.9,0.5,"median",-0.112418633018234,0.0264832229661679,0.109453533851607,0.187528808938497,0.323517367281203,"CRYPTIC","Richness","Extrinsic Connect."
"66","Tot.Gravity x No-Take","b_Richness_log_grav_total:ClassClosed",0.9,0.5,"median",-0.237060205511927,-0.144219778513629,-0.0808791845320306,-0.0184268552712816,0.0715556344613032,"CRYPTIC","Richness","Human/Env."
"67","Tot.Gravity x Restricted gears","b_Richness_log_grav_total:ClassRestricted",0.9,0.5,"median",-0.165581165868914,-0.0737915294044695,-0.00894926433963896,0.0561367028683096,0.14601931148093,"CRYPTIC","Richness","Human/Env."
"68","Tot.Gravity x Netflow","b_Richness_log_grav_total:Netflow",0.9,0.5,"median",-0.225496285440509,-0.0785012367883649,0.0200332409081727,0.118361234537122,0.264069829470266,"CRYPTIC","Richness","Intrinsic Connect."
"69","No-Take x Netflow","b_Richness_ClassClosed:Netflow",0.9,0.5,"median",-1.16737858743926,-0.601261301914691,-0.223041604126358,0.156417692385929,0.690169123752126,"CRYPTIC","Richness","Intrinsic Connect."
"70","Restricted gears x Netflow","b_Richness_ClassRestricted:Netflow",0.9,0.5,"median",-1.11986428754782,-0.587046393749726,-0.235935435614516,0.0985029906903912,0.603138160915726,"CRYPTIC","Richness","Intrinsic Connect."
"71","Tot.Gravity x No-Take x Netflow","b_Richness_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.419678481102297,-0.20150664326455,-0.0612372166380217,0.0856111480293747,0.295129248138784,"CRYPTIC","Richness","Intrinsic Connect."
"72","Tot.Gravity x Restricted gears x Netflow","b_Richness_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.204976438395825,-0.0102447955104309,0.12015338035207,0.248543372918144,0.449066273487338,"CRYPTIC","Richness","Intrinsic Connect."
