"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"26","Inflow Neighb.","b_logbiomassarea_log_InflowNei",0.9,0.5,"median",-0.124486409119689,-0.0564647924182831,-0.00780268047710544,0.0411941946757917,0.112048221269839,"RESIDENT","Biomass","Extrinsic Connect."
"27","Productivity","b_logbiomassarea_prod.annual",0.9,0.5,"median",-0.0154726924822366,0.0487837696614794,0.0919566912964072,0.135838052437215,0.198487686902777,"RESIDENT","Biomass","Human/Env."
"28","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.287044406511007,-0.199350305499597,-0.135662371404389,-0.0723693729196884,0.0182471887956508,"RESIDENT","Biomass","Human/Env."
"29","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-0.488227123596788,-0.39258423424436,-0.322159249615278,-0.253992198277158,-0.154226197089111,"RESIDENT","Biomass","Intrinsic Connect."
"30","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",0.281748044805537,0.443886200976819,0.560633987120927,0.681370580794857,0.846508833209538,"RESIDENT","Biomass","Human/Env."
"31","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",0.273982378893217,0.418235332258648,0.517170056617803,0.616816037427528,0.759392326244616,"RESIDENT","Biomass","Human/Env."
"32","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",0.00607918208447789,0.0816340378270109,0.133031233952904,0.183382089621148,0.259872836798308,"RESIDENT","Biomass","Human/Env."
"33","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",-0.00936017449232605,0.145971002737838,0.252191395558424,0.357853130760246,0.509585952377782,"RESIDENT","Biomass","Human/Env."
"34","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",-0.0551604299098514,0.0869804371270297,0.181583052258661,0.280161355365379,0.414289453047064,"RESIDENT","Biomass","Human/Env."
"35","No-Take x Netflow","b_logbiomassarea_Netflow:ClassClosed",0.9,0.5,"median",-0.0452578205864639,0.0890784649458332,0.184532317676355,0.277901224641729,0.412323305021679,"RESIDENT","Biomass","Human/Env."
"36","Restricted gears x Netflow","b_logbiomassarea_Netflow:ClassRestricted",0.9,0.5,"median",-0.0409690699074005,0.0901109784556331,0.181017336306678,0.275565147167161,0.411048602066963,"RESIDENT","Biomass","Human/Env."
"37","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:Netflow:ClassClosed",0.9,0.5,"median",-0.35258639911803,-0.222140075459089,-0.13115762082584,-0.0454814107500309,0.0833506743086178,"RESIDENT","Biomass","Human/Env."
"38","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:Netflow:ClassRestricted",0.9,0.5,"median",-0.322298679287102,-0.212048359856597,-0.133806486744479,-0.0567762698554527,0.0571420261934735,"RESIDENT","Biomass","Human/Env."
"39","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.01270024238334,5.1657461966229,5.26621229295146,5.36780489403422,5.53152273596646,"PARENTAL","Biomass","Intercept"
"40","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.0639484092451159,0.136954225957511,0.185481376584537,0.233156652199257,0.300203767480506,"PARENTAL","Biomass","Human/Env."
"41","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.30897516292551,0.379924030282989,0.429576432448322,0.478601003148522,0.549734334840487,"PARENTAL","Biomass","Richness"
"42","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.157585487115967,-0.0992568662742893,-0.0584012044662333,-0.0171471981099522,0.0416281580923702,"PARENTAL","Biomass","Intrinsic Connect."
"43","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.383889047789912,-0.308206252894197,-0.255300744740435,-0.201134563274146,-0.121936571576974,"PARENTAL","Biomass","Extrinsic Connect."
