"","From","To","Prob"
"164362","V1518","V1271",5
"164363","V1519","V1271",5
"164364","V1520","V1271",5
"164369","V1525","V1271",10
"164370","V1526","V1271",5
"164372","V1528","V1271",5
"164376","V1532","V1271",5
"164381","V1537","V1271",10
"164382","V1538","V1271",15
"164383","V1539","V1271",5
"164402","V1558","V1271",5
"164403","V1559","V1271",5
"164421","V1577","V1271",10
"164424","V1580","V1271",5
"164427","V1583","V1271",5
"164438","V1594","V1271",5
"164442","V1598","V1271",10
"164525","V1681","V1271",10
"164526","V1682","V1271",15
"164529","V1685","V1271",5
"164534","V1690","V1271",5
"164537","V1693","V1271",5
"164790","V1946","V1271",5
"164791","V1947","V1271",5
"164793","V1949","V1271",5
"164811","V1967","V1271",5
"164813","V1969","V1271",5
"164815","V1971","V1271",10
"164816","V1972","V1271",5
"164817","V1973","V1271",5
"164819","V1975","V1271",10
"164820","V1976","V1271",10
"165984","V3140","V1271",5
"165992","V3148","V1271",5
"174919","V12075","V1271",5
"176493","V13649","V1271",5
"178927","V1279","V1272",5
"178928","V1280","V1272",10
"178929","V1281","V1272",5
"178931","V1283","V1272",15
"178934","V1286","V1272",5
"178948","V1300","V1272",10
"178949","V1301","V1272",10
"178962","V1314","V1272",15
"178967","V1319","V1272",5
"178968","V1320","V1272",5
"178969","V1321","V1272",5
"178971","V1323","V1272",5
"178979","V1331","V1272",25
"179018","V1370","V1272",15
"179025","V1377","V1272",5
"179027","V1379","V1272",5
"179045","V1397","V1272",5
"179062","V1414","V1272",5
"179064","V1416","V1272",15
"179065","V1417","V1272",10
"179067","V1419","V1272",15
"179071","V1423","V1272",5
"179075","V1427","V1272",20
"179082","V1434","V1272",10
"179086","V1438","V1272",5
"179090","V1442","V1272",20
"179091","V1443","V1272",10
"179093","V1445","V1272",5
"179095","V1447","V1272",35
"179096","V1448","V1272",5
"179099","V1451","V1272",5
"179104","V1456","V1272",5
"179112","V1464","V1272",10
"179114","V1466","V1272",10
"179115","V1467","V1272",5
"179122","V1474","V1272",15
"179124","V1476","V1272",5
"179125","V1477","V1272",5
"179130","V1482","V1272",5
"179135","V1487","V1272",5
"179139","V1491","V1272",5
"179140","V1492","V1272",5
"179154","V1506","V1272",5
"179156","V1508","V1272",10
"179162","V1514","V1272",5
"179170","V1522","V1272",30
"179173","V1525","V1272",10
"179174","V1526","V1272",25
"179176","V1528","V1272",5
"179177","V1529","V1272",10
"179180","V1532","V1272",10
"179182","V1534","V1272",5
"179184","V1536","V1272",10
"179187","V1539","V1272",15
"179188","V1540","V1272",5
"179189","V1541","V1272",20
"179194","V1546","V1272",5
"179206","V1558","V1272",10
"179207","V1559","V1272",5
"179209","V1561","V1272",15
"179212","V1564","V1272",5
"179214","V1566","V1272",5
"179216","V1568","V1272",5
"179225","V1577","V1272",20
"179231","V1583","V1272",15
"179234","V1586","V1272",25
"179242","V1594","V1272",30
"179246","V1598","V1272",15
"179326","V1678","V1272",5
"179331","V1683","V1272",5
"179459","V1811","V1272",5
"179460","V1812","V1272",5
"179593","V1945","V1272",10
"179595","V1947","V1272",5
"179597","V1949","V1272",5
"179598","V1950","V1272",10
"179603","V1955","V1272",5
"179617","V1969","V1272",5
"180648","V3000","V1272",5
"190849","V13201","V1272",5
"190852","V13204","V1272",10
"190894","V13246","V1272",5
"190902","V13254","V1272",5
"190907","V13259","V1272",5
"190911","V13263","V1272",5
"190950","V13302","V1272",15
"190969","V13321","V1272",5
"190980","V13332","V1272",5
"193723","V1271","V1273",5
"193725","V1273","V1273",5
"193731","V1279","V1273",5
"193732","V1280","V1273",10
"193753","V1301","V1273",10
"193755","V1303","V1273",5
"193762","V1310","V1273",10
"193766","V1314","V1273",10
"193767","V1315","V1273",15
"193771","V1319","V1273",5
"193802","V1350","V1273",5
"193820","V1368","V1273",5
"193821","V1369","V1273",5
"193839","V1387","V1273",5
"193840","V1388","V1273",10
"193841","V1389","V1273",5
"193843","V1391","V1273",5
"193869","V1417","V1273",15
"193874","V1422","V1273",10
"193875","V1423","V1273",5
"193877","V1425","V1273",5
"193880","V1428","V1273",5
"193888","V1436","V1273",5
"193894","V1442","V1273",5
"193895","V1443","V1273",5
"193898","V1446","V1273",5
"193899","V1447","V1273",5
"193904","V1452","V1273",5
"193910","V1458","V1273",5
"193919","V1467","V1273",5
"193921","V1469","V1273",5
"193924","V1472","V1273",5
"193930","V1478","V1273",5
"193938","V1486","V1273",5
"193940","V1488","V1273",5
"193986","V1534","V1273",5
"193988","V1536","V1273",5
"194129","V1677","V1273",5
"194130","V1678","V1273",5
"194132","V1680","V1273",5
"194134","V1682","V1273",5
"194137","V1685","V1273",10
"194138","V1686","V1273",10
"194139","V1687","V1273",5
"194144","V1692","V1273",5
"194145","V1693","V1273",15
"194188","V1736","V1273",5
"194190","V1738","V1273",5
"194263","V1811","V1273",5
"194264","V1812","V1273",15
"194397","V1945","V1273",5
"194402","V1950","V1273",25
"194420","V1968","V1273",5
"194421","V1969","V1273",5
"194422","V1970","V1273",5
"195458","V3006","V1273",5
"208535","V1279","V1274",15
"208536","V1280","V1274",10
"208560","V1304","V1274",5
"208563","V1307","V1274",5
"208570","V1314","V1274",20
"208571","V1315","V1274",20
"208576","V1320","V1274",5
"208582","V1326","V1274",5
"208584","V1328","V1274",5
"208638","V1382","V1274",5
"208639","V1383","V1274",10
"208641","V1385","V1274",5
"208645","V1389","V1274",5
"208646","V1390","V1274",5
"208647","V1391","V1274",5
"208651","V1395","V1274",5
"208673","V1417","V1274",5
"208677","V1421","V1274",5
"208679","V1423","V1274",5
"208684","V1428","V1274",5
"208686","V1430","V1274",10
"208687","V1431","V1274",5
"208694","V1438","V1274",5
"208698","V1442","V1274",5
"208704","V1448","V1274",5
"208706","V1450","V1274",5
"208716","V1460","V1274",10
"208721","V1465","V1274",5
"208727","V1471","V1274",10
"208740","V1484","V1274",5
"208771","V1515","V1274",5
"208774","V1518","V1274",5
"208792","V1536","V1274",5
"208794","V1538","V1274",10
"208796","V1540","V1274",5
"208833","V1577","V1274",5
"208935","V1679","V1274",5
"208937","V1681","V1274",5
"208938","V1682","V1274",10
"208941","V1685","V1274",10
"208943","V1687","V1274",5
"208949","V1693","V1274",5
"209067","V1811","V1274",5
"209068","V1812","V1274",25
"209205","V1949","V1274",5
"209211","V1955","V1274",5
"209223","V1967","V1274",20
"209224","V1968","V1274",5
