"","From","To","Prob"
"164291","V1447","V1271",6
"164293","V1449","V1271",18
"164294","V1450","V1271",39
"164296","V1452","V1271",3
"164297","V1453","V1271",3
"164299","V1455","V1271",39
"164300","V1456","V1271",3
"164301","V1457","V1271",6
"164304","V1460","V1271",75
"164306","V1462","V1271",3
"164307","V1463","V1271",3
"164308","V1464","V1271",15
"164311","V1467","V1271",3
"164315","V1471","V1271",3
"164318","V1474","V1271",6
"164321","V1477","V1271",6
"164324","V1480","V1271",3
"164325","V1481","V1271",9
"164327","V1483","V1271",6
"164329","V1485","V1271",6
"164330","V1486","V1271",27
"164331","V1487","V1271",30
"164345","V1501","V1271",3
"164352","V1508","V1271",3
"164366","V1522","V1271",3
"164369","V1525","V1271",3
"164371","V1527","V1271",3
"164373","V1529","V1271",3
"164380","V1536","V1271",3
"164381","V1537","V1271",3
"164385","V1541","V1271",6
"164403","V1559","V1271",3
"164405","V1561","V1271",6
"164410","V1566","V1271",6
"164413","V1569","V1271",3
"164414","V1570","V1271",3
"164419","V1575","V1271",3
"164430","V1586","V1271",3
"164438","V1594","V1271",3
"164439","V1595","V1271",3
"164442","V1598","V1271",6
"164445","V1601","V1271",6
"164447","V1603","V1271",3
"164522","V1678","V1271",3
"164523","V1679","V1271",3
"164524","V1680","V1271",3
"164525","V1681","V1271",6
"164526","V1682","V1271",3
"164529","V1685","V1271",9
"164791","V1947","V1271",3
"164793","V1949","V1271",3
"164811","V1967","V1271",9
"164813","V1969","V1271",6
"164814","V1970","V1271",3
"164818","V1974","V1271",3
"164819","V1975","V1271",3
"164820","V1976","V1271",3
"164821","V1977","V1271",3
"164822","V1978","V1271",12
"165844","V3000","V1271",3
"166005","V3161","V1271",3
"178931","V1283","V1272",3
"178932","V1284","V1272",3
"178933","V1285","V1272",9
"178936","V1288","V1272",15
"178938","V1290","V1272",3
"178939","V1291","V1272",3
"178942","V1294","V1272",3
"178950","V1302","V1272",3
"178960","V1312","V1272",3
"178961","V1313","V1272",3
"178962","V1314","V1272",3
"178963","V1315","V1272",9
"178965","V1317","V1272",15
"178981","V1333","V1272",6
"178982","V1334","V1272",6
"178983","V1335","V1272",6
"178985","V1337","V1272",3
"178987","V1339","V1272",3
"179025","V1377","V1272",3
"179029","V1381","V1272",27
"179032","V1384","V1272",6
"179033","V1385","V1272",3
"179034","V1386","V1272",27
"179045","V1397","V1272",3
"179046","V1398","V1272",6
"179047","V1399","V1272",21
"179048","V1400","V1272",3
"179049","V1401","V1272",3
"179052","V1404","V1272",6
"179053","V1405","V1272",3
"179055","V1407","V1272",3
"179057","V1409","V1272",3
"179061","V1413","V1272",3
"179062","V1414","V1272",48
"179064","V1416","V1272",15
"179065","V1417","V1272",9
"179066","V1418","V1272",6
"179067","V1419","V1272",18
"179068","V1420","V1272",6
"179069","V1421","V1272",3
"179070","V1422","V1272",12
"179071","V1423","V1272",9
"179072","V1424","V1272",36
"179073","V1425","V1272",21
"179074","V1426","V1272",6
"179075","V1427","V1272",6
"179076","V1428","V1272",3
"179077","V1429","V1272",6
"179078","V1430","V1272",3
"179081","V1433","V1272",9
"179082","V1434","V1272",9
"179083","V1435","V1272",3
"179084","V1436","V1272",9
"179085","V1437","V1272",9
"179086","V1438","V1272",9
"179087","V1439","V1272",9
"179088","V1440","V1272",6
"179090","V1442","V1272",21
"179091","V1443","V1272",6
"179092","V1444","V1272",3
"179093","V1445","V1272",18
"179094","V1446","V1272",15
"179095","V1447","V1272",15
"179096","V1448","V1272",18
"179097","V1449","V1272",21
"179099","V1451","V1272",9
"179100","V1452","V1272",9
"179101","V1453","V1272",3
"179102","V1454","V1272",3
"179103","V1455","V1272",15
"179104","V1456","V1272",9
"179106","V1458","V1272",15
"179107","V1459","V1272",12
"179109","V1461","V1272",6
"179111","V1463","V1272",21
"179112","V1464","V1272",15
"179113","V1465","V1272",3
"179114","V1466","V1272",9
"179115","V1467","V1272",9
"179117","V1469","V1272",9
"179119","V1471","V1272",12
"179120","V1472","V1272",9
"179122","V1474","V1272",3
"179124","V1476","V1272",9
"179125","V1477","V1272",12
"179126","V1478","V1272",24
"179128","V1480","V1272",6
"179129","V1481","V1272",6
"179131","V1483","V1272",9
"179132","V1484","V1272",9
"179133","V1485","V1272",3
"179134","V1486","V1272",6
"179135","V1487","V1272",3
"179156","V1508","V1272",3
"179158","V1510","V1272",3
"179161","V1513","V1272",3
"179162","V1514","V1272",3
"179166","V1518","V1272",3
"179168","V1520","V1272",3
"179170","V1522","V1272",15
"179173","V1525","V1272",3
"179174","V1526","V1272",15
"179176","V1528","V1272",9
"179177","V1529","V1272",9
"179178","V1530","V1272",3
"179180","V1532","V1272",6
"179181","V1533","V1272",6
"179182","V1534","V1272",3
"179184","V1536","V1272",9
"179186","V1538","V1272",9
"179187","V1539","V1272",9
"179188","V1540","V1272",3
"179189","V1541","V1272",18
"179206","V1558","V1272",3
"179213","V1565","V1272",3
"179215","V1567","V1272",3
"179217","V1569","V1272",6
"179218","V1570","V1272",3
"179223","V1575","V1272",3
"179224","V1576","V1272",3
"179225","V1577","V1272",6
"179231","V1583","V1272",6
"179234","V1586","V1272",30
"179236","V1588","V1272",3
"179238","V1590","V1272",3
"179242","V1594","V1272",3
"179243","V1595","V1272",3
"179246","V1598","V1272",3
