"","From","To","Prob"
"149288","V1248","V1182",1
"149289","V1249","V1182",3
"149290","V1250","V1182",3
"158584","V10544","V1182",1
"164117","V1273","V1271",1
"164118","V1274","V1271",1
"164145","V1301","V1271",1
"164149","V1305","V1271",1
"164155","V1311","V1271",1
"164164","V1320","V1271",1
"164170","V1326","V1271",1
"164175","V1331","V1271",1
"164214","V1370","V1271",1
"164231","V1387","V1271",1
"164237","V1393","V1271",1
"164240","V1396","V1271",1
"164245","V1401","V1271",1
"164246","V1402","V1271",1
"164247","V1403","V1271",1
"164251","V1407","V1271",2
"164252","V1408","V1271",2
"164260","V1416","V1271",1
"164263","V1419","V1271",1
"164264","V1420","V1271",1
"164266","V1422","V1271",2
"164269","V1425","V1271",1
"164274","V1430","V1271",1
"164275","V1431","V1271",2
"164278","V1434","V1271",2
"164280","V1436","V1271",1
"164294","V1450","V1271",1
"164295","V1451","V1271",1
"164298","V1454","V1271",1
"164302","V1458","V1271",1
"164305","V1461","V1271",1
"164316","V1472","V1271",2
"164318","V1474","V1271",1
"164321","V1477","V1271",2
"164322","V1478","V1271",3
"164335","V1491","V1271",1
"164345","V1501","V1271",1
"164354","V1510","V1271",1
"164369","V1525","V1271",1
"164377","V1533","V1271",1
"164378","V1534","V1271",2
"164384","V1540","V1271",1
"164402","V1558","V1271",3
"164403","V1559","V1271",1
"164421","V1577","V1271",2
"164431","V1587","V1271",1
"164522","V1678","V1271",1
"164523","V1679","V1271",1
"164525","V1681","V1271",3
"164526","V1682","V1271",5
"164527","V1683","V1271",1
"164528","V1684","V1271",1
"164529","V1685","V1271",1
"164536","V1692","V1271",3
"164537","V1693","V1271",1
"164789","V1945","V1271",3
"164790","V1946","V1271",1
"164812","V1968","V1271",1
"164813","V1969","V1271",1
"164814","V1970","V1271",1
"164817","V1973","V1271",1
"164818","V1974","V1271",2
"165175","V2331","V1271",2
"165320","V2476","V1271",1
"172163","V9319","V1271",1
"174864","V12020","V1271",1
"174924","V12080","V1271",1
"176048","V13204","V1271",1
"176061","V13217","V1271",1
"176176","V13332","V1271",2
"176493","V13649","V1271",1
"178944","V1296","V1272",1
"178957","V1309","V1272",1
"178963","V1315","V1272",1
"178967","V1319","V1272",1
"178968","V1320","V1272",2
"178969","V1321","V1272",3
"178986","V1338","V1272",1
"178987","V1339","V1272",1
"178994","V1346","V1272",1
"179035","V1387","V1272",1
"179036","V1388","V1272",1
"179037","V1389","V1272",1
"179038","V1390","V1272",1
"179039","V1391","V1272",1
"179040","V1392","V1272",1
"179045","V1397","V1272",1
"179051","V1403","V1272",1
"179062","V1414","V1272",1
"179064","V1416","V1272",1
"179065","V1417","V1272",1
"179067","V1419","V1272",1
"179072","V1424","V1272",1
"179073","V1425","V1272",1
"179074","V1426","V1272",1
"179082","V1434","V1272",1
"179084","V1436","V1272",1
"179086","V1438","V1272",2
"179094","V1446","V1272",1
"179113","V1465","V1272",1
"179114","V1466","V1272",3
"179120","V1472","V1272",1
"179122","V1474","V1272",1
"179123","V1475","V1272",2
"179125","V1477","V1272",4
"179130","V1482","V1272",1
"179131","V1483","V1272",1
"179132","V1484","V1272",4
"179139","V1491","V1272",1
"179140","V1492","V1272",2
"179146","V1498","V1272",1
"179149","V1501","V1272",1
"179153","V1505","V1272",1
"179154","V1506","V1272",1
"179157","V1509","V1272",1
"179158","V1510","V1272",1
"179162","V1514","V1272",4
"179164","V1516","V1272",1
"179165","V1517","V1272",1
"179167","V1519","V1272",1
"179171","V1523","V1272",1
"179177","V1529","V1272",1
"179180","V1532","V1272",1
"179183","V1535","V1272",1
"179192","V1544","V1272",1
"179194","V1546","V1272",2
"179206","V1558","V1272",2
"179207","V1559","V1272",1
"179209","V1561","V1272",3
"179212","V1564","V1272",3
"179214","V1566","V1272",1
"179217","V1569","V1272",4
"179218","V1570","V1272",4
"179225","V1577","V1272",1
"179231","V1583","V1272",1
"179234","V1586","V1272",1
"179239","V1591","V1272",2
"179246","V1598","V1272",1
"179248","V1600","V1272",1
"179249","V1601","V1272",3
"179251","V1603","V1272",1
"179326","V1678","V1272",1
"179327","V1679","V1272",1
"179335","V1687","V1272",1
"179387","V1739","V1272",1
"179460","V1812","V1272",2
"179593","V1945","V1272",1
"179594","V1946","V1272",1
"179598","V1950","V1272",1
"179615","V1967","V1272",1
"179621","V1973","V1272",1
"179634","V1986","V1272",1
"180070","V2422","V1272",2
"180072","V2424","V1272",1
"180096","V2448","V1272",1
"180154","V2506","V1272",2
"180648","V3000","V1272",1
"186957","V9309","V1272",1
"186958","V9310","V1272",2
"186967","V9319","V1272",1
"186971","V9323","V1272",1
"189661","V12013","V1272",1
"189663","V12015","V1272",1
"189729","V12081","V1272",1
"190849","V13201","V1272",1
"190907","V13259","V1272",1
"190908","V13260","V1272",1
"190911","V13263","V1272",1
"190913","V13265","V1272",2
"190929","V13281","V1272",1
"190940","V13292","V1272",1
"190941","V13293","V1272",1
"190954","V13306","V1272",1
"190960","V13312","V1272",2
"190962","V13314","V1272",1
"190975","V13327","V1272",1
"191312","V13664","V1272",1
"193754","V1302","V1273",1
"193758","V1306","V1273",1
"193767","V1315","V1273",3
"193768","V1316","V1273",1
"193772","V1320","V1273",2
"193773","V1321","V1273",1
"193783","V1331","V1273",3
"193830","V1378","V1273",1
"193834","V1382","V1273",1
"193835","V1383","V1273",5
"193838","V1386","V1273",1
"193840","V1388","V1273",1
"193841","V1389","V1273",1
"193842","V1390","V1273",1
"193843","V1391","V1273",1
"193844","V1392","V1273",1
"193852","V1400","V1273",1
"193855","V1403","V1273",2
"193858","V1406","V1273",1
"193859","V1407","V1273",1
"193863","V1411","V1273",1
"193866","V1414","V1273",2
"193868","V1416","V1273",1
"193869","V1417","V1273",1
"193870","V1418","V1273",2
"193871","V1419","V1273",2
"193872","V1420","V1273",1
"193875","V1423","V1273",5
"193876","V1424","V1273",1
"193878","V1426","V1273",1
"193882","V1430","V1273",3
"193888","V1436","V1273",3
"193892","V1440","V1273",1
"193897","V1445","V1273",3
"193898","V1446","V1273",2
"193900","V1448","V1273",3
"193910","V1458","V1273",4
"193912","V1460","V1273",1
"193915","V1463","V1273",2
"193918","V1466","V1273",1
"193924","V1472","V1273",2
"193928","V1476","V1273",1
"193929","V1477","V1273",1
"193930","V1478","V1273",3
"193934","V1482","V1273",1
"193936","V1484","V1273",1
"193940","V1488","V1273",1
"193944","V1492","V1273",2
"193951","V1499","V1273",1
"193985","V1533","V1273",1
"194010","V1558","V1273",1
"194013","V1561","V1273",1
"194029","V1577","V1273",1
"194130","V1678","V1273",1
"194133","V1681","V1273",1
"194134","V1682","V1273",2
"194137","V1685","V1273",3
"194138","V1686","V1273",2
"194142","V1690","V1273",1
"194144","V1692","V1273",1
"194145","V1693","V1273",3
"194264","V1812","V1273",2
"194399","V1947","V1273",1
"194401","V1949","V1273",2
"194402","V1950","V1273",5
"194419","V1967","V1273",3
"194420","V1968","V1273",2
"194425","V1973","V1273",1
"194426","V1974","V1273",2
"194436","V1984","V1273",1
"194889","V2437","V1273",1
"195475","V3023","V1273",2
"205669","V13217","V1273",1
"205713","V13261","V1273",1
"208527","V1271","V1274",2
"208529","V1273","V1274",2
"208530","V1274","V1274",2
"208559","V1303","V1274",1
"208560","V1304","V1274",1
"208566","V1310","V1274",1
"208567","V1311","V1274",3
"208568","V1312","V1274",1
"208569","V1313","V1274",1
"208570","V1314","V1274",1
