"","From","To","Prob"
"13","V13","V190",16
"14","V14","V190",24
"23","V23","V190",64
"29","V29","V190",8
"187","V187","V190",48
"188","V188","V190",32
"189","V189","V190",1152
"190","V190","V190",744
"191","V191","V190",792
"192","V192","V190",16
"193","V193","V190",24
"204","V204","V190",672
"205","V205","V190",760
"206","V206","V190",992
"207","V207","V190",928
"208","V208","V190",848
"209","V209","V190",648
"210","V210","V190",24
"211","V211","V190",80
"212","V212","V190",56
"213","V213","V190",152
"214","V214","V190",80
"215","V215","V190",80
"216","V216","V190",80
"217","V217","V190",8
"218","V218","V190",104
"219","V219","V190",32
"220","V220","V190",32
"221","V221","V190",72
"222","V222","V190",376
"223","V223","V190",312
"224","V224","V190",480
"225","V225","V190",496
"226","V226","V190",560
"227","V227","V190",480
"228","V228","V190",456
"229","V229","V190",104
"230","V230","V190",448
"231","V231","V190",272
"232","V232","V190",264
"233","V233","V190",208
"234","V234","V190",480
"235","V235","V190",312
"236","V236","V190",376
"241","V241","V190",24
"244","V244","V190",24
"253","V253","V190",48
"254","V254","V190",56
"256","V256","V190",24
"257","V257","V190",24
"258","V258","V190",48
"259","V259","V190",32
"263","V263","V190",8
"267","V267","V190",32
"288","V288","V190",8
"291","V291","V190",8
"295","V295","V190",24
"14816","V12","V193",8
"14817","V13","V193",8
"14821","V17","V193",8
"14832","V28","V193",8
"14992","V188","V193",8
"14993","V189","V193",40
"14994","V190","V193",24
"14995","V191","V193",32
"15008","V204","V193",32
"15009","V205","V193",88
"15010","V206","V193",48
"15012","V208","V193",64
"15013","V209","V193",40
"15015","V211","V193",16
"15017","V213","V193",16
"15020","V216","V193",32
"15023","V219","V193",16
"15025","V221","V193",8
"15026","V222","V193",24
"15027","V223","V193",24
"15028","V224","V193",32
"15029","V225","V193",16
"15030","V226","V193",40
"15031","V227","V193",48
"15032","V228","V193",56
"15033","V229","V193",16
"15034","V230","V193",8
"15035","V231","V193",64
"15036","V232","V193",8
"15038","V234","V193",56
"15039","V235","V193",80
"15040","V236","V193",40
"15067","V263","V193",8
"29630","V22","V194",8
"29795","V187","V194",8
"29798","V190","V194",16
"29813","V205","V194",8
"29815","V207","V194",8
"29816","V208","V194",8
"29817","V209","V194",16
"29819","V211","V194",8
"29821","V213","V194",8
"29823","V215","V194",8
"29824","V216","V194",24
"29833","V225","V194",8
"29838","V230","V194",16
"29842","V234","V194",16
"29870","V262","V194",8
"60383","V1167","V1170",8
"60450","V1234","V1170",8
"75184","V1164","V1173",32
"75186","V1166","V1173",16
"75187","V1167","V1173",8
"75195","V1175","V1173",16
"89943","V1119","V1174",40
"89978","V1154","V1174",16
"89989","V1165","V1174",32
"90002","V1178","V1174",120
"90064","V1240","V1174",8
"104746","V1118","V1175",32
"104747","V1119","V1175",40
"104782","V1154","V1175",48
"104792","V1164","V1175",8
"104793","V1165","V1175",16
